options	distribution:appos	distribution:cc	distribution:comp	distribution:comp:aux	distribution:comp:obj	distribution:comp:obl	distribution:comp:pred	distribution:compound	distribution:conj	distribution:conj:emb	distribution:det	distribution:discourse	distribution:dislocated	distribution:flat	distribution:mod	distribution:orphan	distribution:parataxis	distribution:punct	distribution:subj	distribution:total	distribution:udep	distribution:unk	distribution:vocative
distribution:appos	0.0	0.007443723294195382	0.16713876058616914	0.009613293466544404	0.12094917410045616	0.004260791373512835	0.005156540930283595	0.008973093641648219	0.011582989510888061	0.0025628377935956108	0.016358186244732974	0.007067910366513117	0.002749432581051662	0.004124461526001911	0.07626049393980668	0.002814028752136895	0.004348492001886442	0.03810614694278532	0.0301026504766196	287311.3361681888	0.017703000586479903	0.01119784742048877	0.0024612587185910743
distribution:cc	0.007443723294195382	0.0	0.10779153881870078	0.008586785677886967	0.06193558583432372	0.006367916669183788	0.006454135882696941	0.010774503214537653	0.010792769045264532	0.009004619490714622	0.014822482865853798	0.00846734186457588	0.010279937049464774	0.00732993717457654	0.06556205964628972	0.013872795107757083	0.007137261885440066	0.04257920609107093	0.01945341726175355	287311.325860241	0.015037632997233224	0.011378417681988117	0.011224858685446598
distribution:comp	0.16713876058616914	0.10779153881870078	0.0	0.06562059836008062	0.026187177633215312	0.1806707012940917	0.15092453778936313	0.07690279706926544	0.06363798173263742	0.18374956098564885	0.06345497638876758	0.08923124830471352	0.17332342276839832	0.1412290780415349	0.027334870770573616	0.19002315643848033	0.11539216574495005	0.035834566210908005	0.033040612848159276	287311.1579422198	0.04675048504711934	0.07429432820769685	0.18959289299030052
distribution:comp:aux	0.009613293466544404	0.008586785677886967	0.06562059836008062	0.0	0.03815784396640226	0.007777333293801569	0.008756086857908445	0.01109623211416782	0.010004743577342313	0.010646081854295181	0.015764538732898944	0.009298503352442977	0.011749731594313409	0.009686898675163666	0.04740990211467932	0.01430435072495141	0.008729249934549443	0.03135975455755696	0.01774896556520697	287311.3214361291	0.016389554573942235	0.012846758758552887	0.011871360907837069
distribution:comp:obj	0.12094917410045616	0.06193558583432372	0.026187177633215312	0.03815784396640226	0.0	0.092422166827378	0.09394680596111964	0.05060685379667028	0.039853908547063166	0.13457526456107172	0.04496686201185939	0.05368346900546125	0.1241491248733119	0.09767872393659666	0.024588302012134647	0.14084885958908944	0.06249994590274385	0.025788120750412844	0.027760416560340673	287311.2068885	0.03137413562514395	0.05365898965321707	0.14041859643501148
distribution:comp:obl	0.004260791373512835	0.006367916669183788	0.1806707012940917	0.007777333293801569	0.092422166827378	0.0	0.005075161379664355	0.0091345715733561	0.009884219652989265	0.0046077913703236936	0.01553216380304085	0.006391726537455181	0.005309790242644486	0.0045853332989349	0.08364940717779469	0.0054636774185646865	0.00432007458758603	0.04686281473689418	0.0248347116016353	287311.33909366006	0.020446999901018684	0.010647730273524867	0.004963576157915788
distribution:comp:pred	0.005156540930283595	0.006454135882696941	0.15092453778936313	0.008756086857908445	0.09394680596111964	0.005075161379664355	0.0	0.008948439756550344	0.010196287356439732	0.005142994396195163	0.01589547907606673	0.007460068131499642	0.006045131576205389	0.005199794582277058	0.07110721015263922	0.006922922146471834	0.005175906081524547	0.040635929903923416	0.0234597492729075	287311.332728938	0.015009264468615441	0.011119924140075454	0.005609942202266531
distribution:compound	0.008973093641648219	0.010774503214537653	0.07690279706926544	0.01109623211416782	0.05060685379667028	0.0091345715733561	0.008948439756550344	0.0	0.012436322714652746	0.009659041085510517	0.01719960239284135	0.007524520577035593	0.01021189394070847	0.008748045194232347	0.053166749992687716	0.01140092309881136	0.008031071467225306	0.04135200007197758	0.021167732141527933	287311.3122370201	0.019527621962668096	0.010950689488351506	0.010073636462980144
distribution:conj	0.011582989510888061	0.010792769045264532	0.06363798173263742	0.010004743577342313	0.039853908547063166	0.009884219652989265	0.010196287356439732	0.012436322714652746	0.0	0.01117684789863668	0.016275571331581366	0.011370602434820843	0.014120805266136679	0.0110369879297957	0.045914852334296	0.019981890745750606	0.010159441465043655	0.03124378114679263	0.019522183949406118	287311.30562578165	0.016032968880608678	0.013301988480863168	0.01670657290116978
distribution:conj:emb	0.0025628377935956108	0.009004619490714622	0.18374956098564885	0.010646081854295181	0.13457526456107172	0.0046077913703236936	0.005142994396195163	0.009659041085510517	0.01117684789863668	0.0	0.018712111011781316	0.007125714291760232	0.0010804386233518783	0.0038915483995468447	0.15619333421713427	0.0011509803708559404	0.004648680551832108	0.09569136027991772	0.03304263501758537	287311.3412065339	0.03422558752237169	0.010794823362854967	0.0010431896460996258
