options	distribution:appos	distribution:cc	distribution:comp	distribution:comp:aux	distribution:comp:obj	distribution:comp:obl	distribution:comp:pred	distribution:compound	distribution:conj	distribution:conj:emb	distribution:det	distribution:discourse	distribution:dislocated	distribution:flat	distribution:mod	distribution:orphan	distribution:parataxis	distribution:punct	distribution:subj	distribution:total	distribution:udep	distribution:unk	distribution:vocative
distribution:appos	0.0	0.02317379	0.18354774	0.021735333	0.13483186	0.00951625	0.013565914	0.01695046	0.031744946	0.0059125	0.039337765	0.011090444	0.0058357893	0.007208222	0.16216289	0.0049450723	0.007999775	0.11812352	0.066312574	330711.8	0.07444402	0.018265521	0.005368861
distribution:cc	0.02317379	0.0	0.16778037	0.019868653	0.11861582	0.017657906	0.01553875	0.028229184	0.014509159	0.027056364	0.031375237	0.026363298	0.027318032	0.020529695	0.14140928	0.02829183	0.023811134	0.09910029	0.04867673	297746.06	0.053081285	0.027787885	0.026175765
distribution:comp	0.18354774	0.16778037	0.0	0.16922532	0.049174298	0.18441	0.17898202	0.1782484	0.15863343	0.19056045	0.15164377	0.18044192	0.1875629	0.18529	0.08031605	0.18513775	0.18314654	0.09857458	0.12106053	287311.16	0.11781035	0.17932367	0.18870847
distribution:comp:aux	0.021735333	0.019868653	0.16922532	0.0	0.119048506	0.021965347	0.0161606	0.023890316	0.025553431	0.021921176	0.03288192	0.02493688	0.020750847	0.019828403	0.14522065	0.021798823	0.021741075	0.09639745	0.050941683	304075.8	0.05567151	0.023381213	0.023461625
distribution:comp:obj	0.13483186	0.11861582	0.049174298	0.119048506	0.0	0.1336099	0.12774779	0.1295075	0.110323705	0.14129731	0.10271292	0.13237798	0.13960613	0.13605021	0.06707684	0.13572817	0.13396807	0.07292589	0.07522114	287311.22	0.06960531	0.13064896	0.13808623
distribution:comp:obl	0.00951625	0.017657906	0.18441	0.021965347	0.1336099	0.0	0.011966373	0.018502396	0.026878666	0.010259091	0.03486295	0.013838368	0.01061	0.011575625	0.15348482	0.010411127	0.011981042	0.11024752	0.06362213	303261.66	0.068743646	0.01927702	0.010081786
distribution:comp:pred	0.013565914	0.01553875	0.17898202	0.0161606	0.12774779	0.011966373	0.0	0.021117235	0.02524767	0.014980455	0.03180794	0.01549617	0.014478833	0.012823263	0.15017885	0.015141572	0.014298527	0.10771649	0.05456654	314838.88	0.06369019	0.014449703	0.0150224995
distribution:compound	0.01695046	0.028229184	0.1782484	0.023890316	0.1295075	0.018502396	0.021117235	0.0	0.032909896	0.015206049	0.04344281	0.019904317	0.01695926	0.016731557	0.1508833	0.010692656	0.011977241	0.11042547	0.0635429	313425.66	0.065009795	0.021544946	0.014284102
distribution:conj	0.031744946	0.014509159	0.15863343	0.025553431	0.110323705	0.026878666	0.02524767	0.032909896	0.0	0.037403706	0.036124807	0.033575978	0.034417704	0.029287292	0.13365546	0.03975493	0.029711837	0.091144554	0.04316074	285009.97	0.048106544	0.036424905	0.037043296
distribution:conj:emb	0.0059125	0.027056364	0.19056045	0.021921176	0.14129731	0.010259091	0.014980455	0.015206049	0.037403706	0.0	0.042683862	0.0071838554	0.0028620756	0.009517023	0.17073944	0.0019028571	0.006594217	0.11669783	0.068896405	343181.28	0.07704775	0.015853034	0.0022937334
