options	distribution:acl	distribution:acl:relcl	distribution:advcl	distribution:advmod	distribution:amod	distribution:appos	distribution:aux	distribution:case	distribution:cc	distribution:ccomp	distribution:compound	distribution:conj	distribution:cop	distribution:csubj	distribution:dep	distribution:det	distribution:discourse	distribution:dislocated	distribution:fixed	distribution:flat	distribution:iobj	distribution:mark	distribution:nmod	distribution:nsubj	distribution:nummod	distribution:obj	distribution:obl	distribution:orphan	distribution:parataxis	distribution:punct	distribution:total	distribution:vocative	distribution:xcomp
distribution:acl	0.0	0.003066313672932715	0.001703106147563045	0.031583134496398386	0.01969350382308833	0.009218907387922989	0.01178603659064235	0.05462906803985983	0.009818055173733973	0.0049168465559266735	0.014144555195117824	0.019603314589934005	0.002253908259645889	0.012422723621988783	0.016913912671031858	0.027796772757563287	0.01124375153585716	0.009791043913107807	0.008662383479662378	0.0057092880226156445	0.007654763515938316	0.005207946414581049	0.04740252176630704	0.06005344119589363	0.0046347797383218476	0.031435366853556856	0.04429820335157021	0.010557846981963182	0.007031628045874809	0.11575097832324417	inf	0.011908829701626203	0.00415908313754529
distribution:acl:relcl	0.003066313672932715	0.0	0.0024848638366961858	0.027317081096770734	0.014892272639733284	0.001368617510821492	0.006109008482460368	0.03866420380067081	0.009808115529396732	0.00016555566028259245	0.0023386667304075843	0.017309845498717835	0.001290103549862348	0.005903315965436659	0.017823843559507696	0.012410609998561521	0.013551036268103148	0.005969117854968731	0.002705950297095769	0.00042192158104531957	0.0031082170726799154	0.005105312546153465	0.03891832631119777	0.05490289222984625	0.00031729307558234465	0.031134783786447982	0.04089912240156744	0.0075542393914762125	0.0007493245048553639	0.09661657562491012	inf	0.0064821492892659155	0.0002665406853542875
distribution:advcl	0.001703106147563045	0.0024848638366961858	0.0	0.03583781105668586	0.021039630923407295	0.009166195982559461	0.012638955876361211	0.06162704808054441	0.010729293637288286	0.0062906151498539585	0.011375874326196363	0.02132285434260369	0.0025806383458092256	0.01241255461393413	0.01517779162112554	0.030267454741040214	0.009182790163780418	0.009174897191715636	0.008203656271699868	0.00545031323865011	0.007111207129989487	0.0058892001684358024	0.0526464280412013	0.0650226672297418	0.007149355209429914	0.034619741539685854	0.04623212861429819	0.009942321873952876	0.0066543956667325845	0.11860712594304405	inf	0.011383839402564771	0.006186658614637992
distribution:advmod	0.031583134496398386	0.027317081096770734	0.03583781105668586	0.0	0.01281641162945559	0.04067494484174805	0.021824802557563344	0.028418967019284373	0.024257963178972372	0.0395822627680453	0.03077862540667147	0.012884519730563442	0.033327806443167296	0.04455210190619411	0.035687626683590296	0.015410577624404571	0.03452472802246873	0.03336222007794931	0.03746893745557673	0.036412934780350625	0.0360923389644693	0.0293750189969519	0.01729814947347948	0.030182047670102997	0.04043015876632357	0.007397898532226224	0.013886066862072926	0.036715482086965935	0.03657398975338934	0.07783691238223878	inf	0.04080310850950358	0.03894160913484978
distribution:amod	0.01969350382308833	0.014892272639733284	0.021039630923407295	0.01281641162945559	0.0	0.028676153320230352	0.010934730793657338	0.03752189480290928	0.010901031478699476	0.027340381540402022	0.021093293864725454	0.006134273075401755	0.02117222110421622	0.03123014402612514	0.027466659517058446	0.015394956747163999	0.023344783295502106	0.021323532978381743	0.025180958364494525	0.024291939400999614	0.02380970919633644	0.015743659767870816	0.028851648615756027	0.04117529892811845	0.028114870659490167	0.012341075411503213	0.023785766726464548	0.024460679672828167	0.024553782743232926	0.09733406334618633	inf	0.028226835864965504	0.026769790825738875
distribution:appos	0.009218907387922989	0.001368617510821492	0.009166195982559461	0.04067494484174805	0.028676153320230352	0.0	0.018136197939052866	0.06300045903442145	0.018928005142820985	0.0033256375215699363	0.012489985109127008	0.028978095809699674	0.0073306459599294755	0.0033355857410530825	0.013192071960312085	0.03540611206566014	0.00950118012320124	0.002019269836105584	0.0012019476327928974	0.004345163914960802	0.0015061816783417542	0.013757702524876325	0.05635651741409877	0.06903839165858187	0.0031875775196939767	0.041002560380700215	0.05360028956572595	0.002337774117388044	0.0044727563474850195	0.12404803326911575	inf	0.003397917219069078	0.003577360755678182
distribution:aux	0.01178603659064235	0.006109008482460368	0.012638955876361211	0.021824802557563344	0.010934730793657338	0.018136197939052866	0.0	0.04538535253503262	0.006529479117558923	0.01812641251750196	0.011624597732268949	0.011581290612101799	0.01131581258234688	0.020921342066942492	0.017489583449689712	0.02012575681614827	0.013299096784934508	0.012141709131068087	0.014907286648178808	0.014013789042041916	0.013561430612154273	0.007393769782929857	0.037446395709242304	0.049940429748921045	0.018737465798024187	0.0211550916186521	0.03378933249234449	0.014832844618200485	0.014191260851851841	0.10780160965466348	inf	0.018113353680401113	0.017770472482918062
distribution:case	0.05462906803985983	0.03866420380067081	0.06162704808054441	0.028418967019284373	0.03752189480290928	0.06300045903442145	0.04538535253503262	0.0	0.04904333808661725	0.06362887102360087	0.05226253693659097	0.037182513928285116	0.05608013198601291	0.06436718448545437	0.051642335883457624	0.026440475794079092	0.05596826006308729	0.04345988731785856	0.05661667253092361	0.058858821156790746	0.05409000582027914	0.05407042893600144	0.017512671524889393	0.01950049628703118	0.06528898427718752	0.03499225797009528	0.02703693837615701	0.050669220665285994	0.058349730264772415	0.05233847799909772	inf	0.05918088989618684	0.06356097451152391
distribution:cc	0.009818055173733973	0.009808115529396732	0.010729293637288286	0.024257963178972372	0.010901031478699476	0.018928005142820985	0.006529479117558923	0.04904333808661725	0.0	0.016205693320006095	0.01600046690551826	0.011485930895062037	0.011752787885204662	0.022258448249011676	0.02171307868494617	0.02062585307399169	0.015653748701706906	0.01648175418575896	0.01759129920104852	0.014872333142337053	0.016234659772785678	0.0060861298816299704	0.040755370416002475	0.05272475684367459	0.01704457109737924	0.02283089284090389	0.03470198834481501	0.01847533018727701	0.015682765095253383	0.10800560777718075	inf	0.020820559968546065	0.01586711763775192
distribution:ccomp	0.0049168465559266735	0.00016555566028259245	0.0062906151498539585	0.0395822627680453	0.027340381540402022	0.0033256375215699363	0.01812641251750196	0.06362887102360087	0.016205693320006095	0.0	0.012367130210397748	0.027528419702615412	0.0032243877402628744	0.006637167834734793	0.01325233351031524	0.03879852389718895	0.009102786558030602	0.004531208990580701	0.0035399737125105016	0.0022971295720638292	0.0031560220183274148	0.011440050969912496	0.05577537007668846	0.06819692767008523	0.0014262668736723522	0.03872602488043629	0.05150563048502448	0.005479880695679927	0.003243548698654727	0.1273542773399412	inf	0.0065839508063702135	0.0009412217510170489
