options	distribution:appos	distribution:cc	distribution:comp	distribution:comp:aux	distribution:comp:obj	distribution:comp:obl	distribution:comp:pred	distribution:compound	distribution:conj	distribution:conj:emb	distribution:det	distribution:discourse	distribution:dislocated	distribution:flat	distribution:mod	distribution:orphan	distribution:parataxis	distribution:punct	distribution:subj	distribution:total	distribution:udep	distribution:unk	distribution:vocative
distribution:appos	0.0	0.007322859573871531	0.058128169345371614	0.0095935538857283	0.04048006010305195	0.004221930248396737	0.005135644906721775	0.008975654626064164	0.011405417338554106	0.002564228869773246	0.016466283484509115	0.007065089336082117	0.002739859810957672	0.004124971077992366	0.03439783416508477	0.0028063071717461235	0.004349776203670199	0.034480453468859196	0.021603997568694914	inf	0.017566538155078887	0.011225695376629596	0.0024519129232926803
distribution:cc	0.007322859573871531	0.0	0.04568823564399793	0.008553378922598703	0.03138443436285462	0.00640211416327435	0.007105576408492935	0.010338008014205235	0.01016575608934675	0.008437979156556337	0.01486650889351864	0.008288041041914825	0.009628439849277711	0.006815687865967963	0.03694568261867616	0.012792716485372982	0.007119768316095526	0.0376025384931422	0.01594908033098493	inf	0.015376892642698425	0.011886287855621952	0.010382859067543925
distribution:comp	0.058128169345371614	0.04568823564399793	0.0	0.03374182832413825	0.02057090965477196	0.0552002998133797	0.05112485250635962	0.037071649892342524	0.03571509336813902	0.06201791277398234	0.03531400017116381	0.03427480015100217	0.08846823137197922	0.05600497493131913	0.027563517525692114	0.09236788553626914	0.042643328716880397	0.026986054971184528	0.029562124934221178	inf	0.029418608644506433	0.038800485170067255	0.08290424081216376
distribution:comp:aux	0.0095935538857283	0.008553378922598703	0.03374182832413825	0.0	0.027913533491531604	0.007776400537201853	0.008834678761280365	0.011071508345396622	0.009890698469602145	0.01064291334988778	0.01557840259981827	0.009294362295241583	0.011573159142045786	0.009675179101243804	0.03213685750961304	0.014147982674260293	0.008724629878997803	0.030190058782988905	0.014754288924668364	inf	0.01638281463396431	0.012789758100901565	0.011846235870609623
distribution:comp:obj	0.04048006010305195	0.03138443436285462	0.02057090965477196	0.027913533491531604	0.0	0.039617102998525985	0.035689148777409606	0.02806400091220171	0.02738767572351404	0.04258827325460073	0.02460192512063419	0.025356977274923614	0.05575048355829148	0.03969148346172866	0.024550217848557692	0.06813049896970971	0.03127413395187618	0.024104191706730768	0.020849217249694484	inf	0.020218057452507737	0.03305586498586377	0.06141054019870528
distribution:comp:obl	0.004221930248396737	0.00640211416327435	0.0552002998133797	0.007776400537201853	0.039617102998525985	0.0	0.005052775721396169	0.0091389570917402	0.009726694553573697	0.004600140946043049	0.015743825963871208	0.006384995343873827	0.0054371091101667	0.004578737859372739	0.040914063818717115	0.005432000083308066	0.004315141421645435	0.04348414835303721	0.01672081432150836	inf	0.02031642028263637	0.010637872607995433	0.005002567832101911
distribution:comp:pred	0.005135644906721775	0.007105576408492935	0.05112485250635962	0.008834678761280365	0.035689148777409606	0.005052775721396169	0.0	0.0089304396446715	0.009890970393750795	0.00512317479667017	0.015644074297275674	0.007447101631943061	0.006046863762955917	0.005162186818580105	0.03795134199076686	0.006864268671382557	0.005128213223194916	0.03701975911554664	0.016041439218619436	inf	0.014958793626112096	0.01112078536640514	0.005601256224461374
distribution:compound	0.008975654626064164	0.010338008014205235	0.037071649892342524	0.011071508345396622	0.02806400091220171	0.0091389570917402	0.0089304396446715	0.0	0.012252823768123504	0.009660468526082495	0.016941674497743316	0.007522882664040343	0.010211369756496313	0.00874876796751094	0.03287048784562343	0.011397764315971962	0.008030922072274344	0.040093197904784106	0.015068695440397158	inf	0.01951666973732613	0.010931501717403017	0.010071633579014064
distribution:conj	0.011405417338554106	0.01016575608934675	0.03571509336813902	0.009890698469602145	0.02738767572351404	0.009726694553573697	0.009890970393750795	0.012252823768123504	0.0	0.01092624857619002	0.01615850976172914	0.011108152837638396	0.013945054687909632	0.010726589036275106	0.032136841425820004	0.019254263944742157	0.010015865943951313	0.03102907034067007	0.014671521850779086	inf	0.016201489915450413	0.013283059176276712	0.015918880701065063
distribution:conj:emb	0.002564228869773246	0.008437979156556337	0.06201791277398234	0.01064291334988778	0.04258827325460073	0.004600140946043049	0.00512317479667017	0.009660468526082495	0.01092624857619002	0.0	0.018150164781372404	0.007132462092808315	0.0010727000863928545	0.0038956634459957	0.05032300172994534	0.0011365133173325483	0.0046939908207713306	0.061160091537138375	0.017131327958631266	inf	0.03402488125103146	0.010746168739655438	0.0010387095911749478
