options	distribution:acl	distribution:acl:relcl	distribution:advcl	distribution:advmod	distribution:amod	distribution:appos	distribution:aux	distribution:case	distribution:cc	distribution:ccomp	distribution:compound	distribution:conj	distribution:cop	distribution:csubj	distribution:dep	distribution:det	distribution:discourse	distribution:dislocated	distribution:fixed	distribution:flat	distribution:iobj	distribution:mark	distribution:nmod	distribution:nsubj	distribution:nummod	distribution:obj	distribution:obl	distribution:orphan	distribution:parataxis	distribution:punct	distribution:total	distribution:vocative	distribution:xcomp
distribution:acl	0.0	0.004396828157561166	0.006084632873535156	0.015545527140299479	0.012477290062677292	0.0046522935500016085	0.012049423853556314	0.03082220015987273	0.009203264984903457	0.003962281872244442	0.010498834020308866	0.011787647292727516	0.005045338194499645	0.004960754258292062	0.011647505943591778	0.020302221641777467	0.007931343772832085	0.0053678942727042244	0.004692491534706596	0.004631181706243486	0.004941368190041423	0.008791643422800343	0.020289713413871112	0.020845317361342847	0.004284501933365417	0.01474665356920911	0.014783107873165247	0.0053507368031301	0.005274825436728341	0.06410024252282567	inf	0.004914856931698398	0.004766979199998519
distribution:acl:relcl	0.004396828157561166	0.0	0.007303852734603281	0.018249802646182832	0.015101709455814002	0.003620123321359808	0.015293482633737417	0.03757294503653922	0.010316085211838348	0.004149759809176127	0.012873027635657269	0.014249302494910455	0.004947233200073242	0.0026897550525521873	0.012766768052740005	0.02464278120743601	0.00959303104771977	0.0037669333127828743	0.00360597449320334	0.005403709953481501	0.003912640185583205	0.009956908564195566	0.024988267949955192	0.021604629610315222	0.0044382351343749	0.015600244204203287	0.018289727323195514	0.003189547542940106	0.005657815933227539	0.07131143056662978	inf	0.0027048563169053763	0.004834625346601502
distribution:advcl	0.006084632873535156	0.007303852734603281	0.0	0.01534239794756915	0.01124590414541739	0.006431801653489834	0.010528116826190065	0.03144294023513794	0.00786077586653965	0.005495197918950295	0.010106704006456349	0.01057739818797392	0.006634146419923697	0.008319296588787453	0.012920560155596053	0.01881685196978491	0.008699706682922147	0.007121394206951191	0.006327315599103517	0.006236576147981592	0.007004910459121068	0.0072148335690529935	0.021389269059704195	0.019816051409082505	0.006279971681792161	0.011756845882960729	0.014595529509753716	0.007593449444798698	0.006241300762099708	0.052554409554664124	inf	0.007034410586517849	0.005480094672807681
distribution:advmod	0.015545527140299479	0.018249802646182832	0.01534239794756915	0.0	0.0150146362109062	0.018150376931331945	0.016082912134977936	0.025563856760660808	0.01522418430873326	0.015037213138599492	0.017321240972485063	0.017400288081669307	0.01949139932791392	0.029017687455201762	0.022088456153869628	0.020270347595214844	0.017406982985156323	0.018383485514943194	0.017162020167996807	0.017197310605788614	0.017776385921499004	0.01555939469226571	0.017271243973283577	0.016338158876467973	0.01516561180937524	0.01386795372798525	0.014663666854670018	0.03314272122468777	0.015860137890796273	0.031961990276556364	inf	0.027725795364898186	0.016175959146384037
distribution:amod	0.012477290062677292	0.015101709455814002	0.01124590414541739	0.0150146362109062	0.0	0.01338613853252754	0.012598928189117637	0.023964458703994752	0.011584096306922451	0.01120757796073872	0.013665095815118754	0.012764241960313585	0.0143832266330719	0.01975870100400781	0.01593456150572977	0.01846662013650798	0.012815900054978735	0.014949508301623456	0.013139750176703024	0.013067995266216556	0.01305108245681314	0.01082380459858821	0.019002976760365605	0.01903506863501764	0.012289621553368331	0.014053821563720703	0.01497588542677601	0.02212435007095337	0.012087636980517158	0.03554603368929117	inf	0.018424627117135307	0.011342380033886951
distribution:appos	0.0046522935500016085	0.003620123321359808	0.006431801653489834	0.018150376931331945	0.01338613853252754	0.0	0.011755211755286816	0.026576619632173292	0.008151101752331382	0.004195146627359457	0.010874111178918934	0.012375679519987599	0.004071357763475842	0.0027512399942282864	0.011766421897657987	0.01956781937230018	0.007989259301752283	0.0031463302167734704	0.003015360304417501	0.004745641121497521	0.0029616737738251686	0.008747121743988572	0.019451886994167437	0.02773426166131868	0.004681070919694572	0.011954828123351437	0.017032386024217097	0.003284258754165084	0.004755190976961391	0.042007624792555966	inf	0.002700981166627672	0.004891055904022635
distribution:aux	0.012049423853556314	0.015293482633737417	0.010528116826190065	0.016082912134977936	0.012598928189117637	0.011755211755286816	0.0	0.024276432536897204	0.01081899018354819	0.011587516861672727	0.01405174888833596	0.012230758397084361	0.012394272551244619	0.01618478021451405	0.016043603831324083	0.017814652069465264	0.010561633568543654	0.013948623287050347	0.012246491331042665	0.012128484172698779	0.011932732585148934	0.010601583548954555	0.018560242652893067	0.017704263500783635	0.011046434006495782	0.011035391982172576	0.016073132242475238	0.017527259165240873	0.011020560807819609	0.03276824242997878	inf	0.01444522974759164	0.011122240261598066
distribution:case	0.03082220015987273	0.03757294503653922	0.03144294023513794	0.025563856760660808	0.023964458703994752	0.026576619632173292	0.024276432536897204	0.0	0.025842856245431287	0.030640668819605376	0.025934061355139378	0.026109171502384138	0.030534778916558553	0.041216604867760014	0.03400319707607795	0.02095790652485637	0.026803901825828112	0.03569093364441466	0.03472208742345317	0.030252954380660408	0.03486445396306129	0.02673559549242951	0.023339227335342508	0.024878783795818593	0.02778711268510768	0.023768940191159302	0.025323349908487686	0.04626815228961235	0.029166210204996962	0.030572358125485248	inf	0.04026810296628841	0.026844336873009092
distribution:cc	0.009203264984903457	0.010316085211838348	0.00786077586653965	0.01522418430873326	0.011584096306922451	0.008151101752331382	0.01081899018354819	0.025842856245431287	0.0	0.00802783060340242	0.012475610558503594	0.01097964554381885	0.008700354679210766	0.013209485693981773	0.013525875308845617	0.01765436704466943	0.010007867446312537	0.011111223244968849	0.009734253576196776	0.008549012955586622	0.008171834500439196	0.008419205956425228	0.020400019897811716	0.0199524720509847	0.00867279822176153	0.011805676794671392	0.014431968729763746	0.015301344939220099	0.008349738925336355	0.038269859729426925	inf	0.01236165344378369	0.008592464252860246
distribution:ccomp	0.003962281872244442	0.004149759809176127	0.005495197918950295	0.015037213138599492	0.01120757796073872	0.004195146627359457	0.011587516861672727	0.030640668819605376	0.00802783060340242	0.0	0.010094781573727835	0.010384691083753431	0.004602467835839115	0.004008085575214652	0.010984187014400959	0.01786667960030692	0.007653575930102118	0.00508805435069286	0.003926754432873134	0.004092065550440507	0.004090127261245952	0.007931809988081085	0.020555923480798703	0.02320544005650554	0.003853781239969747	0.01257265511379447	0.01547621060343622	0.004277554871160773	0.005120832554615327	0.06546044633502052	inf	0.004095071995699847	0.004351785199509727
