options	distribution:appos	distribution:cc	distribution:comp	distribution:comp:aux	distribution:comp:obj	distribution:comp:obl	distribution:comp:pred	distribution:compound	distribution:conj	distribution:conj:emb	distribution:det	distribution:discourse	distribution:dislocated	distribution:flat	distribution:mod	distribution:orphan	distribution:parataxis	distribution:punct	distribution:subj	distribution:total	distribution:udep	distribution:unk	distribution:vocative
distribution:appos	0.0	0.022047853	0.11891233	0.0217085	0.08820771	0.009508588	0.013496213	0.016951868	0.030993981	0.0059188283	0.03876241	0.011086371	0.005815303	0.007211183	0.11225261	0.0049208403	0.008002032	0.11204781	0.046627976	inf	0.074213885	0.018204415	0.005348634
distribution:cc	0.022047853	0.0	0.104565024	0.019807722	0.07363048	0.01688987	0.014864776	0.02772422	0.014777513	0.025843114	0.031491008	0.025544876	0.026101518	0.01960889	0.09309064	0.02698137	0.022939445	0.094402246	0.03245724	inf	0.054019526	0.027162768	0.024965242
distribution:comp	0.11891233	0.104565024	0.0	0.10443088	0.03388308	0.1195432	0.11429509	0.11473971	0.09726669	0.12560137	0.090840355	0.11663587	0.12260128	0.12044324	0.077724524	0.12014641	0.11976371	0.07578855	0.08385909	inf	0.06344125	0.11758947	0.12382436
distribution:comp:aux	0.0217085	0.019807722	0.10443088	0.0	0.07420701	0.021960512	0.016180953	0.023859102	0.02528815	0.021890305	0.032769714	0.02489727	0.02068502	0.019801129	0.099011526	0.02173334	0.021706613	0.090622336	0.035267685	inf	0.055521447	0.023410965	0.023395121
distribution:comp:obj	0.08820771	0.07363048	0.03388308	0.07420701	0.0	0.08696811	0.08124778	0.08475375	0.06977666	0.09462237	0.06129211	0.08720089	0.09286485	0.089389294	0.06675211	0.088942826	0.0882923	0.06502939	0.057986878	inf	0.037504457	0.08635617	0.091393866
distribution:comp:obl	0.009508588	0.01688987	0.1195432	0.021960512	0.08696811	0.0	0.011949281	0.018501455	0.02624818	0.010238741	0.034450278	0.013821287	0.010555002	0.011572019	0.10438248	0.010356429	0.011977114	0.104218446	0.04518401	inf	0.06856429	0.01925374	0.010028101
distribution:comp:pred	0.013496213	0.014864776	0.11429509	0.016180953	0.08124778	0.011949281	0.0	0.021073174	0.024715237	0.014894424	0.03155626	0.015426005	0.014371578	0.012776639	0.101356216	0.015005852	0.014243636	0.10176901	0.035639413	inf	0.063575126	0.014454085	0.014901315
distribution:compound	0.016951868	0.02772422	0.11473971	0.023859102	0.08475375	0.018501455	0.021073174	0.0	0.032452375	0.015221075	0.043078057	0.019902565	0.016953059	0.016730677	0.1044604	0.010686901	0.011977888	0.10466377	0.046935897	inf	0.064791605	0.021539554	0.01427949
distribution:conj	0.030993981	0.014777513	0.09726669	0.02528815	0.06977666	0.02624818	0.024715237	0.032452375	0.0	0.036612377	0.036105327	0.033002123	0.033586957	0.028594766	0.08658129	0.03892267	0.029019546	0.08594296	0.028741073	inf	0.048580743	0.03600102	0.036231685
distribution:conj:emb	0.0059188283	0.025843114	0.12560137	0.021890305	0.09462237	0.010238741	0.014894424	0.015221075	0.036612377	0.0	0.042106707	0.007195257	0.0028446722	0.009531207	0.12081421	0.001888418	0.0066163107	0.11031204	0.048837822	inf	0.076827385	0.015755454	0.002278068
distribution:det	0.03876241	0.031491008	0.090840355	0.032769714	0.06129211	0.034450278	0.03155626	0.043078057	0.036105327	0.042106707	0.0	0.038451564	0.04098359	0.0374599	0.08691802	0.043749947	0.038342785	0.08600828	0.04466456	inf	0.046361484	0.039686803	0.03928852
distribution:discourse	0.011086371	0.025544876	0.11663587	0.02489727	0.08720089	0.013821287	0.015426005	0.019902565	0.033002123	0.007195257	0.038451564	0.0	0.0124530345	0.012255518	0.106811054	0.0085753845	0.008474658	0.10765991	0.044960957	inf	0.07122279	0.019574633	0.00856787
distribution:dislocated	0.005815303	0.026101518	0.12260128	0.02068502	0.09286485	0.010555002	0.014371578	0.016953059	0.033586957	0.0028446722	0.04098359	0.0124530345	0.0	0.009138596	0.115541995	0.0027239672	0.009924979	0.113995835	0.052403037	inf	0.0734926	0.016032116	0.0026963244
distribution:flat	0.007211183	0.01960889	0.12044324	0.019801129	0.089389294	0.011572019	0.012776639	0.016730677	0.028594766	0.009531207	0.0374599	0.012255518	0.009138596	0.0	0.109907046	0.010043507	0.009111873	0.105811924	0.04357014	inf	0.06979892	0.014142375	0.008893909
distribution:mod	0.11225261	0.09309064	0.077724524	0.099011526	0.06675211	0.10438248	0.101356216	0.1044604	0.08658129	0.12081421	0.08691802	0.106811054	0.115541995	0.109907046	0.0	0.126196	0.11093583	0.053620525	0.075094126	inf	0.062590934	0.10875196	0.12138295
distribution:orphan	0.0049208403	0.02698137	0.12014641	0.02173334	0.088942826	0.010356429	0.015005852	0.010686901	0.03892267	0.001888418	0.043749947	0.0085753845	0.0027239672	0.010043507	0.126196	0.0	0.008323323	0.121404864	0.05256131	inf	0.074037805	0.010262775	0.0016052565
distribution:parataxis	0.008002032	0.022939445	0.11976371	0.021706613	0.0882923	0.011977114	0.014243636	0.011977888	0.029019546	0.0066163107	0.038342785	0.008474658	0.009924979	0.009111873	0.11093583	0.008323323	0.0	0.11057204	0.04476579	inf	0.07063597	0.015045194	0.00785803
distribution:punct	0.11204781	0.094402246	0.07578855	0.090622336	0.06502939	0.104218446	0.10176901	0.10466377	0.08594296	0.11031204	0.08600828	0.10765991	0.113995835	0.105811924	0.053620525	0.121404864	0.11057204	0.0	0.07024469	inf	0.05671544	0.10443268	0.12011304
distribution:subj	0.046627976	0.03245724	0.08385909	0.035267685	0.057986878	0.04518401	0.035639413	0.046935897	0.028741073	0.048837822	0.04466456	0.044960957	0.052403037	0.04357014	0.075094126	0.05256131	0.04476579	0.07024469	0.0	inf	0.040651675	0.047252107	0.05055396
distribution:total	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	0.0	inf	inf	inf
distribution:udep	0.074213885	0.054019526	0.06344125	0.055521447	0.037504457	0.06856429	0.063575126	0.064791605	0.048580743	0.076827385	0.046361484	0.07122279	0.0734926	0.06979892	0.062590934	0.074037805	0.07063597	0.05671544	0.040651675	inf	0.0	0.0710658	0.07464947
distribution:unk	0.018204415	0.027162768	0.11758947	0.023410965	0.08635617	0.01925374	0.014454085	0.021539554	0.03600102	0.015755454	0.039686803	0.019574633	0.016032116	0.014142375	0.10875196	0.010262775	0.015045194	0.10443268	0.047252107	inf	0.0710658	0.0	0.013784617
distribution:vocative	0.005348634	0.024965242	0.12382436	0.023395121	0.091393866	0.010028101	0.014901315	0.01427949	0.036231685	0.002278068	0.03928852	0.00856787	0.0026963244	0.008893909	0.12138295	0.0016052565	0.00785803	0.12011304	0.05055396	inf	0.07464947	0.013784617	0.0
