options	distribution:acl	distribution:acl:relcl	distribution:advcl	distribution:advmod	distribution:amod	distribution:appos	distribution:aux	distribution:case	distribution:cc	distribution:ccomp	distribution:compound	distribution:conj	distribution:cop	distribution:csubj	distribution:dep	distribution:det	distribution:discourse	distribution:dislocated	distribution:fixed	distribution:flat	distribution:iobj	distribution:mark	distribution:nmod	distribution:nsubj	distribution:nummod	distribution:obj	distribution:obl	distribution:orphan	distribution:parataxis	distribution:punct	distribution:total	distribution:vocative	distribution:xcomp
distribution:acl	0.0	0.0073734047	0.010490748	0.04337035	0.032057118	0.01088739	0.023097055	0.06756828	0.02059247	0.008928323	0.018471526	0.02888663	0.009922318	0.0119388625	0.023464296	0.040291	0.016437983	0.012895469	0.010796671	0.01079929	0.013288236	0.016699517	0.054537084	0.051146347	0.008170706	0.023339998	0.05058876	0.012836987	0.0113345515	0.11946616	inf	0.012432239	0.009261843
distribution:acl:relcl	0.0073734047	0.0	0.0101157725	0.044367943	0.03693124	0.007841861	0.022658944	0.070562705	0.02283226	0.006221372	0.015908934	0.037102584	0.009298304	0.006781533	0.012475929	0.041700583	0.009396688	0.00883428	0.0068464107	0.008075986	0.008869899	0.018266017	0.058132723	0.055105947	0.0076375976	0.024246728	0.05636473	0.00791915	0.0073341685	0.121211365	inf	0.007631789	0.008493351
distribution:advcl	0.010490748	0.0101157725	0.0	0.040772814	0.032305147	0.013297092	0.023205401	0.066098645	0.02189163	0.011639838	0.019396994	0.028718848	0.010974833	0.014391207	0.024774447	0.03924942	0.017323446	0.015554487	0.013117669	0.014896979	0.011796705	0.017992675	0.051623505	0.050695173	0.012114952	0.022907794	0.047961276	0.014948213	0.013983581	0.11568369	inf	0.014845032	0.012635289
distribution:advmod	0.04337035	0.044367943	0.040772814	0.0	0.03464235	0.050008543	0.042111564	0.062363178	0.032054346	0.046256006	0.047719404	0.030328965	0.043122236	0.053137496	0.0537485	0.0457137	0.046708126	0.057128742	0.050336596	0.0460241	0.047675118	0.039237246	0.04583915	0.03178634	0.045544047	0.03277888	0.035069473	0.057547294	0.04958055	0.088728264	inf	0.056184996	0.04763178
distribution:amod	0.032057118	0.03693124	0.032305147	0.03464235	0.0	0.03698769	0.031971842	0.052952234	0.023657318	0.03303877	0.04066892	0.025270957	0.031927526	0.040662076	0.044822123	0.0396389	0.03989309	0.035222165	0.03956853	0.03322145	0.0394543	0.029300066	0.033791777	0.04384543	0.033004735	0.032634314	0.034222506	0.044512242	0.036979835	0.09231854	inf	0.04117283	0.033808973
distribution:appos	0.01088739	0.007841861	0.013297092	0.050008543	0.03698769	0.0	0.026405366	0.07118651	0.025651367	0.00894182	0.019798005	0.035439115	0.010893427	0.005213159	0.01843754	0.046120327	0.012867318	0.0067101275	0.0061638607	0.008275311	0.007876227	0.020868186	0.059205346	0.05620224	0.0071672453	0.025463412	0.059073783	0.005652289	0.0093260445	0.12633088	inf	0.0059004603	0.0110078165
distribution:aux	0.023097055	0.022658944	0.023205401	0.042111564	0.031971842	0.026405366	0.0	0.059902392	0.023693522	0.022943862	0.028623875	0.029571341	0.019758364	0.027835818	0.03230334	0.038560037	0.029751662	0.024782449	0.026381182	0.023509301	0.029554937	0.020655606	0.049747523	0.042739507	0.024853311	0.025293931	0.042407066	0.025528949	0.025424754	0.101300366	inf	0.027854323	0.024455726
distribution:case	0.06756828	0.070562705	0.066098645	0.062363178	0.052952234	0.07118651	0.059902392	0.0	0.057053514	0.0698813	0.06797649	0.061108444	0.066691995	0.07581895	0.08130497	0.047647066	0.072431244	0.07211584	0.077958055	0.07098106	0.080103084	0.057858367	0.045546945	0.05998858	0.06812021	0.063848376	0.04781595	0.06937836	0.07021783	0.08099671	inf	0.07085861	0.06638923
distribution:cc	0.02059247	0.02283226	0.02189163	0.032054346	0.023657318	0.025651367	0.023693522	0.057053514	0.0	0.023143314	0.032980766	0.016658856	0.019079963	0.028551746	0.037836522	0.036877315	0.02999467	0.030515034	0.027848223	0.023201687	0.024585282	0.018662151	0.045612466	0.039516684	0.022365356	0.021698961	0.03810181	0.03164805	0.027065564	0.10514612	inf	0.029407943	0.022081396
distribution:ccomp	0.008928323	0.006221372	0.011639838	0.046256006	0.03303877	0.00894182	0.022943862	0.0698813	0.023143314	0.0	0.017330833	0.032491736	0.00906269	0.008448256	0.016397536	0.042110525	0.012130848	0.008148277	0.008777219	0.01036697	0.009242041	0.019095479	0.05904362	0.0538341	0.008281653	0.02417671	0.05446456	0.009063538	0.010047473	0.11964866	inf	0.009275645	0.00944516
distribution:compound	0.018471526	0.015908934	0.019396994	0.047719404	0.04066892	0.019798005	0.028623875	0.06797649	0.032980766	0.017330833	0.0	0.037970006	0.022128226	0.017394748	0.028289536	0.051481552	0.023922233	0.020242078	0.017274052	0.019874495	0.023036396	0.028630119	0.057900086	0.057997726	0.018843673	0.03197185	0.05366747	0.01220283	0.014022098	0.11878633	inf	0.016850872	0.019784646
distribution:conj	0.02888663	0.037102584	0.028718848	0.030328965	0.025270957	0.035439115	0.029571341	0.061108444	0.016658856	0.032491736	0.037970006	0.0	0.030909564	0.04012859	0.04842866	0.041803204	0.038372573	0.03851085	0.035963126	0.032746553	0.0345848	0.027744947	0.04263951	0.034992147	0.031598058	0.026714344	0.033676915	0.044429652	0.033571392	0.09587126	inf	0.041691512	0.03215665
distribution:cop	0.009922318	0.009298304	0.010974833	0.043122236	0.031927526	0.010893427	0.019758364	0.066691995	0.019079963	0.00906269	0.022128226	0.030909564	0.0	0.012139166	0.01764737	0.040080857	0.013619341	0.012131405	0.011057951	0.01115045	0.011465957	0.015451379	0.054237314	0.047165085	0.008875705	0.020755162	0.05109357	0.012649959	0.011517355	0.11640049	inf	0.011705915	0.010452759
distribution:csubj	0.0119388625	0.006781533	0.014391207	0.053137496	0.040662076	0.005213159	0.027835818	0.07581895	0.028551746	0.008448256	0.017394748	0.04012859	0.012139166	0.0	0.011283444	0.051530637	0.009315142	0.0037081367	0.004898618	0.009831149	0.0056832293	0.023740942	0.06402562	0.0617312	0.008312047	0.03174266	0.059256364	0.0022488078	0.007447487	0.12776378	inf	0.002701819	0.0120128635
distribution:dep	0.023464296	0.012475929	0.024774447	0.0537485	0.044822123	0.01843754	0.03230334	0.08130497	0.037836522	0.016397536	0.028289536	0.04842866	0.01764737	0.011283444	0.0	0.056308385	0.01784994	0.014051456	0.013603732	0.017610738	0.012561241	0.030218251	0.072915114	0.061840653	0.020295143	0.036599495	0.069067195	0.008442101	0.014666217	0.12044116	inf	0.0118506225	0.025239581
distribution:det	0.040291	0.041700583	0.03924942	0.0457137	0.0396389	0.046120327	0.038560037	0.047647066	0.036877315	0.042110525	0.051481552	0.041803204	0.040080857	0.051530637	0.056308385	0.0	0.045252666	0.047254544	0.04906484	0.04430925	0.04928858	0.033865396	0.050655134	0.05184523	0.041778304	0.03909426	0.047623504	0.051624633	0.04512635	0.095792554	inf	0.04603578	0.039415985
distribution:discourse	0.016437983	0.009396688	0.017323446	0.046708126	0.03989309	0.012867318	0.029751662	0.072431244	0.02999467	0.012130848	0.023922233	0.038372573	0.013619341	0.009315142	0.01784994	0.045252666	0.0	0.014336601	0.010845064	0.014166129	0.011371829	0.025492562	0.06107849	0.055004112	0.013876877	0.02870056	0.05742234	0.009937365	0.009778366	0.12171038	inf	0.009790141	0.017388012
distribution:dislocated	0.012895469	0.00883428	0.015554487	0.057128742	0.035222165	0.0067101275	0.024782449	0.07211584	0.030515034	0.008148277	0.020242078	0.03851085	0.012131405	0.0037081367	0.014051456	0.047254544	0.014336601	0.0	0.006703592	0.010478376	0.008402667	0.025832668	0.058757648	0.06277414	0.009897698	0.03322451	0.060435608	0.0032385096	0.0111055	0.12395808	inf	0.0032002416	0.012120465
distribution:fixed	0.010796671	0.0068464107	0.013117669	0.050336596	0.03956853	0.0061638607	0.026381182	0.077958055	0.027848223	0.008777219	0.017274052	0.035963126	0.011057951	0.004898618	0.013603732	0.04906484	0.010845064	0.006703592	0.0	0.009272443	0.008265749	0.021855468	0.064046785	0.055085324	0.008188232	0.029403117	0.057023957	0.0050502853	0.0079565495	0.12114491	inf	0.0051920335	0.010608386
distribution:flat	0.01079929	0.008075986	0.014896979	0.0460241	0.03322145	0.008275311	0.023509301	0.07098106	0.023201687	0.01036697	0.019874495	0.032746553	0.01115045	0.009831149	0.017610738	0.04430925	0.014166129	0.010478376	0.009272443	0.0	0.012524089	0.019740155	0.057154316	0.052235052	0.008829404	0.02521378	0.05570926	0.0116402665	0.01040636	0.118537635	inf	0.010295016	0.011078837
distribution:iobj	0.013288236	0.008869899	0.011796705	0.047675118	0.0394543	0.007876227	0.029554937	0.080103084	0.024585282	0.009242041	0.023036396	0.0345848	0.011465957	0.0056832293	0.012561241	0.04928858	0.011371829	0.008402667	0.008265749	0.012524089	0.0	0.022059137	0.06414124	0.06073049	0.010065777	0.033176586	0.053111464	0.0057090973	0.009899169	0.11749212	inf	0.0054692794	0.010545131
