graphName	pointsNumber	value
direction-cfc:ADJ-conj-ADJ	88	[100.]
direction-cfc:ADJ-conj-NOUN	71	[100.]
direction-cfc:ADJ-conj-VERB	70	[100.]
direction-cfc:NOUN-conj-NUM	65	[100.]
direction-cfc:NOUN-conj-PROPN	80	[100.]
direction-cfc:NOUN-conj:emb-NOUN	79	[100.]
direction-cfc:NOUN-flat-NOUN	75	[100.]
direction-cfc:NOUN-flat-PROPN	66	[100.]
direction-cfc:NUM-conj-NOUN	64	[100.]
direction-cfc:PRON-conj-NOUN	82	[100.]
direction-cfc:PRON-conj-PRON	76	[100.]
direction-cfc:PROPN-conj-PROPN	91	[100.]
direction-cfc:PROPN-flat-NOUN	63	[100.]
direction-cfc:PROPN-flat-PROPN	87	[100.]
direction-cfc:VERB-conj:emb-VERB	77	[100.]
