name	aff	aff:aux	aff:case	aff:dep	aff:mark	aff:subj	appos	cc	clf	comp	comp:aux	comp:cleft	comp:obj	comp:obl	comp:pred	comp:svc	compound	compound:prt	compound:redup	compound:svc	conj	conj:appos	conj:coord	conj:dicto	conj:emb	conj:obj	conj:redup	det	det:num	discourse	dislocated	dislocated:obj	dislocated:subj	flat	flat:foreign	goeswith	list	mod	mod:appos	mod:aux	mod:emph	mod:focus	mod:num	mod:periph	mod:poss	mod:relcl	orphan	parataxis	parataxis:conj	parataxis:coord	parataxis:dicto	parataxis:discourse	parataxis:dislocated	parataxis:insert	parataxis:mod	parataxis:obj	parataxis:obl	parataxis:parenth	punct	reparandum	subj	subj:obj	udep	unk	unk:scrap	vocative	total
Afrikaans	nan	nan	nan	nan	nan	nan	3.44444	2.32875	nan	3.57396	3.43317	nan	3.25948	7.05649	2.72214	nan	3.46296	nan	nan	nan	4.07725	nan	nan	nan	3.26408	nan	nan	1.31776	nan	nan	nan	nan	nan	1.34199	nan	nan	nan	2.5164	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.62147	nan	4.20273	nan	3.32402	6.62997	nan	nan	3.3127094962111476
Assyrian	nan	nan	nan	nan	nan	nan	nan	1.8	nan	1.34752	1.0	nan	1.47561	1.0	1.3125	nan	1.0	nan	nan	nan	3.83333	nan	nan	nan	nan	nan	nan	1.0625	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.95833	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.5303	nan	2.16667	nan	1.25	nan	nan	nan	1.992551284916201
SouthLevantineArabic	nan	nan	nan	nan	nan	nan	nan	1.28571	nan	1.31004	1.08	nan	1.25434	1.89286	1.0	nan	nan	nan	nan	nan	2.4	nan	nan	nan	nan	nan	nan	1.10526	nan	3.38462	nan	nan	nan	1.0	nan	nan	nan	1.57895	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.47101	nan	1.65854	nan	2.16949	3.33333	nan	nan	1.9760346623093685
Akkadian	nan	nan	nan	nan	nan	nan	9.39676	2.46114	nan	2.66228	nan	nan	2.60379	6.9661	14.2	nan	2.71429	nan	nan	nan	3.05471	nan	nan	nan	3.74359	nan	nan	1.02177	nan	7.55556	nan	nan	nan	1.0	nan	nan	3.85714	1.82105	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.68519	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.5475	nan	4.73302	1.34954	nan	10.8	3.2137048654568217
Amharic	nan	nan	nan	nan	nan	nan	nan	1.71591	1.0	1.91213	1.89655	nan	1.84807	3.58763	1.79213	nan	2.225	nan	nan	nan	3.95833	nan	nan	nan	4.0	nan	nan	1.07757	nan	2.16746	nan	nan	nan	1.25	nan	1.07692	nan	2.8216	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.83333	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.44597	nan	2.22788	nan	3.12927	1.61545	nan	nan	2.0814025416023334
Apurinã	nan	nan	nan	nan	nan	nan	nan	2.5	nan	1.34177	1.0	nan	1.35526	nan	1.0	nan	nan	nan	nan	nan	3.34545	nan	nan	nan	2.0	nan	nan	1.11111	nan	nan	3.0	nan	nan	nan	nan	nan	nan	1.40385	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.54478	nan	1.45	nan	1.81818	1.5	nan	nan	2.0503147012578617
Akuntsu	nan	nan	nan	nan	nan	nan	1.83333	nan	nan	1.18519	1.0	nan	1.17647	1.5	nan	nan	nan	nan	nan	nan	2.33333	nan	nan	nan	2.25	nan	nan	nan	nan	1.875	1.0	nan	nan	nan	nan	nan	nan	1.19231	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.27778	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.30556	nan	1.67213	nan	1.66667	1.14286	nan	nan	1.4849331506849315
Arabic	nan	nan	nan	nan	nan	nan	3.19444	2.68592	nan	3.03514	1.19683	nan	2.14024	7.16822	4.45546	nan	1.55198	nan	nan	nan	6.88943	nan	nan	nan	8.08184	nan	nan	1.26663	nan	4.87719	5.60096	nan	nan	1.04029	nan	1.5	nan	2.09784	nan	nan	nan	nan	nan	nan	nan	nan	23.79825	9.76991	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.31588	nan	2.12757	nan	3.80298	3.2036	nan	9.0	3.706423971373951
Belarusian	nan	nan	nan	nan	nan	nan	2.3244	2.00321	nan	1.68421	1.23684	nan	1.66454	2.03887	1.8725	nan	1.15917	nan	nan	nan	4.5404	nan	nan	nan	4.5175	nan	nan	1.26436	nan	5.50938	5.15385	nan	nan	1.04569	nan	5.92308	3.53406	1.70182	nan	nan	nan	nan	nan	nan	nan	nan	3.01969	5.95073	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.566	1.2	2.41194	nan	2.50998	1.7046	nan	3.58929	2.522012605495569
Beja	1.10976	1.30435	1.07692	1.71429	1.02222	1.08228	nan	1.52	nan	2.48148	3.1875	nan	2.35714	2.5	3.22222	2.66667	1.0	nan	nan	nan	5.17857	5.0	6.625	3.42857	nan	nan	2.5	1.27642	1.0	5.6087	4.5	4.75	2.0	nan	nan	nan	nan	4.11966	nan	2.0	nan	2.0	nan	nan	1.25	5.52381	nan	4.9375	nan	3.5	nan	nan	nan	nan	4.0	5.09302	5.0	nan	1.91228	nan	4.51282	2.0	nan	nan	nan	5.5	2.390423591160221
