name	aff	aff:aux	aff:case	aff:dep	aff:mark	aff:subj	appos	cc	clf	comp	comp:aux	comp:cleft	comp:obj	comp:obl	comp:pred	comp:svc	compound	compound:prt	compound:redup	compound:svc	conj	conj:appos	conj:coord	conj:dicto	conj:emb	conj:obj	conj:redup	det	det:num	discourse	dislocated	dislocated:obj	dislocated:subj	flat	flat:foreign	goeswith	list	mod	mod:appos	mod:aux	mod:emph	mod:focus	mod:num	mod:periph	mod:poss	mod:relcl	orphan	parataxis	parataxis:conj	parataxis:coord	parataxis:dicto	parataxis:discourse	parataxis:dislocated	parataxis:insert	parataxis:mod	parataxis:obj	parataxis:obl	parataxis:parenth	punct	reparandum	subj	subj:obj	udep	unk	unk:scrap	vocative	total
Afrikaans	nan	nan	nan	nan	nan	nan	3.44444	1.84277	nan	1.18647	2.46865	nan	0.34163	6.49157	-0.00282	nan	0.95062	nan	nan	nan	4.01489	nan	nan	nan	3.26408	nan	nan	-1.31642	nan	nan	nan	nan	nan	1.34199	nan	nan	nan	-0.74993	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.41076	nan	-3.84845	nan	0.13837	3.90951	nan	nan	0.7290956296557923
Assyrian	nan	nan	nan	nan	nan	nan	nan	-0.92	nan	0.6383	0.36842	nan	1.28049	1.0	-0.9375	nan	-1.0	nan	nan	nan	3.83333	nan	nan	nan	nan	nan	nan	-1.0625	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.625	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.92424	nan	-2.02381	nan	1.25	nan	nan	nan	0.7821232774674115
SouthLevantineArabic	nan	nan	nan	nan	nan	nan	nan	-0.28571	nan	1.15284	1.08	nan	1.12717	1.46429	0.33333	nan	nan	nan	nan	nan	2.4	nan	nan	nan	nan	nan	nan	-0.89474	nan	-0.30769	nan	nan	nan	1.0	nan	nan	nan	1.14474	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.6	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.45652	nan	0.04878	nan	1.72881	-2.66667	nan	nan	1.5642711437908499
Akkadian	nan	nan	nan	nan	nan	nan	9.39676	-2.46114	nan	-1.19863	nan	nan	-1.1417	-5.23729	-14.2	nan	-2.14286	nan	nan	nan	3.05471	nan	nan	nan	3.74359	nan	nan	1.01199	nan	-7.55556	nan	nan	nan	1.0	nan	nan	3.85714	1.09965	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.68519	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-6.44732	nan	-3.99559	0.57751	nan	-10.8	0.20751679217076915
Amharic	nan	nan	nan	nan	nan	nan	nan	0.80682	-1.0	-0.63199	-1.50157	nan	-0.31562	-2.70103	-1.72472	nan	-2.175	nan	nan	nan	3.83333	nan	nan	nan	4.0	nan	nan	0.67505	nan	1.31579	nan	nan	nan	1.25	nan	0.61538	nan	-2.27136	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.83333	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.44597	nan	-1.41184	nan	-2.90488	1.27344	nan	nan	-0.380941895693944
Apurinã	nan	nan	nan	nan	nan	nan	nan	-2.5	nan	0.88608	-1.0	nan	0.96053	nan	-1.0	nan	nan	nan	nan	nan	3.34545	nan	nan	nan	2.0	nan	nan	-1.11111	nan	nan	-3.0	nan	nan	nan	nan	nan	nan	-0.92308	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.45522	nan	-0.93	nan	0.45455	-1.5	nan	nan	0.6823895283018868
Akuntsu	nan	nan	nan	nan	nan	nan	1.83333	nan	nan	-0.96296	-1.0	nan	-1.01961	0.5	nan	nan	nan	nan	nan	nan	2.33333	nan	nan	nan	2.25	nan	nan	nan	nan	1.5	-1.0	nan	nan	nan	nan	nan	nan	-0.47436	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.61111	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.97222	nan	-1.2459	nan	0.0	0.28571	nan	nan	-0.2082194520547945
Arabic	nan	nan	nan	nan	nan	nan	3.19444	-0.26818	nan	2.81369	0.79497	nan	1.9498	7.00951	2.52935	nan	0.0571	nan	nan	nan	6.88552	nan	nan	nan	8.08184	nan	nan	-0.61906	nan	0.94737	-5.55288	nan	nan	1.04029	nan	1.5	nan	1.78089	nan	nan	nan	nan	nan	nan	nan	nan	23.79825	9.68115	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	14.58073	nan	0.37579	nan	3.28311	3.1685	nan	9.0	3.2329828825586335
Belarusian	nan	nan	nan	nan	nan	nan	2.32406	-1.98639	nan	1.31481	0.83938	nan	1.38506	0.72822	0.74843	nan	-1.12457	nan	nan	nan	4.53922	nan	nan	nan	4.5175	nan	nan	-1.16759	nan	3.47812	-3.30769	nan	nan	1.0409	nan	5.92308	3.50751	-0.0645	nan	nan	nan	nan	nan	nan	nan	nan	0.42913	4.19827	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.75094	-1.2	-1.2693	nan	0.23392	0.31751	nan	-0.47024	1.1126675850422698
Beja	0.28049	0.78261	1.07692	1.71429	0.97778	-0.12025	nan	1.28	nan	-1.7963	-2.6875	nan	-1.51299	-2.20588	-3.22222	-2.66667	-1.0	nan	nan	nan	-3.17857	5.0	-6.625	3.14286	nan	nan	-2.5	-0.18699	-1.0	-3.34783	2.5	4.75	2.0	nan	nan	nan	nan	-1.76068	nan	-2.0	nan	-2.0	nan	nan	1.25	2.19048	nan	-4.22917	nan	-3.5	nan	nan	nan	nan	-4.0	-4.30233	-5.0	nan	1.90058	nan	-4.25641	0.0	nan	nan	nan	-5.5	-0.7673422038060159
