name	aff	aff:aux	aff:case	aff:dep	aff:mark	aff:subj	appos	cc	clf	comp	comp:aux	comp:cleft	comp:obj	comp:obl	comp:pred	comp:svc	compound	compound:prt	compound:redup	compound:svc	conj	conj:appos	conj:coord	conj:dicto	conj:emb	conj:obj	conj:redup	det	det:num	discourse	dislocated	dislocated:obj	dislocated:subj	flat	flat:foreign	goeswith	list	mod	mod:appos	mod:aux	mod:emph	mod:focus	mod:num	mod:periph	mod:poss	mod:relcl	orphan	parataxis	parataxis:conj	parataxis:coord	parataxis:dicto	parataxis:discourse	parataxis:dislocated	parataxis:insert	parataxis:mod	parataxis:obj	parataxis:obl	parataxis:parenth	punct	reparandum	subj	subj:obj	udep	unk	unk:scrap	vocative	total
Afrikaans	nan	nan	nan	nan	nan	nan	0.00101	0.03033	nan	0.23194	0.03892	nan	0.1626	0.01904	0.01138	nan	0.0052	nan	nan	nan	0.0345	nan	nan	nan	0.00827	nan	nan	0.09585	nan	nan	nan	nan	nan	0.00371	nan	nan	nan	0.10766	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07223	nan	0.05646	nan	0.09305	0.02785	nan	nan	62288
Assyrian	nan	nan	nan	nan	nan	nan	nan	0.04655	nan	0.26257	0.03538	nan	0.1527	0.0149	0.05959	nan	0.00745	nan	nan	nan	0.04469	nan	nan	nan	nan	nan	nan	0.0298	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.08939	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00372	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.12291	nan	0.07821	nan	0.05214	nan	nan	nan	537
SouthLevantineArabic	nan	nan	nan	nan	nan	nan	nan	0.01525	nan	0.24946	0.02723	nan	0.18845	0.0305	0.00327	nan	nan	nan	nan	nan	0.01089	nan	nan	nan	nan	nan	nan	0.0207	nan	0.01416	nan	nan	nan	0.00654	nan	nan	nan	0.16558	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00545	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.15033	nan	0.04466	nan	0.06427	0.00327	nan	nan	918
Akkadian	nan	nan	nan	nan	nan	nan	0.0729	0.02013	nan	0.18746	nan	nan	0.18523	0.00205	0.00017	nan	0.00024	nan	nan	nan	0.1004	nan	nan	nan	0.00136	nan	nan	0.07826	nan	0.00031	nan	nan	nan	0.00031	nan	nan	0.00097	0.19816	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00188	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.02013	nan	0.11824	0.01144	nan	0.00035	28764
Amharic	nan	nan	nan	nan	nan	nan	nan	0.00755	9e-05	0.23332	0.02736	nan	0.18236	0.00832	0.01527	nan	0.00686	nan	nan	nan	0.00412	nan	nan	nan	0.00017	nan	nan	0.04092	nan	0.01793	nan	nan	nan	0.00034	nan	0.00112	nan	0.09135	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00051	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.09367	nan	0.13476	nan	0.03517	0.09882	nan	nan	11658
Apurinã	nan	nan	nan	nan	nan	nan	nan	0.01258	nan	0.12421	0.00314	nan	0.1195	nan	0.00157	nan	nan	nan	nan	nan	0.08648	nan	nan	nan	0.00472	nan	nan	0.04245	nan	nan	0.00157	nan	nan	nan	nan	nan	nan	0.16352	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.21069	nan	0.15723	nan	0.06918	0.00314	nan	nan	636
Akuntsu	nan	nan	nan	nan	nan	nan	0.01644	nan	nan	0.14795	0.00274	nan	0.13973	0.00548	nan	nan	nan	nan	nan	nan	0.01644	nan	nan	nan	0.01096	nan	nan	nan	nan	0.04384	0.00274	nan	nan	nan	nan	nan	nan	0.2137	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.04932	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.09863	nan	0.16712	nan	0.06575	0.01918	nan	nan	365
Arabic	nan	nan	nan	nan	nan	nan	0.0008	0.04605	nan	0.26868	0.00387	nan	0.21347	0.04617	0.00517	nan	0.00099	nan	nan	nan	0.00995	nan	nan	nan	0.00036	nan	nan	0.00478	nan	4e-05	0.00015	nan	nan	0.01219	nan	0.0	nan	0.23871	nan	nan	nan	nan	nan	nan	nan	nan	0.00016	0.00395	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07204	nan	0.03578	nan	0.02702	0.00966	nan	0.0	1386709
Belarusian	nan	nan	nan	nan	nan	nan	0.01811	0.02709	nan	0.15966	0.0033	nan	0.14186	0.00925	0.00524	nan	0.00173	nan	nan	nan	0.0408	nan	nan	nan	0.00163	nan	nan	0.01722	nan	0.00096	4e-05	nan	nan	0.01876	nan	0.00023	0.00519	0.18524	nan	nan	nan	nan	nan	nan	nan	nan	0.00076	0.02044	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.17079	1e-05	0.06246	nan	0.08676	0.02196	nan	0.0005	333687
Beja	0.15101	0.01412	0.00798	0.0043	0.02762	0.09699	nan	0.01535	nan	0.1326	0.00982	nan	0.09454	0.02087	0.00552	0.00184	0.00061	nan	nan	nan	0.01719	0.00061	0.00982	0.0043	nan	nan	0.00246	0.07551	0.00061	0.01412	0.00368	0.00246	0.00061	nan	nan	nan	nan	0.07182	nan	0.00061	nan	0.00061	nan	nan	0.00982	0.01289	nan	0.02947	nan	0.00123	nan	nan	nan	nan	0.00061	0.0264	0.00061	nan	0.10497	nan	0.02394	0.00123	nan	nan	nan	0.00123	1629
Bulgarian	nan	nan	nan	nan	nan	nan	0.00018	0.02555	nan	0.23774	0.03269	nan	0.17228	0.01993	0.01284	nan	1e-05	nan	nan	nan	0.02924	nan	nan	nan	0.0007	nan	nan	0.01818	nan	0.00363	nan	nan	nan	0.0089	nan	2e-05	nan	0.14126	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00231	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.11584	nan	0.06277	nan	0.09395	0.02168	nan	0.0003	190412
Bhojpuri	nan	nan	nan	nan	nan	nan	0.00013	0.00341	0.00038	0.2026	0.03943	nan	0.15369	0.0067	0.00278	nan	0.20437	nan	nan	nan	0.01416	nan	nan	nan	0.00013	nan	nan	0.02199	nan	0.00101	nan	nan	nan	0.00013	nan	0.00013	0.00126	0.10566	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.08784	nan	0.03665	nan	0.11299	0.00455	nan	nan	7912
Bambara	nan	nan	nan	nan	nan	nan	0.00123	0.00387	nan	0.25037	0.08178	nan	0.15389	0.01441	0.00029	nan	0.00439	nan	nan	nan	0.00375	nan	nan	nan	nan	nan	nan	0.0297	nan	0.04552	0.00281	nan	nan	0.00439	nan	nan	nan	0.04997	nan	nan	nan	nan	nan	nan	nan	nan	0.00088	0.04429	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.11411	0.00029	0.10878	nan	0.07645	0.0024	nan	0.00644	17071
Breton	nan	nan	nan	nan	nan	nan	0.0032	0.01692	nan	0.24694	0.09132	nan	0.13025	0.00665	0.01872	nan	0.00156	nan	nan	nan	0.01946	nan	nan	nan	0.00033	nan	nan	0.09904	nan	0.00016	0.00025	nan	nan	0.00205	nan	nan	0.00016	0.1314	nan	nan	nan	nan	nan	nan	nan	nan	0.00016	0.00304	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.09469	nan	0.04738	nan	0.06759	0.01856	nan	0.00016	12177
Buryat	nan	nan	nan	nan	nan	nan	0.006	0.00764	nan	0.10393	0.01655	nan	0.07393	0.00542	0.00803	nan	0.03368	nan	nan	nan	0.027	nan	nan	nan	0.00019	nan	nan	0.02216	nan	0.03832	nan	nan	nan	0.027	nan	nan	0.00126	0.33288	nan	nan	nan	nan	nan	nan	nan	nan	0.00068	0.02671	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.17883	nan	0.07219	nan	0.01355	0.00348	nan	0.00058	10334
Catalan	nan	nan	nan	nan	nan	nan	0.01108	0.02124	nan	0.23494	0.02467	nan	0.19673	0.00573	0.00708	nan	0.00484	nan	nan	nan	0.0239	nan	nan	nan	0.00049	nan	nan	0.12544	nan	0.0	nan	nan	nan	0.02604	nan	nan	nan	0.0945	nan	nan	nan	nan	nan	nan	nan	nan	2e-05	0.00083	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07716	nan	0.04123	nan	0.09069	0.01341	nan	nan	692482
Chukot	nan	nan	nan	nan	nan	nan	0.00929	0.02242	nan	0.06689	0.00857	nan	0.04684	0.00055	0.01093	nan	nan	nan	nan	nan	0.01549	nan	nan	nan	nan	nan	nan	0.00711	nan	0.05467	0.00292	nan	nan	0.0082	nan	nan	nan	0.29761	nan	nan	nan	nan	nan	nan	nan	nan	0.002	0.06816	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.18298	0.05376	0.07454	nan	0.05486	0.00565	nan	0.00656	5487
Coptic	nan	nan	nan	nan	nan	nan	0.0055	0.02286	nan	0.26821	0.0461	nan	0.20536	0.00988	0.00687	nan	0.00041	nan	nan	nan	0.01792	nan	nan	nan	0.00056	nan	nan	0.09258	nan	0.00091	0.01173	nan	nan	0.00077	nan	nan	nan	0.06141	nan	nan	nan	nan	nan	nan	nan	nan	0.00033	0.00927	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.04831	0.00011	0.07824	nan	0.10618	0.00447	nan	0.00202	63946
Czech	nan	nan	nan	nan	nan	nan	0.0041	0.03344	nan	0.19229	0.01227	nan	0.14226	0.02038	0.0144	nan	0.00112	nan	nan	nan	0.04247	nan	nan	nan	0.00174	nan	nan	0.01858	nan	0.00031	nan	nan	nan	0.01015	nan	nan	nan	0.22826	nan	nan	nan	nan	nan	nan	nan	nan	0.00248	0.00107	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.12359	nan	0.05555	nan	0.07459	0.02079	nan	0.00016	2590612
OldChurchSlavonic	nan	nan	nan	nan	nan	nan	0.00653	0.07235	nan	0.23696	0.00294	nan	0.16676	0.03896	0.0283	nan	nan	nan	nan	nan	0.05028	nan	nan	nan	0.00129	nan	nan	0.02024	nan	0.03026	0.00204	nan	nan	0.00046	nan	nan	nan	0.16429	nan	nan	nan	nan	nan	nan	nan	nan	0.00299	0.00107	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07745	nan	0.06549	0.02237	nan	0.00898	67247
Welsh	nan	nan	nan	nan	nan	nan	0.00396	0.02446	nan	0.24199	0.03056	nan	0.15091	0.01034	0.05019	nan	0.00251	nan	nan	nan	0.02844	nan	nan	nan	0.00102	nan	nan	0.05313	nan	0.00011	nan	nan	nan	0.00919	nan	nan	nan	0.16587	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00128	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07398	nan	0.04243	nan	0.08754	0.02208	nan	2e-05	46241
Danish	nan	nan	nan	nan	nan	nan	0.00296	0.02611	nan	0.21261	0.02606	nan	0.1666	0.00306	0.01689	nan	0.00326	nan	nan	nan	0.02897	nan	nan	nan	0.00111	nan	nan	0.04522	nan	0.00026	nan	nan	nan	0.01358	nan	7e-05	0.00164	0.1639	nan	nan	nan	nan	nan	nan	nan	nan	nan	1e-05	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.11505	2e-05	0.07502	nan	0.08558	0.01178	nan	0.00026	121102
German	nan	nan	nan	nan	nan	nan	0.01208	0.01971	nan	0.19188	0.02871	nan	0.14839	0.00596	0.00882	nan	0.00549	nan	nan	nan	0.02497	nan	nan	nan	0.0008	nan	nan	0.1066	nan	1e-05	nan	nan	nan	0.02318	nan	0.0	nan	0.15862	nan	nan	nan	nan	nan	nan	nan	nan	2e-05	0.00391	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.10086	1e-05	0.06468	nan	0.09141	0.0039	nan	0.0	4391649
Greek	nan	nan	nan	nan	nan	nan	0.00355	0.02727	nan	0.17971	0.03257	nan	0.13307	0.00311	0.01096	nan	0.0003	nan	nan	nan	0.02871	nan	nan	nan	0.00036	nan	nan	0.16325	nan	9e-05	nan	nan	nan	0.00894	nan	nan	nan	0.19658	nan	nan	nan	nan	nan	nan	nan	nan	0.00055	0.00152	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.08505	nan	0.05101	nan	0.07093	0.00148	nan	0.001	74299
English	nan	nan	nan	nan	nan	nan	0.00464	0.02709	nan	0.2174	0.0307	nan	0.15568	0.0102	0.02083	nan	0.02581	nan	nan	nan	0.03066	nan	nan	nan	0.00083	nan	nan	0.06838	nan	0.00212	0.00022	nan	nan	0.00609	nan	0.00049	0.00106	0.13464	nan	nan	nan	nan	nan	nan	nan	nan	0.00014	0.00488	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.09773	0.0002	0.07296	nan	0.07974	0.00701	nan	0.0005	807605
Spanish	nan	nan	nan	nan	nan	nan	0.01323	0.02304	nan	0.22057	0.01079	nan	0.18722	0.01042	0.01036	nan	0.00254	nan	nan	nan	0.02729	nan	nan	nan	0.00068	nan	nan	0.11901	nan	9e-05	nan	nan	nan	0.01758	nan	2e-05	1e-05	0.10571	nan	nan	nan	nan	nan	nan	nan	nan	3e-05	0.00197	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.09183	nan	0.03981	nan	0.10455	0.01326	nan	0.0	1256108
Yupik	nan	nan	nan	nan	nan	nan	0.00869	0.00166	nan	0.06498	nan	nan	0.06167	0.00331	nan	nan	nan	nan	nan	nan	0.00083	nan	nan	nan	nan	nan	nan	0.00207	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.11672	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.12831	nan	0.07161	nan	0.02856	0.51159	nan	nan	2416
Estonian	nan	nan	nan	nan	nan	nan	0.00677	0.03446	nan	0.15153	0.0256	nan	0.09798	0.0009	0.02706	nan	0.0107	nan	nan	nan	0.04646	nan	nan	nan	0.00097	nan	nan	0.01539	nan	0.00145	nan	nan	nan	0.01053	nan	0.00043	2e-05	0.24072	nan	nan	nan	nan	nan	nan	nan	nan	0.00108	0.01367	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.14926	1e-05	0.07789	nan	0.08536	0.00135	nan	0.00039	554725
Basque	nan	nan	nan	nan	nan	nan	0.00401	0.03376	nan	0.1878	0.07489	nan	0.08033	0.00792	0.02466	nan	0.01161	nan	nan	nan	0.03756	nan	nan	nan	0.00064	nan	nan	0.02188	nan	0.00048	nan	nan	nan	0.01485	nan	nan	nan	0.21515	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.14296	nan	0.06511	nan	0.07159	0.00416	nan	0.0003	138560
Persian	nan	nan	nan	nan	nan	nan	0.00201	0.0355	nan	0.23934	0.01984	nan	0.16856	0.03086	0.02008	nan	0.04738	nan	nan	nan	0.03979	nan	nan	nan	0.0023	nan	nan	0.01749	nan	nan	9e-05	nan	nan	0.01473	nan	0.0	nan	0.16251	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07072	nan	0.04578	nan	0.07715	0.00522	nan	0.00029	817016
Finnish	nan	nan	nan	nan	nan	nan	0.00359	0.03338	nan	0.16528	0.03515	nan	0.10196	0.0023	0.02587	nan	0.00623	nan	nan	nan	0.04371	nan	nan	nan	0.00111	nan	nan	0.01825	nan	0.00202	nan	nan	nan	0.01223	nan	0.00016	nan	0.26166	nan	nan	nan	nan	nan	nan	nan	nan	0.00104	0.00295	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.13361	4e-05	0.08392	nan	0.05797	0.00673	nan	0.00085	431765
