name	acl	acl:adv	acl:attr	acl:cleft	acl:fixed	acl:inf	acl:relat	acl:relcl	advcl	advcl:abs	advcl:cau	advcl:cleft	advcl:cmpr	advcl:cond	advcl:coverb	advcl:eval	advcl:lcl	advcl:lto	advcl:mcl	advcl:pred	advcl:relcl	advcl:sp	advcl:svc	advcl:tcl	advmod	advmod:arg	advmod:cau	advmod:comp	advmod:deg	advmod:det	advmod:df	advmod:emph	advmod:eval	advmod:fixed	advmod:foc	advmod:freq	advmod:lfrom	advmod:lmod	advmod:lmp	advmod:locy	advmod:lto	advmod:mmod	advmod:mode	advmod:neg	advmod:obl	advmod:que	advmod:tfrom	advmod:tlocy	advmod:tmod	advmod:to	advmod:tto	amod	amod:att	amod:attlvc	amod:flat	appos	appos:trans	aux	aux:aff	aux:aspect	aux:caus	aux:clitic	aux:cnd	aux:ex	aux:imp	aux:nec	aux:neg	aux:opt	aux:part	aux:pass	aux:pot	aux:q	aux:tense	case	case:acc	case:adv	case:aff	case:det	case:gen	case:loc	case:pred	case:voc	cc	cc:nc	cc:preconj	ccomp	ccomp:cleft	ccomp:obj	ccomp:obl	ccomp:pmod	ccomp:pred	clf	compound	compound:a	compound:affix	compound:dir	compound:ext	compound:lvc	compound:nn	compound:preverb	compound:prt	compound:quant	compound:redup	compound:smixut	compound:svc	compound:vo	compound:vv	conj	conj:expl	conj:extend	conj:svc	cop	cop:expl	cop:locat	cop:own	csubj	csubj:cleft	csubj:cop	csubj:pass	dep	dep:aff	dep:agr	dep:alt	dep:ana	dep:aux	dep:comp	dep:conj	dep:cop	dep:emo	dep:infl	dep:mark	dep:mod	dep:pos	dep:redup	dep:ss	det	det:adj	det:noun	det:numgov	det:nummod	det:poss	det:predet	det:pron	det:rel	discourse	discourse:emo	discourse:filler	discourse:intj	discourse:sp	dislocated	dislocated:cleft	dislocated:csubj	dislocated:nsubj	dislocated:obj	dislocated:subj	expl	expl:comp	expl:impers	expl:pass	expl:poss	expl:pv	expl:subj	fixed	flat	flat:abs	flat:dist	flat:foreign	flat:name	flat:num	flat:range	flat:repeat	flat:sibl	flat:title	flat:vv	goeswith	iobj	iobj:agent	iobj:appl	iobj:patient	list	mark	mark:adv	mark:advmod	mark:aff	mark:prt	mark:q	mark:rel	nmod	nmod:agent	nmod:appos	nmod:arg	nmod:att	nmod:attlvc	nmod:attr	nmod:bahuv	nmod:cau	nmod:comp	nmod:flat	nmod:gen	nmod:gobj	nmod:gsubj	nmod:lfrom	nmod:lmod	nmod:npmod	nmod:obj	nmod:obl	nmod:part	nmod:poss	nmod:pred	nmod:prp	nmod:redup	nmod:relat	nmod:subj	nmod:tmod	nsubj	nsubj:advmod	nsubj:aff	nsubj:bfoc	nsubj:caus	nsubj:cleft	nsubj:cop	nsubj:ifoc	nsubj:lfoc	nsubj:lvc	nsubj:nc	nsubj:obj	nsubj:pass	nsubj:periph	nummod	nummod:det	nummod:entity	nummod:flat	nummod:gov	obj	obj:advmod	obj:advneg	obj:agent	obj:appl	obj:caus	obj:lvc	obj:obl	obj:periph	obl	obl:advmod	obl:agent	obl:appl	obl:arg	obl:cau	obl:cmp	obl:cmpr	obl:comp	obl:dat	obl:freq	obl:inst	obl:lfrom	obl:lmod	obl:lmp	obl:lto	obl:lvc	obl:mcl	obl:mod	obl:npmod	obl:orphan	obl:own	obl:patient	obl:pmod	obl:poss	obl:prep	obl:sentcon	obl:smod	obl:tmod	orphan	orphan:missing	parataxis	parataxis:appos	parataxis:conj	parataxis:coord	parataxis:deletion	parataxis:discourse	parataxis:dislocated	parataxis:hashtag	parataxis:insert	parataxis:mod	parataxis:newsent	parataxis:nsubj	parataxis:obj	parataxis:parenth	parataxis:rel	parataxis:rep	parataxis:restart	parataxis:rt	parataxis:sentence	parataxis:trans	parataxis:url	punct	reparandum	vocative	vocative:cl	vocative:mention	xcomp	xcomp:cleft	xcomp:ds	xcomp:obj	xcomp:pred	xcomp:sp	xcomp:subj	total
Afrikaans	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.49495	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.51079	nan	nan	nan	3.73016	nan	3.30528	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.66199	nan	nan	nan	2.491	nan	nan	nan	nan	nan	nan	nan	nan	2.35045	nan	nan	7.14537	nan	nan	nan	nan	nan	nan	3.46296	nan	nan	nan	nan	nan	nan	nan	3.46296	nan	nan	nan	nan	nan	nan	4.2322	nan	nan	nan	2.8437	nan	nan	nan	5.66667	nan	nan	nan	6.63986	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.31776	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.5	1.48918	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.08475	nan	nan	nan	nan	1.30667	nan	nan	nan	nan	nan	nan	3.04114	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.68725	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.43275	nan	1.25	nan	nan	nan	nan	4.02959	nan	nan	nan	nan	nan	nan	nan	nan	5.29493	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.78217	nan	nan	nan	nan	6.4411	nan	nan	nan	nan	nan	nan	3.326512820392509
Assyrian	2.33333	nan	nan	nan	nan	nan	nan	1.5	4.54545	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.04545	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	1.15789	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	1.2093	nan	nan	nan	nan	nan	nan	nan	nan	1.92	nan	nan	3.66667	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.41667	nan	nan	nan	1.28125	nan	nan	nan	6.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0625	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	1.8	nan	nan	nan	nan	nan	nan	2.05263	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	1.80488	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0	nan	nan	nan	nan	nan	nan	1.79167	nan	nan	nan	nan	nan	nan	nan	nan	2.625	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.72727	nan	nan	nan	nan	1.66667	nan	nan	nan	nan	nan	nan	2.437810199004975
SouthLevantineArabic	2.27273	nan	nan	nan	nan	nan	nan	nan	3.52632	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.10714	nan	nan	nan	nan	nan	1.08	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.1039	nan	nan	nan	nan	nan	nan	nan	nan	1.28571	nan	nan	2.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.05263	nan	nan	nan	nan	nan	nan	nan	nan	3.69231	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.16667	nan	nan	1.16667	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	nan	nan	nan	1.31818	nan	nan	nan	nan	nan	nan	1.56757	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	1.7561	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	1.40984	nan	nan	nan	nan	nan	nan	nan	nan	2.82258	nan	nan	nan	2.4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.21014	nan	nan	nan	nan	1.5	nan	nan	nan	nan	nan	nan	2.2377050136612024
Akkadian	9.13284	nan	nan	nan	nan	nan	nan	9.33462	7.92982	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0593	nan	nan	nan	nan	nan	nan	1.00518	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.10925	nan	nan	nan	9.65525	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.00344	nan	nan	nan	nan	nan	nan	nan	nan	2.49138	nan	nan	10.38462	nan	nan	nan	nan	nan	nan	2.42857	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.31957	nan	nan	nan	14.25	nan	nan	nan	5.8125	nan	nan	nan	1.37987	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.02167	nan	nan	nan	nan	1.0	nan	nan	nan	7.55556	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.45455	1.11111	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	7.26667	nan	nan	nan	3.85714	5.67606	nan	nan	nan	nan	nan	nan	1.29754	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.02669	nan	nan	nan	nan	nan	nan	6.60601	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.00909	nan	nan	nan	nan	4.97446	nan	nan	nan	nan	nan	nan	nan	nan	4.74806	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.66667	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	10.8	nan	nan	2.39344	nan	nan	nan	nan	nan	nan	3.251358543000757
Amharic	3.125	nan	nan	nan	nan	nan	nan	nan	4.35206	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.30905	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.59677	nan	nan	nan	nan	nan	1.95611	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.47368	nan	nan	nan	nan	nan	nan	nan	nan	1.57955	nan	nan	3.2807	nan	nan	nan	nan	nan	1.0	2.2625	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.77143	nan	nan	3.72917	nan	nan	nan	1.47525	nan	nan	nan	2.65854	nan	nan	3.0	5.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.08386	nan	nan	nan	nan	nan	nan	nan	nan	2.08612	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.61813	nan	nan	nan	nan	nan	nan	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.07692	2.5	nan	nan	nan	nan	1.83209	nan	nan	nan	nan	nan	nan	1.41096	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.04052	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.04301	nan	1.21053	nan	nan	nan	nan	2.68007	nan	nan	nan	nan	nan	nan	nan	nan	2.57091	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.84432	nan	nan	nan	nan	2.65441	nan	nan	nan	nan	nan	nan	2.120351301709873
Apurinã	1.13333	nan	nan	nan	nan	nan	nan	1.0	2.28571	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.5	1.52941	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.5	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	2.23077	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.33333	nan	nan	nan	nan	nan	nan	nan	nan	2.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.45455	nan	nan	nan	1.0	nan	nan	nan	1.5	nan	nan	nan	1.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.11111	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	nan	nan	nan	nan	nan	1.17391	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.25	nan	nan	nan	nan	nan	nan	1.42857	nan	nan	nan	nan	nan	1.66667	nan	nan	nan	nan	nan	nan	nan	1.11111	nan	nan	nan	nan	1.28986	nan	nan	1.0	nan	nan	nan	nan	nan	2.06977	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.69565	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.60448	nan	nan	nan	nan	4.0	nan	nan	nan	nan	nan	nan	2.214400896
Akuntsu	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.1875	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	1.83333	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.33333	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.14286	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.875	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.16364	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.65574	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	1.21622	nan	nan	nan	nan	nan	nan	nan	nan	1.45833	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.27778	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.36111	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.50162990228013
Arabic	3.47	nan	nan	nan	nan	nan	nan	3.65186	11.94033	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.36934	nan	nan	nan	nan	nan	nan	2.95275	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.67891	nan	nan	nan	3.42473	nan	1.29628	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	1.12676	nan	nan	nan	nan	nan	nan	nan	nan	2.90069	nan	2.0	9.54924	nan	nan	nan	nan	nan	nan	1.55344	nan	nan	nan	nan	nan	nan	nan	2.68063	nan	nan	nan	nan	nan	nan	8.42794	nan	nan	nan	3.41839	nan	nan	nan	5.10518	nan	nan	5.875	9.37458	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.27975	nan	nan	nan	nan	nan	nan	nan	nan	5.85965	nan	nan	nan	nan	5.91346	nan	nan	nan	nan	nan	1.875	nan	nan	nan	nan	nan	nan	1.14871	1.25475	nan	nan	1.19597	nan	nan	nan	nan	nan	nan	nan	1.5	7.89375	nan	nan	nan	nan	2.61469	nan	nan	nan	nan	nan	nan	2.2652	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.06453	nan	nan	nan	nan	nan	nan	2.23787	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.18122	nan	2.15177	nan	nan	nan	nan	3.5709	nan	nan	nan	nan	nan	nan	nan	nan	4.804	nan	nan	nan	3.62183	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.54545	24.05702	nan	9.87728	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.2285	nan	7.0	nan	nan	5.56575	nan	nan	nan	nan	nan	nan	3.911314645522835
Belarusian	4.79259	nan	nan	nan	nan	nan	nan	5.06789	6.86826	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.82811	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.20202	nan	nan	nan	2.44952	nan	1.25408	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.11628	nan	nan	nan	1.39163	nan	nan	nan	nan	nan	nan	nan	nan	2.11406	nan	nan	5.86975	nan	nan	nan	nan	nan	nan	1.15571	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.13765	nan	nan	nan	1.77358	nan	nan	nan	2.55286	nan	nan	1.0	1.8586	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.26801	nan	nan	nan	nan	nan	nan	nan	nan	5.4	nan	nan	nan	nan	5.30769	nan	nan	nan	nan	nan	2.05797	nan	nan	nan	nan	nan	nan	1.19048	1.18166	nan	nan	1.72407	1.04988	nan	nan	nan	nan	nan	nan	5.92308	1.90363	nan	nan	nan	3.56697	3.29367	nan	nan	nan	nan	nan	nan	2.05778	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.51869	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.18437	nan	1.27911	nan	nan	nan	1.23211	1.90959	nan	nan	nan	nan	nan	nan	nan	nan	3.34716	nan	2.15278	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.41732	nan	5.99795	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.67037	1.2	3.64881	nan	nan	1.77597	nan	nan	nan	nan	nan	nan	2.8832472943850203
Beja	5.78261	nan	nan	nan	4.33333	nan	nan	6.35294	7.4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.8	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	5.0	nan	2.07692	1.30435	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.3125	nan	nan	1.07692	nan	nan	nan	nan	nan	1.68	nan	nan	5.2	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.44444	nan	nan	nan	1.0	nan	nan	nan	4.925	1.85714	nan	nan	nan	nan	2.625	8.6875	nan	nan	nan	nan	nan	nan	2.5	nan	1.30328	nan	nan	nan	nan	nan	nan	nan	nan	5.56522	nan	nan	nan	nan	5.33333	nan	nan	nan	nan	5.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.66667	nan	nan	nan	nan	1.58947	nan	nan	1.06667	nan	nan	nan	2.03333	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.25	nan	nan	nan	nan	nan	nan	1.85567	nan	1.21154	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	nan	nan	nan	2.5	nan	nan	nan	nan	nan	nan	nan	nan	5.09524	nan	nan	nan	4.90909	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.375	nan	nan	3.5	nan	nan	nan	nan	nan	4.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.61404	3.0	5.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.568841224637681
