name	treeHeight	total
Afrikaans	6.2151	6.2151
Assyrian	2.98246	2.98246
SouthLevantineArabic	3.57	3.57
Akkadian	4.56474	4.56474
Amharic	3.38641	3.38641
Apurinã	3.13636	3.13636
Akuntsu	2.60396	2.60396
Arabic	8.14256	8.14256
Belarusian	4.19797	4.19797
Beja	4.96429	4.96429
Bulgarian	4.49856	4.49856
Bhojpuri	4.87115	4.87115
Bambara	4.2963	4.2963
Breton	3.76577	3.76577
Buryat	4.24488	4.24488
Catalan	6.35064	6.35064
Chukot	2.78884	2.78884
Coptic	5.55473	5.55473
Czech	5.04908	5.04908
OldChurchSlavonic	3.55333	3.55333
Welsh	6.02182	6.02182
Danish	4.9102	4.9102
German	4.71267	4.71267
Greek	5.83181	5.83181
English	4.64211	4.64211
Spanish	6.1585	6.1585
Yupik	3.32039	3.32039
Estonian	4.28939	4.28939
Basque	4.47859	4.47859
Persian	5.24707	5.24707
Finnish	3.99521	3.99521
Faroese	4.75009	4.75009
French	5.56872	5.56872
OldFrench	3.7308	3.7308
Irish	5.52164	5.52164
Gaelic	5.09689	5.09689
Galician	7.34528	7.34528
Gothic	3.88317	3.88317
AncientGreek	4.23362	4.23362
SwissGerman	4.15	4.15
Guajajára	3.01942	3.01942
MbyáGuaraní	3.57168	3.57168
Manx	3.69771	3.69771
Hebrew	6.09154	6.09154
Hindi	5.25755	5.25755
Croatian	5.6434	5.6434
UpperSorbian	4.87152	4.87152
Hungarian	5.51	5.51
Armenian	5.18905	5.18905
WesternArmenian	4.97416	4.97416
Indonesian	5.70917	5.70917
Icelandic	5.28108	5.28108
Italian	5.35352	5.35352
Japanese	4.99767	4.99767
Khunsari	3.6	3.6
Kazakh	3.96475	3.96475
Kurmanji	4.27056	4.27056
Korean	5.08017	5.08017
Komi-Permyak	3.62963	3.62963
Komi	3.83257	3.83257
Karelian	4.36404	4.36404
Latin	4.66315	4.66315
Lithuanian	5.57311	5.57311
Latvian	4.8333	4.8333
ClassicalChinese	2.93708	2.93708
Moksha	3.57188	3.57188
Makuráp	2.77419	2.77419
Marathi	3.46996	3.46996
Maltese	5.68467	5.68467
Mundurukú	2.91743	2.91743
Erzya	3.59349	3.59349
LowGerman	5.61111	5.61111
Dutch	4.16133	4.16133
Norwegian	4.52765	4.52765
Nayini	3.7	3.7
Livvi	4.296	4.296
OldEastSlavic	3.5946	3.5946
OldTurkish	4.0	4.0
Naija	4.06903	4.06903
Polish	4.22511	4.22511
Portuguese	5.80902	5.80902
FrisianDutch	3.49	3.49
HindiEnglish	4.43203	4.43203
TurkishGerman	4.17262	4.17262
K'iche'	3.35889	3.35889
Romanian	5.45007	5.45007
Russian	4.94667	4.94667
Sanskrit	3.34209	3.34209
Slovak	3.73529	3.73529
Slovenian	4.38604	4.38604
NorthSami	3.26746	3.26746
SkoltSami	3.57865	3.57865
Soi	3.25	3.25
Albanian	5.06667	5.06667
Serbian	5.68636	5.68636
Swedish	4.66957	4.66957
SwedishSign	3.36946	3.36946
Tamil	4.00705	4.00705
Telugu	2.59413	2.59413
Thai	6.098	6.098
Tagalog	3.54505	3.54505
Tupinambá	3.3381	3.3381
Turkish	3.68236	3.68236
Uyghur	4.18866	4.18866
Ukrainian	4.86006	4.86006
Urdu	5.6807	5.6807
Urubú	2.29508	2.29508
Vietnamese	4.70633	4.70633
Warlpiri	2.41818	2.41818
Wolof	5.61035	5.61035
Kangri	3.39931	3.39931
Yoruba	6.33962	6.33962
Cantonese	3.89542	3.89542
Chinese	5.11029	5.11029
