name	acl	acl:adv	acl:attr	acl:cleft	acl:fixed	acl:inf	acl:relat	acl:relcl	advcl	advcl:abs	advcl:cau	advcl:cleft	advcl:cmpr	advcl:cond	advcl:coverb	advcl:eval	advcl:lcl	advcl:lto	advcl:mcl	advcl:pred	advcl:relcl	advcl:sp	advcl:svc	advcl:tcl	advmod	advmod:arg	advmod:cau	advmod:comp	advmod:deg	advmod:det	advmod:df	advmod:emph	advmod:eval	advmod:fixed	advmod:foc	advmod:freq	advmod:lfrom	advmod:lmod	advmod:lmp	advmod:locy	advmod:lto	advmod:mmod	advmod:mode	advmod:neg	advmod:obl	advmod:que	advmod:tfrom	advmod:tlocy	advmod:tmod	advmod:to	advmod:tto	amod	amod:att	amod:attlvc	amod:flat	appos	appos:trans	aux	aux:aff	aux:aspect	aux:caus	aux:clitic	aux:cnd	aux:ex	aux:imp	aux:nec	aux:neg	aux:opt	aux:part	aux:pass	aux:pot	aux:q	aux:tense	case	case:acc	case:adv	case:aff	case:det	case:gen	case:loc	case:pred	case:voc	cc	cc:nc	cc:preconj	ccomp	ccomp:cleft	ccomp:obj	ccomp:obl	ccomp:pmod	ccomp:pred	clf	compound	compound:a	compound:affix	compound:dir	compound:ext	compound:lvc	compound:nn	compound:preverb	compound:prt	compound:quant	compound:redup	compound:smixut	compound:svc	compound:vo	compound:vv	conj	conj:expl	conj:extend	conj:svc	cop	cop:expl	cop:locat	cop:own	csubj	csubj:cleft	csubj:cop	csubj:pass	dep	dep:aff	dep:agr	dep:alt	dep:ana	dep:aux	dep:comp	dep:conj	dep:cop	dep:emo	dep:infl	dep:mark	dep:mod	dep:pos	dep:redup	dep:ss	det	det:adj	det:noun	det:numgov	det:nummod	det:poss	det:predet	det:pron	det:rel	discourse	discourse:emo	discourse:filler	discourse:intj	discourse:sp	dislocated	dislocated:cleft	dislocated:csubj	dislocated:nsubj	dislocated:obj	dislocated:subj	expl	expl:comp	expl:impers	expl:pass	expl:poss	expl:pv	expl:subj	fixed	flat	flat:abs	flat:dist	flat:foreign	flat:name	flat:num	flat:range	flat:repeat	flat:sibl	flat:title	flat:vv	goeswith	iobj	iobj:agent	iobj:appl	iobj:patient	list	mark	mark:adv	mark:advmod	mark:aff	mark:prt	mark:q	mark:rel	nmod	nmod:agent	nmod:appos	nmod:arg	nmod:att	nmod:attlvc	nmod:attr	nmod:bahuv	nmod:cau	nmod:comp	nmod:flat	nmod:gen	nmod:gobj	nmod:gsubj	nmod:lfrom	nmod:lmod	nmod:npmod	nmod:obj	nmod:obl	nmod:part	nmod:poss	nmod:pred	nmod:prp	nmod:redup	nmod:relat	nmod:subj	nmod:tmod	nsubj	nsubj:advmod	nsubj:aff	nsubj:bfoc	nsubj:caus	nsubj:cleft	nsubj:cop	nsubj:ifoc	nsubj:lfoc	nsubj:lvc	nsubj:nc	nsubj:obj	nsubj:pass	nsubj:periph	nummod	nummod:det	nummod:entity	nummod:flat	nummod:gov	obj	obj:advmod	obj:advneg	obj:agent	obj:appl	obj:caus	obj:lvc	obj:obl	obj:periph	obl	obl:advmod	obl:agent	obl:appl	obl:arg	obl:cau	obl:cmp	obl:cmpr	obl:comp	obl:dat	obl:freq	obl:inst	obl:lfrom	obl:lmod	obl:lmp	obl:lto	obl:lvc	obl:mcl	obl:mod	obl:npmod	obl:orphan	obl:own	obl:patient	obl:pmod	obl:poss	obl:prep	obl:sentcon	obl:smod	obl:tmod	orphan	orphan:missing	parataxis	parataxis:appos	parataxis:conj	parataxis:coord	parataxis:deletion	parataxis:discourse	parataxis:dislocated	parataxis:hashtag	parataxis:insert	parataxis:mod	parataxis:newsent	parataxis:nsubj	parataxis:obj	parataxis:parenth	parataxis:rel	parataxis:rep	parataxis:restart	parataxis:rt	parataxis:sentence	parataxis:trans	parataxis:url	punct	reparandum	vocative	vocative:cl	vocative:mention	xcomp	xcomp:cleft	xcomp:ds	xcomp:obj	xcomp:pred	xcomp:sp	xcomp:subj	total
Afrikaans	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	29.068462401795735	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	28.359550561797754	nan	nan	nan	100.0	nan	43.853135313531354	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	83.15789473684211	nan	nan	nan	2.739289695811435	nan	nan	nan	nan	nan	nan	nan	nan	93.32980412916888	nan	nan	96.58590308370044	nan	nan	nan	nan	nan	nan	37.03703703703704	nan	nan	nan	nan	nan	nan	nan	37.03703703703704	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	49.92412746585736	nan	nan	nan	33.333333333333336	nan	nan	nan	81.002331002331	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.05025125628140704	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	45.76271186440678	nan	nan	nan	nan	9.238095238095237	nan	nan	nan	nan	nan	nan	90.88745324719483	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.3904382470119523	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	0.0	nan	nan	nan	nan	23.224852071005916	nan	nan	nan	nan	nan	nan	nan	nan	51.43216871262197	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	92.90953545232274	nan	nan	nan	nan	87.67123287671232	nan	nan	nan	nan	nan	nan	41.684687257742056
Assyrian	100.0	nan	nan	nan	nan	nan	nan	100.0	36.36363636363637	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.636363636363637	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	31.57894736842105	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	32.0	nan	nan	100.0	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	81.25	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	94.73684210526316	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	4.878048780487805	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	83.33333333333333	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	89.39393939393939	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	53.482587064676615
SouthLevantineArabic	100.0	nan	nan	nan	nan	nan	nan	nan	73.6842105263158	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	56.52173913043478	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	96.42857142857143	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.2987012987012987	nan	nan	nan	nan	nan	nan	nan	nan	28.571428571428573	nan	nan	92.85714285714286	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.2631578947368425	nan	nan	nan	nan	nan	nan	nan	nan	30.76923076923077	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	100.0	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	95.94594594594595	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	43.90243902439025	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	78.57142857142857	nan	nan	nan	nan	95.08196721311475	nan	nan	nan	nan	nan	nan	nan	nan	90.3225806451613	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	80.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	99.27536231884058	nan	nan	nan	nan	87.5	nan	nan	nan	nan	nan	nan	69.80874316939891
Akkadian	99.6309963099631	nan	nan	nan	nan	nan	nan	100.0	14.035087719298245	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.4989775051124745	nan	nan	nan	nan	nan	nan	0.5181347150259067	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	95.94713656387665	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0625782227784731	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	19.23076923076923	nan	nan	nan	nan	nan	nan	28.571428571428573	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	100.0	nan	nan	nan	0.0	nan	nan	nan	65.58441558441558	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	99.5577178239717	nan	nan	nan	nan	100.0	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	40.0	nan	nan	nan	100.0	0.0	nan	nan	nan	nan	nan	nan	99.78281853281854	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	99.90467111534795	nan	nan	nan	nan	nan	nan	2.65017667844523	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.333333333333334	nan	nan	nan	nan	11.886051080550098	nan	nan	nan	nan	nan	nan	nan	nan	4.942825525636296	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	80.32786885245902	nan	nan	nan	nan	nan	nan	65.50988087860635
Amharic	5.681818181818182	nan	nan	nan	nan	nan	nan	nan	0.7490636704119851	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.856512141280353	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.451612903225806	nan	nan	nan	nan	nan	93.10344827586206	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	53.17982456140351	nan	nan	nan	nan	nan	nan	nan	nan	85.22727272727273	nan	nan	7.894736842105263	nan	nan	nan	nan	nan	0.0	2.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	100.0	nan	nan	nan	97.02970297029702	nan	nan	nan	2.4390243902439024	nan	nan	0.0	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	84.90566037735849	nan	nan	nan	nan	nan	nan	nan	nan	88.51674641148325	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	84.39407149084569	nan	nan	nan	nan	nan	nan	100.0	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	84.61538461538461	40.0	nan	nan	nan	nan	15.485074626865671	nan	nan	nan	nan	nan	nan	71.91780821917808	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	44.37908496732026	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	27.956989247311828	nan	2.6315789473684212	nan	nan	nan	nan	12.412587412587413	nan	nan	nan	nan	nan	nan	nan	nan	3.272727272727273	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	16.666666666666668	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	1.4705882352941178	nan	nan	nan	nan	nan	nan	53.08328736900165
Apurinã	66.66666666666667	nan	nan	nan	nan	nan	nan	100.0	42.857142857142854	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	7.8431372549019605	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	66.66666666666667	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	100.0	nan	nan	nan	50.0	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	13.043478260869565	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	19.387755102040817	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	85.5072463768116	nan	nan	100.0	nan	nan	nan	nan	nan	58.13953488372093	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	60.869565217391305	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	40.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	70.8955223880597	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	48.32
Akuntsu	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	81.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	100.0	nan	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	85.71428571428571	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	71.42857142857143	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	81.25	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	10.909090909090908	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	21.311475409836067	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	20.0	nan	nan	nan	nan	2.7027027027027026	nan	nan	nan	nan	nan	nan	nan	nan	50.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	94.44444444444444	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	83.33333333333333	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	45.27687296416938
Arabic	99.67609955676781	nan	nan	nan	nan	nan	nan	99.88104678826328	88.41372451516658	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	64.49197860962566	nan	nan	nan	nan	nan	nan	25.747348119575697	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	99.50296744323275	nan	nan	nan	100.0	nan	1.080074487895717	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	0.4692715927847642	nan	nan	nan	nan	nan	nan	nan	nan	4.982540751295742	nan	0.0	98.96660324125713	nan	nan	nan	nan	nan	nan	72.10834553440702	nan	nan	nan	nan	nan	nan	nan	0.5235602094240838	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	10.785641720284456	nan	nan	nan	99.49916527545909	nan	nan	100.0	96.51293588301462	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.62614990197557	nan	nan	nan	nan	nan	nan	nan	nan	43.85964912280702	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	100.0	100.0	nan	nan	100.0	nan	nan	nan	nan	nan	nan	nan	100.0	99.56167265714035	nan	nan	nan	nan	2.2365879031059595	nan	nan	nan	nan	nan	nan	96.56585147587288	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	99.94223052085376	nan	nan	nan	nan	nan	nan	66.24982149778657	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	52.620087336244545	nan	58.09104929456789	nan	nan	nan	nan	97.6221814820038	nan	nan	nan	nan	nan	nan	nan	nan	92.9862185346646	nan	nan	nan	99.52203422234967	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	82.51748251748252	100.0	nan	99.54346238130022	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	77.73239634012053	nan	100.0	nan	nan	99.57213450644811	nan	nan	nan	nan	nan	nan	72.63962161178824
Belarusian	91.8141592920354	nan	nan	nan	nan	nan	nan	99.91296779808529	63.84022424667134	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.355969331872947	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.945379723157501	nan	nan	nan	100.0	nan	15.517241379310345	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.7751937984496124	nan	nan	nan	0.19455905538224144	nan	nan	nan	nan	nan	nan	nan	nan	0.34295829184644316	nan	nan	97.61215629522431	nan	nan	nan	nan	nan	nan	0.3460207612456747	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	27.413984461709212	nan	nan	nan	85.68281938325991	nan	nan	100.0	51.744381080174435	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.6199095022624435	nan	nan	nan	nan	nan	nan	nan	nan	70.0	nan	nan	nan	nan	7.6923076923076925	nan	nan	nan	nan	nan	7.729468599033816	nan	nan	nan	nan	nan	nan	100.0	100.0	nan	nan	100.0	100.0	nan	nan	nan	nan	nan	nan	100.0	66.92527562270314	nan	nan	nan	99.65357967667437	0.03333333333333333	nan	nan	nan	nan	nan	nan	98.95781283460633	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	27.163280662151994	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	37.4749498997996	nan	3.608683394417818	nan	nan	nan	2.3006134969325154	78.33318429759456	nan	nan	nan	nan	nan	nan	nan	nan	63.51288539998967	nan	92.01388888888889	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	62.59842519685039	nan	76.44815955418683	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	53.60144584232598	0.0	48.214285714285715	nan	nan	92.93478260869566	nan	nan	nan	nan	nan	nan	49.71686144261416
Beja	30.434782608695652	nan	nan	nan	0.0	nan	nan	35.294117647058826	10.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	35.0	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	100.0	nan	79.48717948717949	73.91304347826087	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	87.5	nan	nan	100.0	nan	nan	nan	nan	nan	92.0	nan	nan	10.0	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	100.0	nan	nan	nan	25.0	100.0	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	nan	nan	nan	0.0	nan	35.24590163934426	nan	nan	nan	nan	nan	nan	nan	nan	30.434782608695652	nan	nan	nan	nan	83.33333333333333	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	97.89473684210526	nan	nan	97.77777777777777	nan	nan	nan	66.66666666666667	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	36.08247422680412	nan	44.23076923076923	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	0.0	nan	nan	nan	41.666666666666664	nan	nan	nan	nan	nan	nan	nan	nan	4.761904761904762	nan	nan	nan	9.090909090909092	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0833333333333335	nan	nan	0.0	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	99.41520467836257	85.71428571428571	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	53.768115942028984
