name	appos	cc	clf	comp	comp:aff	comp:arg	comp:aux	comp:ben	comp:cleft	comp:goal	comp:loc	comp:m	comp:obj	comp:obj$attitude	comp:obj$concess	comp:obj$desire	comp:obj$know	comp:obj$percep	comp:obj$phase	comp:obj$utter	comp:obl	comp:obl$attitude	comp:obl$cause	comp:obl$desire	comp:obl$know	comp:obl$modal	comp:obl$percep	comp:obl$phase	comp:obl$request	comp:obl$utter	comp:pred	comp:pred$attitude	comp:pred$manner	comp:source	compound	compound:prt	compound:redup	compound:svc	compound:svc$phase	compound:svc$purp	compound:svc$tempo	conj	conj:appos	conj:coord	conj:dicto	conj:m	conj:obj	conj:redup	det	det:num	discourse	dislocated	dislocated:obj	dislocated:subj	flat	flat:foreign	flat:m	flat:name	flat:num	goeswith	list	mod	mod$concess	mod$cond	mod$manner	mod$purp	mod$reason	mod$tempa	mod$tempb	mod$tempo	mod:appos	mod:aux	mod:emph	mod:m	mod:num	mod:obj	mod:periph	mod:periph$concess	mod:periph$cond	mod:periph$manner	mod:periph$purp	mod:periph$reason	mod:periph$tempa	mod:periph$tempb	mod:periph$tempo	mod:poss	mod:pred	orphan	parataxis	parataxis:conj	parataxis:coord	parataxis:discourse	parataxis:dislocated	parataxis:dislocated$tempa	parataxis:dislocated$tempo	parataxis:insert	parataxis:mod	parataxis:mod$cond	parataxis:obj	parataxis:obj$cause	parataxis:obj$know	parataxis:obj$request	parataxis:obj$utter	parataxis:obl	parataxis:parenth	punct	reparandum	subj	subj:aff	udep	unk	unk:aff	vocative	total
Abaza	nan	5.25	nan	1.85156	nan	nan	0	nan	nan	nan	nan	nan	1.98058	nan	nan	nan	nan	nan	nan	nan	1.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.44444	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	2.58442	nan	nan	nan	nan	nan	nan	1.42857	nan	1.88889	1.8	nan	nan	1.0	nan	nan	nan	nan	nan	nan	1.89231	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.44444	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	2.11111	1.93023	nan	1.75385	2.5	nan	3.0	1.9545454545454546
Afrikaans	3.44444	2.2721	0	3.21283	0	nan	3.40677	nan	0	nan	nan	0	2.78631	nan	nan	nan	nan	nan	nan	nan	6.91414	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.44006	nan	nan	nan	3.46296	nan	nan	0	nan	nan	nan	4.08981	0	0	0	0	nan	0	1.31776	0	0	0	0	0	1.34199	nan	0	nan	nan	0	0	2.47763	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	0	0	nan	0	nan	nan	nan	nan	0	0	nan	0	nan	nan	nan	nan	0	0	4.41231	0	4.2559	0	2.75914	6.58189	0	0	3.144913835270502
Assyrian	nan	1.8	nan	1.32624	nan	nan	1.0	nan	nan	nan	nan	nan	1.5	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.15625	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	3.79167	nan	nan	nan	nan	nan	nan	1.0625	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.95833	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.56061	nan	1.97619	nan	1.25	nan	nan	nan	1.968342644320298
SouthLevantineArabic	0	1.28571	0	1.31304	0	nan	1.08	nan	0	nan	nan	0	1.24713	0	0	0	0	0	0	0	1.96429	0	0	0	0	0	0	0	0	0	1.0	0	0	nan	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	1.10526	0	3.38462	0	0	0	1.0	0	0	nan	nan	0	0	1.57895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	7.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.47826	0	1.675	0	2.16949	3.33333	0	0	1.9782372796517955
Akkadian	8.85707	2.4331	0	2.6676	0	nan	0	nan	nan	nan	nan	0	2.60829	nan	nan	nan	nan	nan	nan	nan	7.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	14.2	nan	nan	nan	2.71429	nan	nan	0	nan	nan	nan	3.06123	0	0	0	0	nan	0	1.0221	0	7.55556	0	0	0	1.0	nan	0	nan	nan	0	3.85714	1.796	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	0	5.68519	nan	0	nan	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	0	nan	0	0	6.58979	0	4.73205	1.35077	0	10.8	3.169672323278596
Gheg	3.0	2.44986	0	1.58253	0	nan	1.1496	nan	0	nan	nan	0	1.60537	nan	nan	nan	nan	nan	nan	nan	2.2955	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.43154	nan	nan	nan	0	nan	nan	0	nan	nan	nan	5.80291	0	0	0	0	nan	0	1.14766	0	2.91074	3.5	0	0	1.0	nan	0	nan	nan	0	2.0	2.07232	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	1.5	9.23232	nan	0	nan	nan	nan	nan	0	0	nan	0	nan	nan	nan	nan	0	0	12.28364	2.58052	2.30814	0	2.15399	1.04839	0	0	2.5292924857445622
Amharic	0	1.81395	1.0	1.79926	0	nan	1.76115	nan	nan	nan	nan	nan	1.85869	nan	nan	nan	nan	nan	nan	nan	3.5625	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.69832	nan	nan	nan	2.25	nan	nan	0	nan	nan	nan	3.91837	0	0	0	nan	nan	0	1.07322	0	2.24286	0	0	0	1.25	nan	nan	nan	nan	1.0	0	2.63455	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	0	4.71429	nan	0	nan	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	0	nan	2.48124	0	2.19987	0	3.0419	2.33654	0	0	2.060181720467033
Apurinã	0	2.2	nan	1.36893	nan	nan	1.0	nan	nan	nan	nan	nan	1.38542	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.5	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	3.25	nan	nan	nan	nan	nan	nan	1.08571	nan	0	3.0	nan	nan	0	nan	nan	nan	nan	nan	3.0	1.35938	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.2	0	1.37681	nan	1.74074	1.33333	nan	0	1.9580842275449102
Akuntsu	2.0	0	nan	1.18605	nan	nan	1.10526	nan	nan	nan	nan	nan	1.19333	nan	nan	nan	nan	nan	nan	nan	1.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	2.25	nan	nan	nan	nan	nan	nan	1.0	nan	1.54098	1.375	nan	nan	0	nan	nan	nan	nan	nan	nan	1.17816	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	3.18182	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.48951	0	1.46857	nan	1.53659	1.1	nan	0	1.4524006571187869
Arabic	3.18817	2.67187	0	3.0671	0	nan	1.1124	0	0	0	0	0	2.17451	0	0	0	0	0	0	0	7.23832	0	0	0	0	0	0	0	0	0	4.0315	0	0	0	1.55238	0	0	0	0	0	0	6.90654	0	0	0	0	0	0	1.26895	0	4.87719	5.75598	0	0	1.04027	0	0	0	0	0	0	2.08992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	23.7533	9.77009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.32995	0	2.12187	0	3.80025	3.20242	0	9.0	3.720418509781063
