name	appos	cc	clf	comp	comp:aff	comp:arg	comp:aux	comp:ben	comp:cleft	comp:goal	comp:loc	comp:m	comp:obj	comp:obj$attitude	comp:obj$concess	comp:obj$desire	comp:obj$know	comp:obj$percep	comp:obj$phase	comp:obj$utter	comp:obl	comp:obl$attitude	comp:obl$cause	comp:obl$desire	comp:obl$know	comp:obl$modal	comp:obl$percep	comp:obl$phase	comp:obl$request	comp:obl$utter	comp:pred	comp:pred$attitude	comp:pred$manner	comp:source	compound	compound:prt	compound:redup	compound:svc	compound:svc$phase	compound:svc$purp	compound:svc$tempo	conj	conj:appos	conj:coord	conj:dicto	conj:m	conj:obj	conj:redup	det	det:num	discourse	dislocated	dislocated:obj	dislocated:subj	flat	flat:foreign	flat:m	flat:name	flat:num	goeswith	list	mod	mod$concess	mod$cond	mod$manner	mod$purp	mod$reason	mod$tempa	mod$tempb	mod$tempo	mod:appos	mod:aux	mod:emph	mod:m	mod:num	mod:obj	mod:periph	mod:periph$concess	mod:periph$cond	mod:periph$manner	mod:periph$purp	mod:periph$reason	mod:periph$tempa	mod:periph$tempb	mod:periph$tempo	mod:poss	mod:pred	orphan	parataxis	parataxis:conj	parataxis:coord	parataxis:discourse	parataxis:dislocated	parataxis:dislocated$tempa	parataxis:dislocated$tempo	parataxis:insert	parataxis:mod	parataxis:mod$cond	parataxis:obj	parataxis:obj$cause	parataxis:obj$know	parataxis:obj$request	parataxis:obj$utter	parataxis:obl	parataxis:parenth	punct	reparandum	subj	subj:aff	udep	unk	unk:aff	vocative	total
Abaza	nan	0.00587	nan	0.18768	nan	nan	nan	nan	nan	nan	nan	nan	0.15103	nan	nan	nan	nan	nan	nan	nan	0.02346	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0132	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.1129	nan	nan	nan	nan	nan	nan	0.01026	nan	0.0132	0.00733	nan	nan	0.0176	nan	nan	nan	nan	nan	nan	0.19062	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0132	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0132	0.1261	nan	0.09531	0.0176	nan	0.00147	682
Afrikaans	0.00102	0.03058	nan	0.23388	nan	nan	0.03924	nan	nan	nan	nan	nan	0.16394	nan	nan	nan	nan	nan	nan	nan	0.01923	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01148	nan	nan	nan	0.00524	nan	nan	nan	nan	nan	nan	0.03479	nan	nan	nan	nan	nan	nan	0.09664	nan	nan	nan	nan	nan	0.00374	nan	nan	nan	nan	nan	nan	0.10856	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07283	nan	0.05693	nan	0.09383	0.02807	nan	nan	61774
Assyrian	nan	0.04655	nan	0.26257	nan	nan	0.03538	nan	nan	nan	nan	nan	0.1527	nan	nan	nan	nan	nan	nan	nan	0.0149	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.05959	nan	nan	nan	0.00745	nan	nan	nan	nan	nan	nan	0.04469	nan	nan	nan	nan	nan	nan	0.0298	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.08939	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00372	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.12291	nan	0.07821	nan	0.05214	nan	nan	nan	537
SouthLevantineArabic	nan	0.01523	nan	0.25027	nan	nan	0.0272	nan	nan	nan	nan	nan	0.18934	nan	nan	nan	nan	nan	nan	nan	0.03047	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00326	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01088	nan	nan	nan	nan	nan	nan	0.02067	nan	0.01415	nan	nan	nan	0.00653	nan	nan	nan	nan	nan	nan	0.1654	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00544	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.15016	nan	0.04353	nan	0.0642	0.00326	nan	nan	919
Akkadian	0.07224	0.02002	nan	0.18839	nan	nan	nan	nan	nan	nan	nan	nan	0.18613	nan	nan	nan	nan	nan	nan	nan	0.00208	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00018	nan	nan	nan	0.00025	nan	nan	nan	nan	nan	nan	0.10071	nan	nan	nan	nan	nan	nan	0.07812	nan	0.00032	nan	nan	nan	0.00032	nan	nan	nan	nan	nan	0.00099	0.19727	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0019	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.02002	nan	0.11928	0.01145	nan	0.00035	28378
Gheg	0.00015	0.05283	nan	0.28188	nan	nan	0.05026	nan	nan	nan	nan	nan	0.15588	nan	nan	nan	nan	nan	nan	nan	0.02357	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01216	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.04506	nan	nan	nan	nan	nan	nan	0.06459	nan	0.03053	0.0001	nan	nan	0.0001	nan	nan	nan	nan	nan	0.00015	0.10466	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0001	0.005	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.04875	0.01347	0.05208	nan	0.05243	0.00626	nan	nan	19817
Amharic	nan	0.00738	9e-05	0.32332	nan	nan	0.02696	nan	nan	nan	nan	nan	0.18226	nan	nan	nan	nan	nan	nan	nan	0.00824	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01537	nan	nan	nan	0.00687	nan	nan	nan	nan	nan	nan	0.00421	nan	nan	nan	nan	nan	nan	0.04104	nan	0.01803	nan	nan	nan	0.00034	nan	nan	nan	nan	0.00103	nan	0.08199	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0006	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.09384	nan	0.13444	nan	0.04507	0.00893	nan	nan	11648
Apurinã	nan	0.01198	nan	0.12335	nan	nan	0.00479	nan	nan	nan	nan	nan	0.11497	nan	nan	nan	nan	nan	nan	nan	0.0012	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0024	nan	nan	nan	0.00359	nan	nan	nan	nan	nan	nan	0.07186	nan	nan	nan	nan	nan	nan	0.04192	nan	nan	0.0012	nan	nan	nan	nan	nan	nan	nan	nan	0.0024	0.15329	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.23353	nan	0.16527	nan	0.06467	0.00359	nan	nan	835
Akuntsu	0.0059	nan	nan	0.1449	nan	nan	0.01601	nan	nan	nan	nan	nan	0.12637	nan	nan	nan	nan	nan	nan	nan	0.00168	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00084	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00674	nan	nan	nan	nan	nan	nan	0.0059	nan	0.05139	0.00674	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.14659	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0556	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.24094	nan	0.14743	nan	0.03454	0.00842	nan	nan	1187
Arabic	0.00081	0.04607	nan	0.26878	nan	nan	0.00387	nan	nan	nan	nan	nan	0.21344	nan	nan	nan	nan	nan	nan	nan	0.04629	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00518	nan	nan	nan	0.00098	nan	nan	nan	nan	nan	nan	0.00996	nan	nan	nan	nan	nan	nan	0.00479	nan	4e-05	0.00015	nan	nan	0.0122	nan	nan	nan	nan	nan	nan	0.23877	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00016	0.00395	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07206	nan	0.0358	nan	0.02705	0.00965	nan	0.0	1386199
