	clf	comp	det	dislocated	mod	subj	udep	udep+	core	any
Amharic	0.0	22.61982691609243	25.935468700136045		8.16717631791731	28.89919090847853	6.852417205743228	18.4072482651276	21.15429086479068	21.45266902757149
Bhojpuri	0.0	5.984583448399166	3.4366270382641475		6.444992734568441	3.496667186838174	3.3514158195576953	5.3936396277817735	5.216517598913664	5.132022964618034
Cantonese	1.251153881843572	18.71760157584317	0.5957928371721475	0.0	19.8814440299183	3.823196433048881	23.610563189771344	19.628288638936688	16.987288096006893	15.552771717897379
Chinese	0.598318738701836	23.22986295407535	0.24308006022655268	0.0	6.683940465904063	2.44329523444376	10.197961486700589	14.293943022716826	12.29815168788446	11.774022568092704
ClassicalChinese	5.962382617542823	4.187401201753878	0.09543728551993012	35.755142864866315	4.3324562125974815	0.412565345053584	24.52230774826778	6.109867207996713	4.468856001674446	4.397213345926499
Indonesian	0.0	4.671238060887895	77.49536171333686	0.0	24.77203328722673	11.091989185319006	22.950718639562133	16.86829430749757	15.806509831678545	18.68994244571549
Javanese	0.0	0.0	53.3276857429719		21.162656433990723	2.4197536157320068	28.82248757057593	16.59502617894237	13.934223229703441	15.634552301092189
K'iche'	0.0	16.515702075524597	1.5561030871559802	21.428571428571427	33.502877635683085	59.34084212362356	21.828733033257947	24.318411588545814	34.30348617904752	26.78161269006663
Karo	0.0	26.593397618948135	0.0		22.509374737883697	3.1968627709624937	19.530806899590885	24.399700925285565	18.583052525277484	16.64699942854386
Kazakh	0.0	0.15891934843067138	0.0		4.3216134157503365	1.9696001852103695	0.244782272610152	2.5313722881654064	2.3897874492092606	2.310574767438623
Korean	0.0	0.3332352950162714	0.7968392661055047	0.043878947883054666	6.8770534407081865	0.19755916706972215	24.030006949035062	7.098287035730584	5.5319287015500365	5.433404615492993
Mundurukú	0.0	5.713668655868144	0.0	0.0	62.99923877188532	27.481921989527393	30.057255989459385	28.236614246934387	28.03867235989142	27.566395482296123
Romanian	0.0	12.280510961358576	33.51934355812637		33.77634328072081	65.81543560495892	19.710367839254623	20.405591005579648	25.865816847304796	26.36319901700134
SwedishSign	7.401121605667062	22.33069355036159	56.235460285809225		54.644213049918015	34.89581001279439	44.22890793702701	39.74464656472556	37.91796242913584	38.3120223681312
Telugu	0.0	2.445398921994715	7.7409506609800065	0.0	5.560506699729799	0.6449231467202786	2.771666748877817	3.806946491388498	2.4236382334632336	2.645491648927403
Thai	0.0	8.864114933129493	78.90329774494	0.0	26.525252035850283	0.46058866162184275	9.791025200982961	14.290329719417182	12.408325179852323	13.856935404711127
Turkish	4.545454545454545	3.9649566835612777	0.1453008902889658	45.2588442784521	2.99020882435199	5.067529494178279	4.544610616482989	3.482216014694754	3.8179384861457963	3.6059696144797626
Vietnamese	2.1134780278670964	3.2993758366564006	15.97836394771503	8.333333333333334	27.945158386112034	1.4252914877396279	37.62604545073646	17.96004786817757	14.39560125148564	14.088665023932354
Xibe	3.079710144927537	2.049145288602119	7.323707888679638		2.9449214058227113	0.2916686403102711	0.6478633710771238	2.326412051323265	2.070607673616162	2.1665869964190145
Afrikaans		26.28144666677659	0.06660781422461368		33.4650171541379	23.502952332214846	40.571499799093786	31.142364323354137	30.186978357020372	25.29843776643899
Akkadian		7.219560323830004	0.18104015799868345		3.8200176614741177	4.8870404869985045	6.907964476968308	5.817791475408827	5.760479903955987	5.05327288008172
Akuntsu		15.121070411290576	0.0	0.0	42.53695242025278	32.50627186318504	43.903024285300575	30.49487025188821	30.87139056475108	30.53511210191192
Albanian		2.841828478964403	2.898774810507386		11.332636673633266	25.997755843085613	18.421157341473467	8.727932027757053	11.700533831501033	10.011077793623135
AncientGreek		48.873482786285315	14.759299378935793	23.160166505490245	58.382991526548196	69.15173885794081	81.39667817591608	57.399110848345956	59.32173283495305	52.57119070576825
AncientHebrew		3.742039411768676	0.0	34.66414605899585	17.33458607555329	38.67386780978562	12.473581113583254	8.840209807604285	14.675150287201475	13.406589595357005
Arabic		2.7642443952790225	17.099865583274074	1.2820512820512822	10.610587766235582	31.472514872397195	8.336477084663189	6.550766986606066	8.963694631396706	9.029001050827466
Armenian		52.26546188879206	0.128448711703746	22.820512820512814	12.151546519722757	33.08008310946839	64.86069223526673	35.252417582269935	34.94938156165083	33.01977642016463
Bambara		2.341203873708607	31.95311136051877	24.826694395563376	15.823039445647327	0.4573585807668077	4.604117731111149	4.597663370303004	3.666283794451698	5.2292954757767
Basque		28.734066005762763	46.23172280573173	0.0	34.83302928943462	37.84785736340025	52.23503924614623	35.09773648384994	35.478594296487046	35.78181155449603
Beja		15.597040333009137	38.7175236227214	33.42269883824843	22.229719142935483	52.01905311964238		17.48094840308713	29.64757025679076	31.117509851034363
Belarusian		12.106837126138371	5.972796004265645	0.0	14.865667536662334	57.197694513801906	44.21086044881569	19.73391994082187	26.42548769382668	25.776769283538542
Breton		32.79274668827818	0.9960210910109477	66.66666666666666	30.636769547503413	70.26351224160108	4.868447515074196	27.935756376431975	32.164313258257344	26.970384061912817
Bulgarian		8.77002690272743	0.1888044779044683		20.95106255808935	50.246397919280795	17.005511861131517	13.859395053243265	19.446047086590994	18.85977081908443
Buryat		9.596295234522634	13.099019987432483		8.60030964143893	2.0547184690624007	22.501923334485774	9.307944392799962	7.852529045251552	8.051608431025926
Catalan		5.882410310431483	2.270883858188795		39.12531936789212	38.43060090586248	10.04701897901706	13.961215228400478	16.78981038283153	13.720520561028398
Cebuano		5.668908469501759	0.0		44.53934735130566	39.990279126536464	16.16219571526834	18.57393045308327	22.610468407697375	22.321245550662617
Chukot		55.606177287001785	30.770024982254306	62.77205040091638	21.55934370997619	42.17881236027044	47.849082050902446	30.42678444145327	32.98370884101362	32.95444783471471
Coptic		0.10034851963591551	0.4404992029804293	9.061111810557097	34.71867678758342	29.282775366284206	2.2535260168543014	6.825797273418251	10.22119610097852	8.757211944835607
Croatian		20.270897845068642	0.7574407635068418	0.0	15.846948626816726	64.14926010536547	32.89072375398711	20.662579463137384	26.47667777477824	25.797007355046418
Czech		19.145943151507133	2.129576579873855		20.479300388140935	71.51091024159516	50.93963175469779	24.431940407830677	31.082955061713413	30.19484088260526
Danish		12.226313270703905	0.4019781473332175	0.0	40.03720690762566	51.321135521735656	20.683382423273525	23.635938633120738	28.30658819314024	26.221607687146296
Dutch		22.89200250752802	0.03692483263910708		41.288015478655474	65.37409188956964	38.15148981305089	32.063517826618465	37.89171555865307	31.72671371845772
Emerillon		72.40874966204119	12.243383888164658	39.95633187772926	55.332811120250234	34.781931180010154	60.8566663434624	62.54021371413095	55.15675445536206	52.37458692832937
English		4.450703821572876	0.3739694612336292	63.305767004616115	33.238820133865204	17.599471031185736	11.026336903354387	14.269384803311842	14.814800322962887	13.155483659888105
Erzya		38.72023297672641	6.374626162956481	29.6875	23.495051115543923	73.52478175641377	73.68665304656406	40.89490636857178	49.30811772081874	47.92826817099039
Estonian		36.505737567676505	3.688098408322427		33.779327003021535	76.4287654071232	58.67609561667486	39.07744147090207	45.86101953976622	44.7619407552049
Faroese		9.7007152831662	2.7922890513268706		41.887904948198354	50.97116787976179	17.285722234820433	19.579257241131984	25.65526344246336	25.07135656677609
Finnish		26.332452113221898	1.602080687657183	25.0	41.363793701492305	38.5231543232504	56.33993735710389	37.98161667178219	38.08570089823372	37.017035002865825
French		2.4998037638430315	0.055777139349099114	20.91677080332998	50.86060031465755	15.008553212297524	6.970101989511373	18.076204261502152	17.681932099578184	14.093790413486266
FrisianDutch		33.94757525605938	0.0	0.0	48.41590563989579	66.66731070893968	42.0629462060961	40.66429658334157	45.13787808263995	39.36600446066629
Gaelic		7.360115503689606	11.511731347865078	0.0	16.148155966091508	3.099199720786432	6.813448628109055	9.449119966370937	8.237641807116958	8.49767582652807
Galician		10.733506575241385	1.8948676856990243		30.969435105296206	40.05389500170575	14.136202051274786	15.919684666713984	18.388255645805835	14.84466594861555
German		32.51495778801028	0.05668764062928733		31.063953943280033	76.69425912304521	38.02697478703282	33.13041945810512	40.31887945794063	32.94216581664128
Gheg		7.125056517696597	0.6222236932002204	0.0	41.09003777426989	63.75465613544679	23.68089672669353	17.197220760040047	23.24111871163025	20.67397887175013
Gothic		32.39454838430858	17.14648135759697	11.91676025378908	43.14011822130934	69.44723335791511	48.98787337796049	38.69247217013938	43.833995665691305	41.873213955735416
Greek		3.2817362241914436	2.801094361735941		22.652849446219705	53.535819632958464	25.549388417990286	15.321110187348776	20.666939261696193	16.399751123160886
Guajajára		16.681357341959583	1.9600647598488934	0.0	57.589330792625304	0.0	61.188783115242394	45.284480271082415	45.26191598031497	44.218659319904106
Hebrew		1.154781314637225	1.7181654196027663	0.0	20.668626316253437	71.11703701277622	26.507755007380037	12.898322369287708	21.538174128564663	18.40998407672157
Hindi		0.6261517215777445	0.1415315832151121	1.7424242424242493	6.2964331805793865	0.38572952216839745	0.7300459892215648	1.7686459993764463	1.6333914683041686	1.5862752856165065
HindiEnglish		55.07959063653516	0.0		36.21954896821198	11.999347962412106	59.18520389391204	49.0622273788796	43.245099240669965	41.048237196347785
Hittite		13.332379355273272	26.666666666666675	0.0	22.001205996061675	2.6315690514242736	5.882727527445937	16.839684872754393	14.301164754019347	14.496051983587346
Hungarian		42.8172376000198	0.07612318807000884	0.0	9.614157003671767	49.388299443316996	48.10140275714575	24.990875053882334	29.435770967861274	24.348771582361636
Icelandic		15.537916470963767	20.825359961169685	0.0	46.35814486399516	73.80554359458452	26.22206595942105	27.805902421434862	35.53545526259518	35.170878268322454
Irish		4.876394862343336	28.160760611754053	20.008051529790663	14.370720784102126	1.8265647815259773	7.9082064201122755	8.402461231626225	7.506205363672063	9.627571823247592
Italian		5.079343532569819	0.35040160083409383	63.967115342380936	52.95831983176697	47.249573813141	12.3257785180341	19.692522686403112	22.69097266887475	18.10052360220628
Japanese		0.12006840200736607	0.48383970672304827	0.0	2.1921034553242866	0.05426656167671509	0.018126619758019782	0.4781542813838061	0.4497586144493304	0.4500287884731201
Kangri		2.7681550259959486	4.345825115055884		12.435328373330094	3.3064918967582746	3.746682580257125	5.509077765629112	5.172927008431796	5.149617841171986
Karelian		20.167346401483403	5.403880866425993		25.648227771030452	37.31110217360654	61.622594235361056	32.00862568885356	32.97767302371791	32.418628893612166
Komi		39.982042104387205	5.962268953634086	31.186440677966104	30.706707125037315	54.202736527438184	83.61795096105239	43.896086640503846	45.96842919091706	44.89434444979271
Komi-Permyak		24.991593735363857	0.0	0.0	30.667897044447074	50.87839857898458	65.80996380711001	35.79327822677361	40.20140867049267	39.43000518503267
Kurmanji		39.511051274638525	0.0	0.0	14.510481563767634	1.591264201523178	18.85478934734066	26.854059097380606	22.66367410477196	21.9785141062132
Latin		39.68195662827497	53.47820684365429	56.109864502737594	49.46125398846997	43.531618815318225	74.27920490614841	48.57660247182239	47.67168425067949	48.09038404560232
Latvian		22.227039548148507	0.9693347218852993	0.0	28.254268857195697	56.96262523963031	61.5650701769931	30.9820728005173	36.24436193803973	34.84298887953301
Ligurian		6.994604556974713	0.4710836820769654	49.81203007518796	58.98999670848819	20.99908239978508	14.603480877022369	20.00535483332551	20.239275463959707	16.827332006998294
Lithuanian		28.041507948777273	2.1242341400817573	0.0	24.192332201537432	57.48921776099171	59.618184102241614	28.34660213630774	32.69226757865157	31.99194829495064
Livvi		31.24714487118205	0.0		31.60718541153501	52.436021701626736	52.96065877638717	36.07374664877514	40.0363041698638	39.483952476439214
LowGerman		43.983328471850704	0.0	0.0	50.726722950503714	59.965471482325434	52.00284808476555	47.58533074674599	49.91483930849297	42.77356210861747
Maltese		2.4630792954907705	3.3937983409104593	0.0	35.16785941544019	51.769331008641366	24.294501149123974	15.377074568962342	19.831364587029732	17.869978672565942
Manx		1.2059159808122257	7.301335034335375		9.572320697174147	0.1227661730151337	4.719941360883587	3.7906295780807557	2.9377586612197826	3.3153934543481265
Marathi		8.283293682139153	0.0	24.736842105263154	4.564318676825249	3.8806402331620022	4.730942500159049	6.617933239822384	5.877370647204788	5.59730206634198
MbyáGuaraní		11.880566529951844	0.0	39.8635477582846	41.625751413835424	25.08420198358145	49.82572446269155	28.822129605669453	28.166014893043393	28.00824829350524
Moksha		23.004256297416227	12.000402698077117	0.0	24.742720693051783	60.11998106073726	81.06589859735422	36.585150224450416	42.57817050973095	41.86864109130931
Nahuatl		6.242434604794109	0.0	21.05263157894737	29.10537831933208	61.047321125111225	23.580092013547976	18.182511395965516	26.242201183102704	22.323104817019136
Naija		0.03515949263726549	0.379108023888141	5.3959794564850965	27.298338304933367	1.025671449697606		8.060365553869767	6.5897905384386135	6.123609796561308
Nhengatu		26.174821517003807	2.3527574629779044	0.0	40.39867904610561	32.0014568604657	19.303497527237926	31.95189171635736	31.8047201859184	30.136014495874107
NorthSami		17.336160389807613	7.275005466355401		34.095368332185075	55.282866408166576	44.27859473025208	29.95212785927705	36.486364757724225	36.13296418787406
Norwegian		7.507437122837902	1.7323347116618617		31.915955167561425	52.77988274065001	13.646166011889196	16.01969001615717	22.73673700387073	21.436305481314825
