	Bakker-like-head_initial
ADJ-comp-ADP	0.5
ADJ-comp-DET	1.0
ADJ-comp-NOUN	0.36363636363636365
ADJ-comp-PRON	0.7037037037037037
ADJ-comp-X	1.0
ADJ-comp:obj-ADP	0.25
ADJ-comp:obj-NOUN	0.4666666666666667
ADJ-comp:obj-PRON	0.5833333333333334
ADJ-comp:obj-X	1.0
ADJ-comp:obl-ADJ	1.0
ADJ-comp:obl-ADP	1.0
ADJ-comp:obl-DET	1.0
ADJ-comp:obl-NOUN	0.5
ADJ-comp:obl-PRON	0.8666666666666667
ADJ-comp:obl-VERB	1.0
ADJ-comp:pred-ADJ	0.4
ADJ-comp:pred-ADP	1.0
ADJ-comp:pred-DET	1.0
ADJ-comp:pred-NOUN	0.5
ADJ-comp:pred-VERB	1.0
ADJ-det-ADP	0.5
ADJ-det-DET	0.19148936170212766
ADJ-det-PRON	0.3333333333333333
ADJ-mod-ADJ	0.6
ADJ-mod-ADP	0.5714285714285714
ADJ-mod-ADV	0.5454545454545454
ADJ-mod-AUX	0.3333333333333333
ADJ-mod-CCONJ	0.8333333333333334
ADJ-mod-DET	0.4
ADJ-mod-NOUN	0.5454545454545454
ADJ-mod-NUM	0.5714285714285714
ADJ-mod-PART	0.46153846153846156
ADJ-mod-PRON	0.5789473684210527
ADJ-mod-PROPN	0.25
ADJ-mod-SCONJ	0.8
ADJ-mod-VERB	0.3
ADJ-subj-ADJ	0.6666666666666666
ADJ-subj-DET	0.4
ADJ-subj-NOUN	0.6923076923076923
ADJ-subj-NUM	0.5
ADJ-subj-PRON	0.4444444444444444
ADJ-subj-PROPN	0.46153846153846156
ADJ-subj-VERB	0.16666666666666666
ADJ-subj-X	1.0
ADJ-udep-ADJ	0.875
ADJ-udep-ADP	0.42105263157894735
ADJ-udep-ADV	0.5714285714285714
ADJ-udep-DET	1.0
ADJ-udep-NOUN	0.68
ADJ-udep-NUM	0.5
ADJ-udep-PRON	0.65
ADJ-udep-PROPN	0.3333333333333333
ADP-comp-ADJ	0.2857142857142857
ADP-comp-ADP	0.16666666666666666
ADP-comp-ADV	0.6363636363636364
ADP-comp-AUX	0.3333333333333333
ADP-comp-DET	0.2857142857142857
ADP-comp-NOUN	0.2702702702702703
ADP-comp-NUM	0.3333333333333333
ADP-comp-PRON	0.2222222222222222
ADP-comp-PROPN	0.3157894736842105
ADP-comp-VERB	0.4117647058823529
ADP-comp:obj-ADJ	0.2857142857142857
ADP-comp:obj-ADP	0.16666666666666666
ADP-comp:obj-ADV	0.6363636363636364
ADP-comp:obj-AUX	0.3333333333333333
ADP-comp:obj-DET	0.2857142857142857
ADP-comp:obj-NOUN	0.2777777777777778
ADP-comp:obj-NOUNPROPN	0.2702702702702703
ADP-comp:obj-NUM	0.3333333333333333
ADP-comp:obj-PRON	0.2222222222222222
ADP-comp:obj-PROPN	0.3157894736842105
ADP-comp:obj-VERB	0.4444444444444444
ADP-comp:obl-ADP	1.0
ADP-comp:obl-PRON	1.0
ADP-comp:obl-VERB	0.5
ADP-comp:pred-ADJ	1.0
ADP-comp:pred-NOUN	1.0
ADP-comp:pred-VERB	1.0
ADP-det-DET	0.25
ADP-mod-ADJ	0.7333333333333333
ADP-mod-ADP	0.625
ADP-mod-ADV	0.2459016393442623
ADP-mod-DET	0.5
ADP-mod-NOUN	0.8571428571428571
ADP-mod-NUM	0.5555555555555556
ADP-mod-PART	0.25
ADP-mod-PRON	0.8
ADP-mod-PROPN	1.0
ADP-mod-SCONJ	1.0
ADP-mod-VERB	1.0
ADP-mod-X	1.0
ADP-subj-ADJ	0.8
ADP-subj-DET	1.0
ADP-subj-NOUN	0.7142857142857143
ADP-subj-NUM	1.0
ADP-subj-PRON	0.7272727272727273
ADP-subj-PROPN	0.8333333333333334
ADP-subj-SYM	0.5
ADP-subj-VERB	0.5
ADP-udep-ADJ	0.5
