name	appos	cc	clf	comp	comp:aux	comp:cleft	comp:obj	comp:obl	comp:pred	compound	conj	conj:emb	det	discourse	dislocated	fixed	flat	goeswith	list	mod	orphan	parataxis	punct	reparandum	subj	udep	unk	vocative	xcomp	total
Afrikaans	3.44444	3.26179	0	3.56732	3.39848	0	3.53119	6.39884	3.8816	3.46296	3.91225	3.23077	1.31297	0	0	0	1.45887	0	0	2.59565	0	0	3.61107	0	4.21156	3.62857	4.93145	0	1.05882	3.3206614741738854
Assyrian	0	1.88	0	1.35714	1.0	0	1.49383	1.0	1.30303	1.0	3.91667	0	1.0625	0	0	0	0	0	0	1.92453	0	6.5	4.5303	0	2.17073	1.34783	0	0	1.5	2.0130593470149254
Akkadian	3.48201	2.31373	0	3.12434	0	0	2.39535	12.04545	7.66667	2.71429	3.39552	3.22222	1.26923	0	0	0	1.11111	0	3.85714	1.46245	0	4.71429	0	0	9.66667	4.38806	2.0	11.11111	1.0	2.840708053097345
Amharic	0	1.78409	1.0	1.9045	1.89655	0	1.83842	3.17857	2.08421	2.225	4.04167	4.0	1.07757	2.16746	0	0	1.25	1.07692	0	2.91179	0	5.0	2.44597	0	2.22788	3.18182	1.34115	0	2.62069	2.0620876807980046
Arabic	3.19444	2.71207	0	2.96556	1.19683	0	2.19549	8.25018	4.45094	1.55198	6.86211	8.06504	1.26663	4.87719	5.60096	0	1.24942	1.5	0	2.12567	23.71491	9.77137	15.317	0	2.12779	3.80114	3.90727	9.0	4.85817	3.6998639558305855
Belarusian	2.31905	1.8	0	1.93802	1.16667	0	1.94398	1.97368	2.24242	1.13333	4.79299	4.46154	1.25907	6.25	0	0	1.03419	0	0	1.86547	4.09524	10.05556	6.02072	0	3.3886	2.96032	1.02212	4.0	0	2.8857741431598463
Bulgarian	3.76471	1.9223	0	1.60988	1.24948	0	1.68166	1.62186	1.5596	1.5	4.60668	3.80303	1.17244	2.39797	0	0	1.05782	1.33333	0	2.04447	0	11.24091	5.70981	0	2.54116	2.19272	1.02862	3.96552	1.25429	2.3587577283940204
Bhojpuri	0	3.69231	3.33333	2.3172	1.10577	0	2.37145	6.58621	8.41935	2.3457	3.28571	1.0	1.54023	9.875	0	0	1.0	1.0	1.4	3.90476	0	0	3.99424	0	6.36552	4.40135	1.8	0	11.89744	3.078182273131108
Bambara	1.04762	1.74242	0	1.60922	1.88905	0	1.36863	6.13889	1.0	1.6	2.57812	0	1.12821	2.42031	4.27083	0	1.0	0	0	2.90315	1.53333	5.92593	6.50874	6.8	1.21002	2.83859	1.17949	4.30909	1.90659	2.5627440083494686
Breton	2.66667	1.65217	0	1.56887	1.13274	0	1.74433	3.68293	1.7193	1.78947	4.19409	4.5	1.05795	5.0	9.33333	2.5	1.17391	0	1.5	1.88305	1.0	7.89189	6.54514	0	2.65165	3.30244	1.81982	4.0	0	2.2812123664122135
Buryat	2.46774	2.27848	0	1.58468	1.03593	0	1.63752	3.19149	1.38095	1.39752	3.10036	5.0	1.30085	1.52513	2.0	0	1.02847	1.5	2.0	2.32054	6.85714	6.16423	2.9139	0	4.06586	2.84615	1.47826	7.5	1.39216	2.4185726582899774
Catalan	5.17258	1.93089	0	1.91392	1.26155	0	1.993	2.23641	1.88681	1.3253	7.46171	6.91643	1.15027	0	0	0	1.90768	0	0	3.11261	7.78571	9.21416	9.97172	0	3.77401	2.841	1.06796	0	7.27467	2.9187498055519026
Coptic	3.84063	2.70616	0	1.83912	2.08024	0	1.68434	4.12461	2.55499	1.57692	6.63244	4.9375	1.02352	5.27273	5.14839	0	1.0	0	0	4.3825	1.21053	9.17292	12.98825	5.0	1.22273	2.71791	1.45267	6.35577	2.38415	2.7750323048234264
Czech	4.45357	2.07683	0	2.11579	2.18285	0	2.04034	2.41974	2.42255	1.89012	5.23916	4.89142	1.35088	2.56892	0	0	1.91496	0	0	1.82915	6.98569	9.27197	6.83451	0	3.00154	2.76458	2.4767	4.24641	5.82993	2.8886707830086786
OldChurchSlavonic	2.28018	3.26865	0	1.53614	1.4798	0	1.54314	1.42806	1.6462	0	4.63472	4.29885	1.14622	2.64668	6.27737	0	1.41935	0	0	2.21931	2.21891	5.08333	0	0	2.26248	2.2052	1.11126	2.81954	2.5	2.0812341003449917
Welsh	3.88462	1.4238	0	1.48173	1.08579	0	1.41708	2.84583	2.16502	1.33333	5.97592	5.95	1.05362	2.75	0	0	1.06469	0	0	1.86193	0	11.81818	7.6556	0	1.60725	2.76606	1.13364	6.0	2.8284	2.2999959892848576
Danish	2.50279	2.45225	0	2.28087	2.31432	0	2.23578	4.11707	2.48987	2.92405	5.4179	6.43609	1.75146	6.625	0	0	1.26642	1.25	3.83417	2.31642	0	1.0	7.85244	5.0	1.93957	2.53163	2.28852	3.6875	5.6	2.9940619377642705
German	2.57309	2.28039	0	3.41372	5.65815	0	2.86721	5.31256	4.63045	6.44691	5.0283	4.04344	1.40247	1.93548	0	0	1.41489	1.5	0	2.43872	3.08989	12.36673	8.22632	1.0	3.53591	3.37056	2.57856	6.33333	12.33845	3.547469356958405
Greek	5.4697	2.06663	0	2.15003	1.11322	0	2.43383	1.80423	1.98522	1.54545	6.22597	5.54167	1.31008	4.85714	0	0	1.33735	0	0	2.34592	2.34146	9.50442	9.54692	0	3.17282	3.23197	1.02727	6.04054	1.89691	2.945391868268658
English	3.78223	2.19144	0	1.94471	1.3597	0	2.07406	2.30764	1.84176	1.28368	5.87287	5.28951	1.56971	3.80761	5.40127	0	1.25399	2.10078	7.56192	2.27851	1.76596	10.57893	8.21616	2.91489	1.73564	2.59872	2.20832	4.60733	1.97134	2.780509515771297
Spanish	3.41795	2.06589	0	1.91004	1.21549	0	1.96831	1.6151	1.85987	1.25454	6.56706	5.75954	1.14875	6.88073	0	0	1.50453	1.21739	3.3125	2.68186	4.19048	13.05892	9.1393	0	3.58812	2.63174	1.25535	8.0	4.14809	2.8801563099052396
Estonian	1.80731	1.90619	0	2.34543	1.97686	0	2.45279	4.95	2.30661	1.7787	4.7485	4.75336	1.36871	3.47227	0	0	1.30244	1.29651	6.69231	1.88406	2.30742	6.54471	5.98741	1.66667	2.14282	2.62415	1.20815	3.21348	2.68883	2.909388255296279
Basque	4.06486	3.70949	0	1.66658	1.1353	0	2.03323	2.77874	1.78067	1.01367	5.54266	3.47436	1.15106	3.68182	0	0	1.01118	0	0	2.14883	0	4.63265	5.76136	0	3.62591	3.25144	1.20412	3.2619	2.60628	2.799974572613387
Persian	3.18664	3.58411	0	3.20087	2.85184	0	3.31282	4.48429	2.56493	1.22068	5.0008	4.65659	1.04703	0	11.32857	0	1.08015	0	0	2.15177	0	5.19231	9.31351	0	8.71543	5.65518	1.54956	5.65152	6.66667	3.8792631228988066
Finnish	2.86193	1.85546	0	1.93614	1.46639	0	2.06469	3.82759	2.0455	1.45253	4.31222	4.08054	1.31811	3.66393	0	0	1.16133	1.0	0	1.85209	3.00917	10.27184	4.23933	1.82353	1.64748	2.8041	1.68311	3.40794	1.33333	2.3469848762448864
Faroese	2.42857	1.61953	0	1.49665	2.04808	0	1.29756	1.0	1.76503	1.21739	3.31399	2.0	1.29891	1.0	0	0	1.22449	0	0	1.38467	1.0	3.93284	4.43031	0	1.54925	2.15471	1.48077	0	0	2.026997183695077
