name	appos	cc	clf	comp	comp:aux	comp:cleft	comp:obj	comp:obl	comp:pred	compound	conj	conj:emb	det	discourse	dislocated	fixed	flat	goeswith	list	mod	orphan	parataxis	punct	reparandum	subj	udep	unk	vocative	xcomp	total
Afrikaans	0.00101	0.03027	0.0	0.23245	0.03997	0.0	0.17331	0.00278	0.01639	0.0052	0.03327	0.00813	0.09267	0.0	0.0	0.0	0.00371	0.0	0.0	0.11278	0.0	0.0	0.07214	0.0	0.05634	0.09264	0.02668	0.0	0.00027	62340
Assyrian	0.0	0.04664	0.0	0.26119	0.03545	0.0	0.15112	0.01306	0.06157	0.00746	0.04478	0.0	0.02985	0.0	0.0	0.0	0.0	0.0	0.0	0.09888	0.0	0.00373	0.12313	0.0	0.07649	0.04291	0.0	0.0	0.00373	536
Akkadian	0.06474	0.04751	0.0	0.17606	0.0	0.0	0.16022	0.01025	0.00559	0.00326	0.06241	0.00838	0.08477	0.0	0.0	0.0	0.00419	0.0	0.01304	0.23568	0.0	0.0163	0.0	0.0	0.02236	0.06241	0.01816	0.00419	0.00047	2147
Amharic	0.0	0.00757	9e-05	0.2314	0.02743	0.0	0.18041	0.00722	0.01634	0.00688	0.00413	0.00017	0.04102	0.01797	0.0	0.0	0.00034	0.00112	0.0	0.09846	0.0	0.00052	0.0939	0.0	0.13509	0.02838	0.09906	0.0	0.00249	11629
Arabic	0.00081	0.0462	0.0	0.26636	0.00388	0.0	0.22395	0.03214	0.00638	0.00099	0.00998	0.00036	0.0048	4e-05	0.00015	0.0	0.01223	0.0	0.0	0.23968	0.00016	0.00396	0.07227	0.0	0.0359	0.02688	0.00339	0.0	0.00947	1382314
Belarusian	0.01391	0.0394	0.0	0.15812	0.00318	0.0	0.14303	0.00755	0.00437	0.00099	0.06046	0.00172	0.01278	0.00026	0.0	0.0	0.00775	0.0	0.0	0.2407	0.00139	0.01073	0.1374	0.0	0.05112	0.09012	0.01496	7e-05	0.0	15102
Bulgarian	0.00018	0.02564	0.0	0.23495	0.03281	0.0	0.1705	0.0189	0.01273	1e-05	0.02935	0.0007	0.01825	0.00364	0.0	0.0	0.00893	2e-05	0.0	0.14177	0.0	0.00232	0.11627	0.0	0.063	0.0943	0.02173	0.00031	0.00369	189716
Bhojpuri	0.0	0.0033	0.00038	0.19926	0.0396	0.0	0.15205	0.00368	0.00393	0.20523	0.01422	0.00013	0.02208	0.00102	0.0	0.0	0.00013	0.00013	0.00127	0.10661	0.0	0.0	0.08821	0.0	0.03681	0.11321	0.00381	0.0	0.00495	7879
Bambara	0.00127	0.00399	0.0	0.22574	0.08452	0.0	0.13886	0.00218	0.00018	0.00454	0.00387	0.0	0.03068	0.04707	0.0029	0.0	0.00454	0.0	0.0	0.05185	0.00091	0.04574	0.11774	0.0003	0.11235	0.07871	0.00236	0.00666	0.03303	16528
Breton	0.0032	0.01699	0.0	0.24731	0.09152	0.0	0.13035	0.00673	0.01871	0.00156	0.01945	0.00033	0.09915	0.00016	0.00025	0.00016	0.00189	0.0	0.00016	0.13125	0.00016	0.00304	0.09456	0.0	0.04736	0.06731	0.01822	0.00016	0.0	12183
