name	aff	aff:aux	aff:case	aff:dep	aff:mark	aff:subj	appos	cc	clf	comp	comp:aux	comp:cleft	comp:obj	comp:obl	comp:pred	comp:svc	compound	compound:prt	compound:redup	compound:svc	conj	conj:appos	conj:coord	conj:dicto	conj:emb	conj:obj	conj:redup	det	det:num	discourse	dislocated	dislocated:obj	dislocated:subj	flat	flat:foreign	goeswith	list	mod	mod:appos	mod:aux	mod:emph	mod:focus	mod:num	mod:periph	mod:poss	mod:relcl	orphan	parataxis	parataxis:conj	parataxis:coord	parataxis:dicto	parataxis:discourse	parataxis:dislocated	parataxis:insert	parataxis:mod	parataxis:obj	parataxis:obl	parataxis:parenth	punct	reparandum	subj	subj:obj	udep	unk	unk:scrap	vocative	total
Afrikaans	0	0	0	0	0	0	3.44444	1.84277	0	1.18647	2.46865	0	0.34163	6.49157	-0.00282	0	0.95062	0	0	0	4.01489	0	0	0	3.26408	0	0	-1.31642	0	0	0	0	0	1.34199	0	0	0	-0.74993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.41076	0	-3.84845	0	0.13837	3.90951	0	0	0.7290956296557923
Assyrian	0	0	0	0	0	0	0	-0.92	0	0.6383	0.36842	0	1.28049	1.0	-0.9375	0	-1.0	0	0	0	3.83333	0	0	0	0	0	0	-1.0625	0	0	0	0	0	0	0	0	0	-0.625	0	0	0	0	0	0	0	0	0	6.5	0	0	0	0	0	0	0	0	0	0	3.92424	0	-2.02381	0	1.25	0	0	0	0.7821232774674115
SouthLevantineArabic	0	0	0	0	0	0	0	-0.28571	0	1.15284	1.08	0	1.12717	1.46429	0.33333	0	0	0	0	0	2.4	0	0	0	0	0	0	-0.89474	0	-0.30769	0	0	0	1.0	0	0	0	1.14474	0	0	0	0	0	0	0	0	0	3.6	0	0	0	0	0	0	0	0	0	0	4.45652	0	0.04878	0	1.72881	-2.66667	0	0	1.5642711437908499
Akkadian	0	0	0	0	0	0	9.39676	-2.46114	0	-1.19863	0	0	-1.1417	-5.23729	-14.2	0	-2.14286	0	0	0	3.05471	0	0	0	3.74359	0	0	1.01199	0	-7.55556	0	0	0	1.0	0	0	3.85714	1.09965	0	0	0	0	0	0	0	0	0	5.68519	0	0	0	0	0	0	0	0	0	0	0	0	-6.44732	0	-3.99559	0.57751	0	-10.8	0.20751679217076915
Amharic	0	0	0	0	0	0	0	0.80682	-1.0	-0.63199	-1.50157	0	-0.31562	-2.70103	-1.72472	0	-2.175	0	0	0	3.83333	0	0	0	4.0	0	0	0.67505	0	1.31579	0	0	0	1.25	0	0.61538	0	-2.27136	0	0	0	0	0	0	0	0	0	-1.83333	0	0	0	0	0	0	0	0	0	0	2.44597	0	-1.41184	0	-2.90488	1.27344	0	0	-0.380941895693944
Apurinã	0	0	0	0	0	0	0	-2.5	0	0.88608	-1.0	0	0.96053	0	-1.0	0	0	0	0	0	3.34545	0	0	0	2.0	0	0	-1.11111	0	0	-3.0	0	0	0	0	0	0	-0.92308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45522	0	-0.93	0	0.45455	-1.5	0	0	0.6823895283018868
Akuntsu	0	0	0	0	0	0	1.83333	0	0	-0.96296	-1.0	0	-1.01961	0.5	0	0	0	0	0	0	2.33333	0	0	0	2.25	0	0	0	0	1.5	-1.0	0	0	0	0	0	0	-0.47436	0	0	0	0	0	0	0	0	0	2.61111	0	0	0	0	0	0	0	0	0	0	0.97222	0	-1.2459	0	0.0	0.28571	0	0	-0.2082194520547945
Arabic	0	0	0	0	0	0	3.19444	-0.26818	0	2.81369	0.79497	0	1.9498	7.00951	2.52935	0	0.0571	0	0	0	6.88552	0	0	0	8.08184	0	0	-0.61906	0	0.94737	-5.55288	0	0	1.04029	0	1.5	0	1.78089	0	0	0	0	0	0	0	0	23.79825	9.68115	0	0	0	0	0	0	0	0	0	0	14.58073	0	0.37579	0	3.28311	3.1685	0	9.0	3.2329828825586335
Belarusian	0	0	0	0	0	0	2.32406	-1.98639	0	1.31481	0.83938	0	1.38506	0.72822	0.74843	0	-1.12457	0	0	0	4.53922	0	0	0	4.5175	0	0	-1.16759	0	3.47812	-3.30769	0	0	1.0409	0	5.92308	3.50751	-0.0645	0	0	0	0	0	0	0	0	0.42913	4.19827	0	0	0	0	0	0	0	0	0	0	2.75094	-1.2	-1.2693	0	0.23392	0.31751	0	-0.47024	1.1126675850422698
Beja	0.28049	0.78261	1.07692	1.71429	0.97778	-0.12025	0	1.28	0	-1.7963	-2.6875	0	-1.51299	-2.20588	-3.22222	-2.66667	-1.0	0	0	0	-3.17857	5.0	-6.625	3.14286	0	0	-2.5	-0.18699	-1.0	-3.34783	2.5	4.75	2.0	0	0	0	0	-1.76068	0	-2.0	0	-2.0	0	0	1.25	2.19048	0	-4.22917	0	-3.5	0	0	0	0	-4.0	-4.30233	-5.0	0	1.90058	0	-4.25641	0.0	0	0	0	-5.5	-0.7673422038060159
Bulgarian	0	0	0	0	0	0	3.76471	-1.91367	0	1.27364	1.1653	0	1.40452	0.70382	0.67758	0	1.5	0	0	0	4.64476	0	0	0	3.82707	0	0	-0.3342	0	-0.23589	0	0	0	1.00059	0	1.33333	0	-0.18615	0	0	0	0	0	0	0	0	0	-10.97727	0	0	0	0	0	0	0	0	0	0	4.39781	0	-1.4375	0	0.74103	-0.43169	0	-0.34483	1.1255910952040837
Bhojpuri	0	0	0	0	0	0	2.0	-3.25926	2.0	-0.39863	-0.91346	0	-0.21957	0.79245	-5.86364	0	-2.19357	0	0	0	3.27679	0	0	0	1.0	0	0	-1.47126	0	-9.875	0	0	0	1.0	0	1.0	1.2	-3.86483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87338	0	-6.14138	0	-3.97315	1.05556	0	0	-1.5270471625379172
Bambara	0	0	0	0	0	0	1.04762	-1.33333	0	0.53182	1.87536	0	-0.36696	2.52439	-0.4	0	1.6	0	0	0	2.60938	0	0	0	0	0	0	0.80079	0	-1.25869	-3.60417	0	0	1.0	0	0	0	-1.89332	0	0	0	0	0	0	0	0	2.46667	5.92593	0	0	0	0	0	0	0	0	0	0	4.79723	-4.8	-1.18632	0	1.43448	0.4878	0	-1.91818	0.925429174037842
Breton	0	0	0	0	0	0	2.66667	-1.47573	0	1.09711	0.46493	0	1.62295	2.39506	0.0614	0	1.68421	0	0	0	4.13502	0	0	0	4.5	0	0	-1.04312	0	-2.0	-4.0	0	0	1.2	0	0	1.5	1.17125	0	0	0	0	0	0	0	0	1.0	6.02703	0	0	0	0	0	0	0	0	0	0	5.90373	0	0.35702	0	1.90644	0.17699	0	4.0	1.3891769442391397
Buryat	0	0	0	0	0	0	2.46774	-0.05063	0	-1.25512	-1.00585	0	-1.2788	-1.58929	-1.3253	0	-1.25	0	0	0	3.10394	0	0	0	5.0	0	0	-1.17467	0	0.19697	0	0	0	1.03584	0	0	2.0	-2.08692	0	0	0	0	0	0	0	0	-1.14286	5.41667	0	0	0	0	0	0	0	0	0	0	0.68128	0	-4.02279	0	-2.63571	0.66667	0	-7.5	-0.94890673795239
Catalan	0	0	0	0	0	0	5.30641	-1.91126	0	1.47317	1.01411	0	1.5553	1.09279	1.40942	0	1.32736	0	0	0	7.62477	0	0	0	7.0236	0	0	-1.06983	0	-2.0	0	0	0	1.2956	0	0	0	1.38808	0	0	0	0	0	0	0	0	8.0	-1.67944	0	0	0	0	0	0	0	0	0	0	8.36567	0	-2.78993	0	1.3191	1.08812	0	0	1.5978107338385692
Chukot	0	0	0	0	0	0	2.13725	-2.09756	0	-0.28338	1.3617	0	-0.46693	2.0	-0.9	0	0	0	0	0	1.96471	0	0	0	0	0	0	-0.89744	0	-1.81667	-3.625	0	0	1.02222	0	0	0	-0.50092	0	0	0	0	0	0	0	0	0.72727	3.01872	0	0	0	0	0	0	0	0	0	0	2.88446	-1.2678	-1.33741	0	-0.92027	-0.58065	0	-1.97222	0.20885567523236745
Coptic	0	0	0	0	0	0	3.73011	-2.64227	0	1.74929	2.08311	0	1.68916	3.89715	-1.78588	0	-1.19231	0	0	0	7.24695	0	0	0	5.66667	0	0	-0.85861	0	1.08621	-2.20133	0	0	1.0	0	0	0	0.97785	0	0	0	0	0	0	0	0	0.85714	9.83811	0	0	0	0	0	0	0	0	0	0	12.00097	-4.71429	0.24485	0	1.80943	1.2028	0	1.28682	1.8775402861789634
OldChurchSlavonic	0	0	0	0	0	0	2.28018	0.87256	0	0.98193	0.39899	0	1.07589	1.14695	0.26169	0	0	0	0	0	4.63088	0	0	0	4.29885	0	0	0.16899	0	-1.9774	-5.9562	0	0	1.41935	0	0	0	-0.1136	0	0	0	0	0	0	0	0	1.54229	0.29167	0	0	0	0	0	0	0	0	0	0	0	0	-0.92262	0	0.70867	0.94614	0	-1.46854	0.6830491685874462
Welsh	0	0	0	0	0	0	4.02732	-1.44651	0	1.52261	1.06794	0	1.25308	2.15481	2.47953	0	0.98276	0	0	0	6.03726	0	0	0	5.78723	0	0	-0.965	0	-2.6	0	0	0	1.04941	0	0	0	0.83572	0	0	0	0	0	0	0	0	0	12.05085	0	0	0	0	0	0	0	0	0	0	6.67027	0	0.62538	0	1.84783	-0.61704	0	6.0	1.677882254276508
Danish	0	0	0	0	0	0	2.43575	-1.76249	0	1.58446	2.08745	0	1.52882	0.7	1.51711	0	0.47342	0	0	0	5.35262	0	0	0	6.40299	0	0	-1.7416	0	-0.9375	0	0	0	1.0809	0	1.25	3.73367	0.44929	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	6.5014	-4.0	-1.11976	0	1.18641	0.73562	0	0.6875	1.5884371977341416
Greek	0	0	0	0	0	0	5.4697	-2.03998	0	1.9627	1.0719	0	2.25407	1.32035	1.2543	0	0.72727	0	0	0	6.29301	0	0	0	5.77778	0	0	-1.27677	0	0.28571	0	0	0	1.11747	0	0	0	0.55272	0	0	0	0	0	0	0	0	0.43902	6.72566	0	0	0	0	0	0	0	0	0	0	7.62146	0	-1.31609	0	0.97476	0.63636	0	-4.63514	1.4194409710763263
English	0	0	0	0	0	0	3.78027	-2.17509	0	1.78413	1.33659	0	1.87607	1.59541	1.84899	0	-0.96488	0	0	0	5.89016	0	0	0	5.44113	0	0	-1.56338	0	-0.65382	-0.24713	0	0	0.97762	0	2.08163	7.46737	-0.17537	0	0	0	0	0	0	0	0	1.2	9.77329	0	0	0	0	0	0	0	0	0	0	6.53814	-2.56875	-1.41609	0	1.10875	0.95337	0	-1.1941	1.4550148585385179
Spanish	0	0	0	0	0	0	3.45805	-1.95234	0	1.53311	0.9564	0	1.67824	0.15248	1.33607	0	0.75925	0	0	0	6.58799	0	0	0	5.71529	0	0	-1.11399	0	-6.42202	0	0	0	1.14935	0	1.21739	3.3125	1.03632	0	0	0	0	0	0	0	0	4.04762	10.28727	0	0	0	0	0	0	0	0	0	0	7.55918	0	-2.66259	0	1.20755	0.6635	0	1.0	1.6048034014829937
Central Siberian Yupik	0	0	0	0	0	0	2.85714	2.0	0	0.69427	0	0	0.75839	-0.5	0	0	0	0	0	0	3.0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0	0	0	0.64539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3871	0	-2.36416	0	2.98551	1.24676	0	0	1.3087737127483445
Estonian	0	0	0	0	0	0	1.80085	-1.91207	0	1.37361	1.8938	0	1.21085	2.86519	1.42146	0	0.71975	0	0	0	4.77164	0	0	0	4.89925	0	0	-1.3249	0	-0.64055	0	0	0	1.03235	0	1.22881	6.69231	-0.58905	0	0	0	0	0	0	0	0	0.74043	4.69453	0	0	0	0	0	0	0	0	0	0	4.15508	0.0	-0.02525	0	0.64905	1.048	0	-0.57339	1.1849670968678176
Basque	0	0	0	0	0	0	3.93514	-3.10496	0	-0.75812	-0.74405	0	-0.79802	-0.44758	-0.77056	0	-1.01367	0	0	0	5.40757	0	0	0	3.78652	0	0	0.25792	0	-1.28788	0	0	0	1.00972	0	0	0	-0.92023	0	0	0	0	0	0	0	0	0	4.18367	0	0	0	0	0	0	0	0	0	0	1.93094	0	-2.67114	0	-1.11764	1.09201	0	0.35714	-0.32979168172632783
Persian	0	0	0	0	0	0	2.99512	-3.46049	0	0.11187	0.78279	0	0.79005	-2.42035	-2.35241	0	-1.27767	0	0	0	5.08343	0	0	0	4.88711	0	0	-1.02659	0	0	-11.12857	0	0	1.02916	0	1.0	0	0.03959	0	0	0	0	0	0	0	0	0	4.83103	0	0	0	0	0	0	0	0	0	0	4.41725	0	-7.73296	0	-4.39058	1.33185	0	-6.69167	-0.2813435250350054
Finnish	0	0	0	0	0	0	2.85087	-1.81571	0	1.21911	1.42387	0	1.02628	2.40584	1.59545	0	-0.67485	0	0	0	4.28075	0	0	0	4.07277	0	0	-1.29759	0	2.13662	0	0	0	1.02158	0	1.0	0	-0.11045	0	0	0	0	0	0	0	0	-0.53675	9.14129	0	0	0	0	0	0	0	0	0	0	3.15735	-1.82353	-0.64199	0	0.96233	-0.14797	0	-0.97832	0.9526924675691636
Faroese	0	0	0	0	0	0	3.41102	-2.4176	0	1.57574	0.94466	0	1.79899	1.4994	0.91271	0	1.23717	0	0	0	7.45368	0	0	0	4.21875	0	0	-1.25814	0	-4.45833	0	0	0	1.0	0	0	0	0.1274	0	0	0	0	0	0	0	0	2.0	3.98611	0	0	0	0	0	0	0	0	0	0	1.77668	0	-0.80072	0	1.72005	0.80065	0	-3.27184	1.2183337624337944
French	0	0	0	0	0	0	3.20478	-2.22374	0	1.80672	1.29123	6.24316	1.94694	1.18295	1.7951	0	1.09167	0	0	0	6.35279	4.60563	4.31892	2.40275	6.29913	0	0	-1.14318	0	-1.06903	-2.22667	0	0	1.02273	0	1.02439	0	0.93586	0	0	0	0	0	0	0	0	4.06627	11.84194	0	0	0	0	0	4.06667	0	4.02439	0	1.79545	7.4772	-0.5	-2.94593	0	1.45927	0.83006	0	-6.49133	1.6167401252128226
OldFrench	0	0	0	0	0	0	2.53395	-2.9734	0	0.97587	1.23947	0	1.12207	-0.49289	0.96184	0	1.0	0	0	0	3.78559	0	0	0	4.82759	0	0	-1.10493	0	-5.59286	-2.6063	0	0	1.07818	0	0	0	-0.15473	0	0	0	0	0	0	0	0	0	-2.81971	0	0	0	0	0	0	0	0	0	0	0	0	-1.19412	0	-0.11181	-1.297	0	-3.51213	0.1561409099011666
Irish	0	0	0	0	0	0	4.06897	-1.4064	0	1.688	1.16667	0	1.12329	4.5	3.64522	0	0.75889	0	0	0	5.463	0	0	0	3.79412	0	0	-0.66351	0	3.60714	12.0	0	0	1.05267	0	1.0	7.14371	1.66119	0	0	0	0	0	0	0	0	8.0	10.08376	0	0	0	0	0	0	0	0	0	0	8.18667	0	1.71613	0	2.77047	-0.34647	0	0.71429	2.2819731540978254
Gaelic	0	0	0	0	0	0	4.38017	-1.92955	0	1.86395	0	0	1.43648	3.50805	2.62222	0	1.07778	0	0	0	8.84305	0	0	0	9.88957	0	0	-0.94293	0	-1.27119	-3.58824	0	0	1.01778	0	0	0	1.28002	0	0	0	0	0	0	0	0	0	8.05849	0	0	0	0	0	0	0	0	0	0	8.7638	-2.55263	1.57195	0	2.36332	-0.38825	0	3.72917	1.9748970356499898
Galician	0	0	0	0	0	0	4.45679	3.13046	0	2.04928	0.53295	0	1.78771	4.16994	1.08607	0	1.17391	0	0	0	6.25744	0	0	0	5.85	0	0	-1.14475	0	-4.66667	0	0	0	3.16917	0	0	5.25	1.36546	0	0	0	0	0	0	0	0	-3.0	10.16129	0	0	0	0	0	0	0	0	0	0	8.97391	0	-2.64723	0	1.13263	1.72739	0	-8.0	1.84167320623037
Gothic	0	0	0	0	0	0	3.11367	0.16105	0	0.99009	0	0	1.17607	1.02018	-0.08221	0	0	0	0	0	4.38049	0	0	0	3.61983	0	0	-0.76817	0	-2.28128	-4.52778	0	0	1.08333	0	0	0	0.04316	0	0	0	0	0	0	0	0	1.4269	5.0122	0	0	0	0	0	0	0	0	0	0	0	0	-0.96507	0	0.67808	1.00893	0	-1.07914	0.641810951790254
AncientGreek	0	0	0	0	0	0	3.89007	1.32568	0	0.86177	2.05217	0	1.01656	0.51658	0.163	0	0	0	0	0	5.19054	0	0	0	3.93531	0	0	-1.08084	0	-3.60052	-5.65842	0	0	1.33451	0	0	0	-0.95301	0	0	0	0	0	0	0	0	1.1421	3.32123	0	0	0	0	0	0	0	0	0	0	4.56195	0	-1.58239	0	-0.35336	1.52586	0	-2.18295	0.3489081092557503
SwissGerman	0	0	0	0	0	0	2.4	-2.71429	0	1.61871	3.58491	0	0.99615	0.63636	0.75862	0	1.85714	0	0	0	5.87805	0	0	0	0	0	0	-1.29268	0	0	0	0	0	1.0	0	0	0	-0.09125	0	0	0	0	0	0	0	0	0	7.66667	0	0	0	0	0	0	0	0	0	0	6.13483	0	-1.05263	0	-1.42029	-2.5	0	0	1.204998767745599
Guajajára	0	0	0	0	0	0	4.4	0	0	-0.38333	0	0	-0.62069	6.5	0	0	1.0	0	0	0	0	0	0	0	0	0	0	-1.2	0	3.21875	0	0	0	0	0	0	0	0.63492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43373	0	0.04839	0	2.55294	-1.5	0	0	1.0414672886762362
MbyáGuaraní	0	0	0	0	0	0	2.17241	-3.84746	0	-0.93244	-1.5	0	-0.93343	3.0	-1.0	0	1.55663	0	0	0	4.66142	0	0	0	2.0	0	0	-1.13514	0	-2.46154	-2.96	0	0	1.0	0	1.0	6.0	-1.46272	0	0	0	0	0	0	0	0	0	3.02132	0	0	0	0	0	0	0	0	0	0	1.93603	-1.8	-1.54286	0	-1.88843	1.7357	0	-1.625	0.011680338751536595
Manx	0	0	0	0	0	0	3.23404	-1.31138	0	1.80682	0	0	1.49382	2.67568	2.59305	0	2.0	0	0	0	6.5	0	0	0	2.0	0	0	-0.99161	0	-2.0	0	0	0	1.0	0	0	0	0.85714	0	0	0	0	0	0	0	0	1.5	8.51724	0	0	0	0	0	0	0	0	0	0	6.09313	-2.0	1.19671	0	2.22663	0.97222	0	4.5	2.1012081642432925
Hebrew	0	0	0	0	0	0	4.76942	-2.26688	0	1.80886	2.65369	0	1.79103	2.62308	1.66859	0	1.42607	0	0	0	6.90956	0	0	0	7.07595	0	0	-0.97693	0	0.0	-8.25	0	0	1.23453	0	0	0	1.38268	0	0	0	0	0	0	0	0	0	6.56721	0	0	0	0	0	0	0	0	0	0	7.1883	0	-2.29159	0	1.42542	0.31446	0	0	1.729767902314911
Hindi	0	0	0	0	0	0	2.97297	-5.41612	0	-0.49928	-0.85853	0	-0.26117	-4.98782	-1.36692	0	-1.30437	0	0	0	5.70152	0	0	0	5.63095	0	0	-1.22924	0	0.5697	3.37644	0	0	1.12919	0	0	5.0	-2.4429	0	0	0	0	0	0	0	0	0	9.96809	0	0	0	0	0	0	0	0	0	0	5.12812	0	-6.25696	0	-4.23536	0.91232	0	-3.0	-1.1115510062694782
Croatian	0	0	0	0	0	0	3.48528	-1.89972	0	1.38675	1.42041	0	1.3673	0.9671	1.58785	0	-0.1	0	0	0	5.36118	0	0	0	5.42308	0	0	-1.34366	0	-2.15286	-6.85714	0	0	1.30205	0	0	4.45833	-0.0553	0	0	0	0	0	0	0	0	-2.29167	7.4687	0	0	0	0	0	0	0	0	0	0	6.08823	0	-1.18298	0	0.47089	-0.65541	0	-1.04167	1.3620686233545363
UpperSorbian	0	0	0	0	0	0	3.95597	-1.95078	0	1.58736	6.83673	0	1.63263	-0.53333	2.53543	0	-0.13208	0	0	0	4.6975	0	0	0	5.0	0	0	-1.4135	0	1.0	0	0	0	1.23741	0	0	6.18182	-0.46749	0	0	0	0	0	0	0	0	0.5	5.81356	0	0	0	0	0	0	0	0	0	0	3.74864	0	-1.76351	0	-1.19886	-0.34737	0	0	1.1215666932207444
Hungarian	0	0	0	0	0	0	3.56794	-2.76894	0	0.99453	-0.32258	0	1.00414	1.76923	-0.23118	0	0.1728	0	0	0	7.03561	0	0	0	6.97436	0	0	-1.74249	0	-3.0	8.0	0	0	1.0321	0	1.0	5.0	-1.46275	0	0	0	0	0	0	0	0	-2.95181	4.52542	0	0	0	0	0	0	0	0	0	0	3.16704	0	-2.1493	0	-1.41315	1.2093	0	-3.0	-0.015137854215653359
Armenian	0	0	0	0	0	0	4.17228	-3.25974	0	0.42283	-0.15315	0	1.05427	-0.66535	-0.75018	0	-0.49935	0	0	0	5.7933	0	0	0	4.79	0	0	-1.35	0	-2.89351	3.04545	0	0	1.12811	0	2.98529	2.77778	-1.41974	0	0	0	0	0	0	0	0	1.0495	1.56652	0	0	0	0	0	0	0	0	0	0	1.9216	0	-2.2512	0	-0.46557	1.29936	0	-4.48571	0.2975666561288498
WesternArmenian	0	0	0	0	0	0	4.21637	-2.93962	0	0.26498	0.48883	0	0.43637	0.17241	-1.11673	0	-0.6434	0	0	0	5.7506	0	0	0	6.59756	0	0	-0.74978	0	-3.35172	1.35088	0	0	1.11321	0	1.0	3.5	-1.00074	0	0	0	0	0	0	0	0	2.04478	1.8012	0	0	0	0	0	0	0	0	0	0	1.82246	1.0	-2.84642	0	-0.59789	1.16667	0	-2.19048	0.2557219850313858
Indonesian	0	0	0	0	0	0	3.80481	-1.4619	-1.0	1.36975	1.10867	0	1.33775	2.44136	1.30361	0	1.18563	0	0	0	4.74724	0	0	0	3.80769	0	0	0.32225	0	-2.8	-2.33333	0	0	1.13715	0	1.0	0	0.93049	0	0	0	0	0	0	0	0	4.30769	11.26022	0	0	0	0	0	0	0	0	0	0	5.43263	0	-2.63411	0	1.31192	8.69675	0	8.0	1.6352516894431868
Italian	0	0	0	0	0	0	4.68472	-1.99254	0	1.68497	1.1199	0	1.83461	0.81415	1.42884	0	1.09078	0	0	0	5.667	0	0	0	4.89834	0	0	-1.15363	0	2.00037	-0.48903	0	0	1.03711	0	1.05882	11.4	0.63441	0	0	0	0	0	0	0	0	1.16912	7.73484	0	0	0	0	0	0	0	0	0	0	7.11552	0	-2.25219	0	0.93849	1.52322	0	-0.25863	1.5793279377712355
Khunsari	0	0	0	0	0	0	0	-1.0	0	1.13333	4.0	0	0.92857	0	0	0	-0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	-1.47368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0	-2.0	0	-1.66667	0	0	0	-0.08860772151898741
Kazakh	0	0	0	0	0	0	3.16279	-3.50251	1.33333	-1.44127	-0.98276	0	-1.67115	-1.9	-1.01	0	-1.38281	0	0	0	3.65025	0	0	0	9.0	0	0	-1.22477	0	-1.01852	0	0	0	1.08889	0	0	0	-2.09515	0	0	0	0	0	0	0	0	-2.92308	-1.2125	0	0	0	0	0	0	0	0	0	0	0.21469	0	-3.76957	0	-3.67782	-1.01667	0	-2.8	-1.4734584401529995
Kurmanji	0	0	0	0	0	0	2.83333	-2.75549	0	0.37826	1.36735	0	0.6151	2.90909	-2.2029	0	-1.38583	0	0	0	4.58704	0	0	0	4.64286	0	0	-1.06604	0	-5.17857	-9.5	0	0	0.96667	0	0	0	-0.54016	0	0	0	0	0	0	0	0	-3.5	5.97222	0	0	0	0	0	0	0	0	0	0	2.60672	0	-4.55825	0	-3.65063	-0.12403	0	0	-0.20232724430880902
Korean	0	0	0	0	0	0	0.83576	-9.25993	-1.0	-2.06845	-0.98204	0	-1.95149	-4.40634	-3.19004	0	-1.4132	0	0	0	3.00914	0	0	0	2.4942	0	0	-1.33439	0	-3.47917	-6.41199	0	0	1.15927	0	1.04444	0	-2.5093	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.80846	0	-3.23993	0	-2.22011	-0.79011	0	-6.3125	-1.7828913356576128
Komi-Permyak	0	0	0	0	0	0	3.42857	-2.46154	0	0.77064	1.09091	0	0.625	3.5	0.6	0	-1.0	0	0	0	5.0	0	0	0	0	0	0	-1.33333	0	1.0	-4.0	0	0	1.0	0	0	3.5	-0.81871	0	0	0	0	0	0	0	0	2.25	6.83333	0	0	0	0	0	0	0	0	0	0	2.10053	0	-0.52809	0	-0.16923	1.0	0	-2.66667	0.6839682929642444
Komi	0	0	0	0	0	0	3.51087	-2.63205	0	0.56807	1.0361	0	0.44655	2.0	0.2844	0	-0.97059	0	0	0	4.56418	0	0	0	4.13208	0	0	-1.12575	0	-2.19048	-3.53846	0	0	1.0	0	1.0	4.83333	-0.97476	0	0	0	0	0	0	0	0	1.29412	3.6375	0	0	0	0	0	0	0	0	0	0	2.27129	-2.78571	-1.03592	0	-0.08976	0.86667	0	-0.6	0.5023369362677671
Karelian	0	0	0	0	0	0	2.26316	-1.05128	0	1.2293	1.23729	0	1.22414	0.30769	1.4902	0	0.4375	0	0	0	4.57576	0	0	0	4.47619	0	0	-0.97297	0	-5.75	0	0	0	1.40909	0	1.0	0	-0.65802	0	0	0	0	0	0	0	0	-1.5	4.95238	0	0	0	0	0	0	0	0	0	0	2.94552	0	-0.90833	0	0.85498	1.42105	0	-3.0	1.129243374032162
Latin	0	0	0	0	0	0	2.03776	-2.01303	0	0.97086	-0.5039	0	1.42271	-0.76642	0.28209	0	0.4	0	0	0	5.26045	0	0	0	4.75708	0	0	-0.54712	0	-3.19311	0.46148	0	0	1.29574	0	0	0	-0.1919	0	0	0	0	0	0	0	0	1.41072	4.60743	0	0	0	0	0	0	0	0	0	0	4.91565	2.19014	-2.11846	0	-0.27811	1.21843	0	-1.58749	0.7949887227388291
