name	aff	aff:aux	aff:case	aff:dep	aff:mark	aff:subj	appos	cc	clf	comp	comp:aux	comp:cleft	comp:obj	comp:obl	comp:pred	comp:svc	compound	compound:prt	compound:redup	compound:svc	conj	conj:appos	conj:coord	conj:dicto	conj:emb	conj:obj	conj:redup	det	det:num	discourse	dislocated	dislocated:obj	dislocated:subj	flat	flat:foreign	goeswith	list	mod	mod:appos	mod:aux	mod:emph	mod:focus	mod:num	mod:periph	mod:poss	mod:relcl	orphan	parataxis	parataxis:conj	parataxis:coord	parataxis:dicto	parataxis:discourse	parataxis:dislocated	parataxis:insert	parataxis:mod	parataxis:obj	parataxis:obl	parataxis:parenth	punct	reparandum	subj	subj:obj	udep	unk	unk:scrap	vocative	total
Afrikaans	0.0	0.0	0.0	0.0	0.0	0.0	0.00101	0.03033	0.0	0.23194	0.03892	0.0	0.1626	0.01904	0.01138	0.0	0.0052	0.0	0.0	0.0	0.0345	0.0	0.0	0.0	0.00827	0.0	0.0	0.09585	0.0	0.0	0.0	0.0	0.0	0.00371	0.0	0.0	0.0	0.10766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07223	0.0	0.05646	0.0	0.09305	0.02785	0.0	0.0	62288
Assyrian	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04655	0.0	0.26257	0.03538	0.0	0.1527	0.0149	0.05959	0.0	0.00745	0.0	0.0	0.0	0.04469	0.0	0.0	0.0	0.0	0.0	0.0	0.0298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12291	0.0	0.07821	0.0	0.05214	0.0	0.0	0.0	537
SouthLevantineArabic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01525	0.0	0.24946	0.02723	0.0	0.18845	0.0305	0.00327	0.0	0.0	0.0	0.0	0.0	0.01089	0.0	0.0	0.0	0.0	0.0	0.0	0.0207	0.0	0.01416	0.0	0.0	0.0	0.00654	0.0	0.0	0.0	0.16558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15033	0.0	0.04466	0.0	0.06427	0.00327	0.0	0.0	918
Akkadian	0.0	0.0	0.0	0.0	0.0	0.0	0.0729	0.02013	0.0	0.18746	0.0	0.0	0.18523	0.00205	0.00017	0.0	0.00024	0.0	0.0	0.0	0.1004	0.0	0.0	0.0	0.00136	0.0	0.0	0.07826	0.0	0.00031	0.0	0.0	0.0	0.00031	0.0	0.0	0.00097	0.19816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02013	0.0	0.11824	0.01144	0.0	0.00035	28764
Amharic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00755	9e-05	0.23332	0.02736	0.0	0.18236	0.00832	0.01527	0.0	0.00686	0.0	0.0	0.0	0.00412	0.0	0.0	0.0	0.00017	0.0	0.0	0.04092	0.0	0.01793	0.0	0.0	0.0	0.00034	0.0	0.00112	0.0	0.09135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09367	0.0	0.13476	0.0	0.03517	0.09882	0.0	0.0	11658
Apurinã	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01258	0.0	0.12421	0.00314	0.0	0.1195	0.0	0.00157	0.0	0.0	0.0	0.0	0.0	0.08648	0.0	0.0	0.0	0.00472	0.0	0.0	0.04245	0.0	0.0	0.00157	0.0	0.0	0.0	0.0	0.0	0.0	0.16352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21069	0.0	0.15723	0.0	0.06918	0.00314	0.0	0.0	636
Akuntsu	0.0	0.0	0.0	0.0	0.0	0.0	0.01644	0.0	0.0	0.14795	0.00274	0.0	0.13973	0.00548	0.0	0.0	0.0	0.0	0.0	0.0	0.01644	0.0	0.0	0.0	0.01096	0.0	0.0	0.0	0.0	0.04384	0.00274	0.0	0.0	0.0	0.0	0.0	0.0	0.2137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09863	0.0	0.16712	0.0	0.06575	0.01918	0.0	0.0	365
Arabic	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.04605	0.0	0.26868	0.00387	0.0	0.21347	0.04617	0.00517	0.0	0.00099	0.0	0.0	0.0	0.00995	0.0	0.0	0.0	0.00036	0.0	0.0	0.00478	0.0	4e-05	0.00015	0.0	0.0	0.01219	0.0	0.0	0.0	0.23871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016	0.00395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07204	0.0	0.03578	0.0	0.02702	0.00966	0.0	0.0	1386709
Belarusian	0.0	0.0	0.0	0.0	0.0	0.0	0.01811	0.02709	0.0	0.15966	0.0033	0.0	0.14186	0.00925	0.00524	0.0	0.00173	0.0	0.0	0.0	0.0408	0.0	0.0	0.0	0.00163	0.0	0.0	0.01722	0.0	0.00096	4e-05	0.0	0.0	0.01876	0.0	0.00023	0.00519	0.18524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00076	0.02044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17079	1e-05	0.06246	0.0	0.08676	0.02196	0.0	0.0005	333687
Beja	0.15101	0.01412	0.00798	0.0043	0.02762	0.09699	0.0	0.01535	0.0	0.1326	0.00982	0.0	0.09454	0.02087	0.00552	0.00184	0.00061	0.0	0.0	0.0	0.01719	0.00061	0.00982	0.0043	0.0	0.0	0.00246	0.07551	0.00061	0.01412	0.00368	0.00246	0.00061	0.0	0.0	0.0	0.0	0.07182	0.0	0.00061	0.0	0.00061	0.0	0.0	0.00982	0.01289	0.0	0.02947	0.0	0.00123	0.0	0.0	0.0	0.0	0.00061	0.0264	0.00061	0.0	0.10497	0.0	0.02394	0.00123	0.0	0.0	0.0	0.00123	1629
Bulgarian	0.0	0.0	0.0	0.0	0.0	0.0	0.00018	0.02555	0.0	0.23774	0.03269	0.0	0.17228	0.01993	0.01284	0.0	1e-05	0.0	0.0	0.0	0.02924	0.0	0.0	0.0	0.0007	0.0	0.0	0.01818	0.0	0.00363	0.0	0.0	0.0	0.0089	0.0	2e-05	0.0	0.14126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11584	0.0	0.06277	0.0	0.09395	0.02168	0.0	0.0003	190412
Bhojpuri	0.0	0.0	0.0	0.0	0.0	0.0	0.00013	0.00341	0.00038	0.2026	0.03943	0.0	0.15369	0.0067	0.00278	0.0	0.20437	0.0	0.0	0.0	0.01416	0.0	0.0	0.0	0.00013	0.0	0.0	0.02199	0.0	0.00101	0.0	0.0	0.0	0.00013	0.0	0.00013	0.00126	0.10566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08784	0.0	0.03665	0.0	0.11299	0.00455	0.0	0.0	7912
Bambara	0.0	0.0	0.0	0.0	0.0	0.0	0.00123	0.00387	0.0	0.25037	0.08178	0.0	0.15389	0.01441	0.00029	0.0	0.00439	0.0	0.0	0.0	0.00375	0.0	0.0	0.0	0.0	0.0	0.0	0.0297	0.0	0.04552	0.00281	0.0	0.0	0.00439	0.0	0.0	0.0	0.04997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00088	0.04429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11411	0.00029	0.10878	0.0	0.07645	0.0024	0.0	0.00644	17071
Breton	0.0	0.0	0.0	0.0	0.0	0.0	0.0032	0.01692	0.0	0.24694	0.09132	0.0	0.13025	0.00665	0.01872	0.0	0.00156	0.0	0.0	0.0	0.01946	0.0	0.0	0.0	0.00033	0.0	0.0	0.09904	0.0	0.00016	0.00025	0.0	0.0	0.00205	0.0	0.0	0.00016	0.1314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016	0.00304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09469	0.0	0.04738	0.0	0.06759	0.01856	0.0	0.00016	12177
Buryat	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.00764	0.0	0.10393	0.01655	0.0	0.07393	0.00542	0.00803	0.0	0.03368	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.00019	0.0	0.0	0.02216	0.0	0.03832	0.0	0.0	0.0	0.027	0.0	0.0	0.00126	0.33288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00068	0.02671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17883	0.0	0.07219	0.0	0.01355	0.00348	0.0	0.00058	10334
Catalan	0.0	0.0	0.0	0.0	0.0	0.0	0.01108	0.02124	0.0	0.23494	0.02467	0.0	0.19673	0.00573	0.00708	0.0	0.00484	0.0	0.0	0.0	0.0239	0.0	0.0	0.0	0.00049	0.0	0.0	0.12544	0.0	0.0	0.0	0.0	0.0	0.02604	0.0	0.0	0.0	0.0945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2e-05	0.00083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07716	0.0	0.04123	0.0	0.09069	0.01341	0.0	0.0	692482
