name	treeHeight	total
Afrikaans	9.39659	9.39659
Assyrian	3.80702	3.80702
SouthLevantineArabic	4.08	4.08
Akkadian	5.57043	5.57043
Amharic	4.36872	4.36872
Apurinã	3.32955	3.32955
Akuntsu	2.60396	2.60396
Arabic	10.62372	10.62372
Belarusian	4.89814	4.89814
Beja	6.23214	6.23214
Bulgarian	5.94011	5.94011
Bhojpuri	6.59664	6.59664
Bambara	5.33041	5.33041
Breton	5.27477	5.27477
Buryat	4.43042	4.43042
Catalan	9.34225	9.34225
Chukot	2.83865	2.83865
Coptic	8.67218	8.67218
Czech	6.24728	6.24728
OldChurchSlavonic	4.06138	4.06138
Welsh	8.10747	8.10747
Danish	6.69267	6.69267
German	6.21013	6.21013
Greek	7.84014	7.84014
English	6.33174	6.33174
Spanish	8.72141	8.72141
CentralSiberianYupik	3.3301	3.3301
Estonian	4.99617	4.99617
Basque	5.04381	5.04381
Persian	6.98852	6.98852
Finnish	4.60534	4.60534
Faroese	6.29339	6.29339
French	7.73451	7.73451
OldFrench	4.57637	4.57637
Irish	7.16153	7.16153
Gaelic	6.30516	6.30516
Galician	10.68035	10.68035
Gothic	4.52953	4.52953
AncientGreek	4.75957	4.75957
SwissGerman	5.8	5.8
Guajajára	3.15534	3.15534
MbyáGuaraní	4.36626	4.36626
Manx	4.27986	4.27986
Hebrew	8.0325	8.0325
Hindi	7.92027	7.92027
Croatian	7.55427	7.55427
UpperSorbian	6.10372	6.10372
Hungarian	6.12	6.12
Armenian	6.39888	6.39888
WesternArmenian	6.09663	6.09663
Indonesian	7.27745	7.27745
Icelandic	7.35104	7.35104
Italian	7.406	7.406
Japanese	7.47903	7.47903
Khunsari	3.8	3.8
Kazakh	4.2282	4.2282
Kurmanji	5.48011	5.48011
Korean	5.477	5.477
Komi-Permyak	4.01235	4.01235
Komi	4.29931	4.29931
Karelian	5.01754	5.01754
Latin	5.68581	5.68581
Lithuanian	6.3749	6.3749
Latvian	5.6793	5.6793
ClassicalChinese	3.07656	3.07656
Moksha	3.80831	3.80831
Makuráp	2.77419	2.77419
Marathi	3.79399	3.79399
Maltese	7.62874	7.62874
Mundurukú	3.11009	3.11009
Erzya	3.88343	3.88343
LowGerman	7.41667	7.41667
Dutch	5.88238	5.88238
Norwegian	6.19583	6.19583
Nayini	3.9	3.9
Livvi	4.848	4.848
OldEastSlavic	4.16284	4.16284
OldTurkish	4.5	4.5
Naija	5.41885	5.41885
Polish	5.05008	5.05008
Portuguese	8.11456	8.11456
FrisianDutch	4.61	4.61
HindiEnglish	5.85827	5.85827
TurkishGerman	4.97161	4.97161
K'iche'	3.67526	3.67526
Romanian	7.23809	7.23809
Russian	5.87705	5.87705
Sanskrit	3.63591	3.63591
Slovak	4.41409	4.41409
Slovenian	5.86637	5.86637
NorthSami	3.76714	3.76714
SkoltSami	4.60112	4.60112
Soi	3.375	3.375
Albanian	6.6	6.6
Serbian	7.88709	7.88709
Swedish	6.25242	6.25242
SwedishSign	4.34975	4.34975
Tamil	4.58025	4.58025
Telugu	2.63705	2.63705
Thai	8.274	8.274
Tagalog	4.23874	4.23874
Tupinambá	3.47619	3.47619
Turkish	3.80544	3.80544
Uyghur	4.39381	4.39381
Ukrainian	5.80269	5.80269
Urdu	8.62671	8.62671
UrubúKaapor	2.40984	2.40984
Vietnamese	5.309	5.309
Warlpiri	2.96364	2.96364
Wolof	7.78168	7.78168
Kangri	4.43403	4.43403
Yoruba	8.52516	8.52516
Cantonese	4.38645	4.38645
Chinese	6.38509	6.38509
