name	aff	aff:aux	aff:case	aff:dep	aff:mark	aff:subj	appos	cc	clf	comp	comp:aux	comp:cleft	comp:obj	comp:obl	comp:pred	comp:svc	compound	compound:prt	compound:redup	compound:svc	conj	conj:appos	conj:coord	conj:dicto	conj:emb	conj:obj	conj:redup	det	det:num	discourse	dislocated	dislocated:obj	dislocated:subj	flat	flat:foreign	goeswith	list	mod	mod:appos	mod:aux	mod:emph	mod:focus	mod:num	mod:periph	mod:poss	mod:relcl	orphan	parataxis	parataxis:conj	parataxis:coord	parataxis:dicto	parataxis:discourse	parataxis:dislocated	parataxis:insert	parataxis:mod	parataxis:obj	parataxis:obl	parataxis:parenth	punct	reparandum	subj	subj:obj	udep	unk	unk:scrap	vocative	total
Afrikaans	nan	nan	nan	nan	nan	nan	100.0	90.89465325569084	nan	68.3256039316121	59.98349834983498	nan	68.61176935229068	94.68802698145025	48.66008462623413	nan	37.03703703703704	nan	nan	nan	99.76733364355515	nan	nan	nan	100.0	nan	nan	0.06700167504187604	nan	nan	nan	nan	nan	100.0	nan	nan	nan	36.623918878616166	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	92.90953545232274	nan	12.340062553312482	nan	70.6176673567978	81.21037463976946	nan	nan	59.574877986128946
Assyrian	nan	nan	nan	nan	nan	nan	nan	28.0	nan	73.75886524822695	68.42105263157895	nan	93.90243902439025	100.0	18.75	nan	0.0	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	41.666666666666664	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	89.39393939393939	nan	4.761904761904762	nan	100.0	nan	nan	nan	65.17690875232775
SouthLevantineArabic	nan	nan	nan	nan	nan	nan	nan	28.571428571428573	nan	96.94323144104804	100.0	nan	97.10982658959537	96.42857142857143	66.66666666666667	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	5.2631578947368425	nan	30.76923076923077	nan	nan	nan	100.0	nan	nan	nan	85.52631578947368	nan	nan	nan	nan	nan	nan	nan	nan	nan	80.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	99.27536231884058	nan	46.34146341463415	nan	89.83050847457628	33.333333333333336	nan	nan	88.56209150326798
Akkadian	nan	nan	nan	nan	nan	nan	100.0	0.0	nan	65.93100890207715	nan	nan	66.19744744744744	47.45762711864407	0.0	nan	28.571428571428573	nan	nan	nan	100.0	nan	nan	nan	100.0	nan	nan	99.55575299866726	nan	0.0	nan	nan	nan	100.0	nan	nan	100.0	85.0701754385965	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.5906735751295336	nan	24.31637753601882	67.78115501519757	nan	0.0	70.85940759282437
Amharic	nan	nan	nan	nan	nan	nan	nan	79.54545454545455	0.0	36.98529411764706	7.210031347962382	nan	45.155221072436504	19.587628865979383	2.247191011235955	nan	2.5	nan	nan	nan	97.91666666666667	nan	nan	nan	100.0	nan	nan	84.90566037735849	nan	86.60287081339713	nan	nan	nan	100.0	nan	84.61538461538461	nan	22.15962441314554	nan	nan	nan	nan	nan	nan	nan	nan	nan	16.666666666666668	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	100.0	nan	38.44684914067473	nan	3.658536585365854	84.54861111111111	nan	nan	48.51604048721908
Apurinã	nan	nan	nan	nan	nan	nan	nan	0.0	nan	81.0126582278481	0.0	nan	84.21052631578948	nan	0.0	nan	nan	nan	nan	nan	100.0	nan	nan	nan	100.0	nan	nan	0.0	nan	nan	0.0	nan	nan	nan	nan	nan	nan	18.26923076923077	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	70.8955223880597	nan	20.0	nan	59.09090909090909	0.0	nan	nan	54.40251572327044
Akuntsu	nan	nan	nan	nan	nan	nan	100.0	nan	nan	7.407407407407407	0.0	nan	5.882352941176471	50.0	nan	nan	nan	nan	nan	nan	100.0	nan	nan	nan	100.0	nan	nan	nan	nan	81.25	0.0	nan	nan	nan	nan	nan	nan	28.205128205128204	nan	nan	nan	nan	nan	nan	nan	nan	nan	94.44444444444444	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	83.33333333333333	nan	21.311475409836067	nan	50.0	71.42857142857143	nan	nan	37.26027397260274
Arabic	nan	nan	nan	nan	nan	nan	100.0	4.899550600504204	nan	97.55975801559909	95.04655493482309	nan	97.48973056238684	99.23928833627517	87.34141921092987	nan	72.10834553440702	nan	nan	nan	99.98550829650026	nan	nan	nan	100.0	nan	nan	8.62614990197557	nan	42.10526315789474	1.9230769230769231	nan	nan	100.0	nan	100.0	nan	93.01216248059018	nan	nan	nan	nan	nan	nan	nan	nan	100.0	99.54346238130022	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	77.73439846237011	nan	69.88995928896772	nan	94.50657982542775	99.43983867353798	nan	100.0	89.32234520724968
Belarusian	nan	nan	nan	nan	nan	nan	99.98344918901026	0.34295829184644316	nan	92.47878969892635	83.9382940108893	nan	94.49702142042334	72.59475218658892	78.33047455688965	nan	0.3460207612456747	nan	nan	nan	99.97061848097546	nan	nan	nan	100.0	nan	nan	3.6199095022624435	nan	69.6875	15.384615384615385	nan	nan	99.85620706183096	nan	100.0	99.65357967667437	40.482430596000775	nan	nan	nan	nan	nan	nan	nan	nan	64.96062992125984	76.41882974043115	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	53.60144584232598	0.0	29.784579954900927	nan	75.02590673575129	58.02974484922909	nan	48.214285714285715	66.06820163806202
Beja	58.94308943089431	73.91304347826087	100.0	100.0	97.77777777777777	40.50632911392405	nan	96.0	nan	18.055555555555557	12.5	nan	23.376623376623378	2.9411764705882355	0.0	0.0	0.0	nan	nan	nan	25.0	100.0	0.0	85.71428571428571	nan	nan	0.0	34.959349593495936	0.0	30.434782608695652	83.33333333333333	100.0	100.0	nan	nan	nan	nan	31.623931623931625	nan	0.0	nan	0.0	nan	nan	100.0	33.333333333333336	nan	2.0833333333333335	nan	0.0	nan	nan	nan	nan	0.0	2.3255813953488373	0.0	nan	99.41520467836257	nan	5.128205128205129	50.0	nan	nan	nan	0.0	43.03253529772867
Bulgarian	nan	nan	nan	nan	nan	nan	100.0	0.08221993833504625	nan	93.69532561632941	96.67469879518072	nan	95.55237166199244	82.05533596837945	79.25531914893617	nan	100.0	nan	nan	nan	100.0	nan	nan	nan	100.0	nan	nan	41.85441941074524	nan	47.61215629522431	nan	nan	nan	100.0	nan	100.0	nan	29.296947614975647	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	61.19775138271829	nan	25.845046854082998	nan	86.80827277808832	29.33624031007752	nan	46.55172413793103	71.05224460643237
Bhojpuri	nan	nan	nan	nan	nan	nan	100.0	25.925925925925927	66.66666666666667	12.22707423580786	3.8461538461538463	nan	12.828947368421053	49.056603773584904	9.090909090909092	nan	4.638218923933209	nan	nan	nan	99.10714285714286	nan	nan	nan	100.0	nan	nan	1.7241379310344827	nan	0.0	nan	nan	nan	100.0	nan	100.0	90.0	4.0669856459330145	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	73.81294964028777	nan	3.103448275862069	nan	2.684563758389262	72.22222222222223	nan	nan	15.280586450960566
Bambara	nan	nan	nan	nan	nan	nan	100.0	1.5151515151515151	nan	52.64389330837623	99.2836676217765	nan	23.448800913589647	100.0	40.0	nan	100.0	nan	nan	nan	100.0	nan	nan	nan	nan	nan	nan	83.82642998027613	nan	32.3037323037323	12.5	nan	nan	100.0	nan	nan	nan	25.439624853458383	nan	nan	nan	nan	nan	nan	nan	nan	100.0	100.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	71.35523613963039	20.0	0.6462035541195477	nan	80.91954022988506	80.48780487804878	nan	30.0	52.316794563880265
