name	acl	acl:adv	acl:attr	acl:cleft	acl:inf	acl:relat	acl:relcl	acl:subj	acl:tmod	acl:tonp	advcl	advcl:abs	advcl:cau	advcl:cleft	advcl:cmp	advcl:cmpr	advcl:cond	advcl:coverb	advcl:eval	advcl:lcl	advcl:mcl	advcl:objective	advcl:pred	advcl:relcl	advcl:svc	advcl:tcl	advmod	advmod:adj	advmod:arg	advmod:cau	advmod:cmp	advmod:deg	advmod:det	advmod:df	advmod:dir	advmod:emph	advmod:eval	advmod:foc	advmod:freq	advmod:lfrom	advmod:lmod	advmod:loc	advmod:locy	advmod:lto	advmod:mmod	advmod:mode	advmod:neg	advmod:obl	advmod:que	advmod:tfrom	advmod:tlocy	advmod:tmod	advmod:to	advmod:tto	amod	amod:att	amod:attlvc	amod:flat	appos	appos:nmod	appos:trans	aux	aux:aspect	aux:caus	aux:clitic	aux:cnd	aux:ex	aux:exhort	aux:imp	aux:nec	aux:neg	aux:opt	aux:part	aux:pass	aux:pot	aux:q	aux:tense	case	case:acc	case:adv	case:det	case:gen	case:loc	case:pred	case:voc	cc	cc:nc	cc:preconj	ccomp	ccomp:cleft	ccomp:obj	ccomp:obl	ccomp:pmod	ccomp:pred	ccomp:relcl	ccomp:reported	clf	clf:det	compound	compound:a	compound:adj	compound:affix	compound:amod	compound:apr	compound:atov	compound:dir	compound:ext	compound:lvc	compound:nn	compound:preverb	compound:pron	compound:prt	compound:quant	compound:redup	compound:smixut	compound:svc	compound:verbnoun	compound:vmod	compound:vo	compound:vv	compound:z	conj	conj:expl	conj:extend	conj:svc	cop	cop:expl	cop:locat	cop:outer	cop:own	csubj	csubj:asubj	csubj:cleft	csubj:cop	csubj:outer	csubj:pass	csubj:relcl	csubj:reported	csubj:vsubj	dep	dep:agr	dep:alt	dep:ana	dep:aux	dep:comp	dep:conj	dep:cop	dep:der	dep:emo	dep:infl	dep:mark	dep:mod	dep:pos	dep:redup	dep:repeat	dep:ss	det	det:adj	det:noun	det:numgov	det:nummod	det:pmod	det:poss	det:predet	det:pron	det:rel	discourse	discourse:conn	discourse:emo	discourse:filler	discourse:intj	discourse:q	discourse:sp	dislocated	dislocated:advcl	dislocated:ccomp	dislocated:cleft	dislocated:csubj	dislocated:nsubj	dislocated:obj	dislocated:obl	dislocated:subj	expl	expl:comp	expl:impers	expl:pass	expl:poss	expl:pv	expl:subj	fixed	flat	flat:abs	flat:date	flat:dist	flat:foreign	flat:frac	flat:gov	flat:name	flat:num	flat:number	flat:range	flat:redup	flat:repeat	flat:sibl	flat:time	flat:title	flat:vv	goeswith	iobj	iobj:agent	iobj:appl	iobj:patient	list	mark	mark:adv	mark:advmod	mark:pcomp	mark:plur	mark:prt	mark:q	mark:rel	nmod	nmod:agent	nmod:appos	nmod:arg	nmod:att	nmod:attlvc	nmod:attr	nmod:bahuv	nmod:cau	nmod:comp	nmod:det	nmod:flat	nmod:gen	nmod:gobj	nmod:gsubj	nmod:lmod	nmod:npmod	nmod:obj	nmod:obl	nmod:part	nmod:poss	nmod:pred	nmod:prp	nmod:redup	nmod:relat	nmod:subj	nmod:tmod	nsubj	nsubj:advmod	nsubj:bfoc	nsubj:caus	nsubj:cleft	nsubj:cop	nsubj:ifoc	nsubj:lfoc	nsubj:lvc	nsubj:nc	nsubj:nn	nsubj:obj	nsubj:outer	nsubj:pass	nsubj:periph	nsubj:xsubj	nummod	nummod:det	nummod:entity	nummod:flat	nummod:gov	obj	obj:advmod	obj:advneg	obj:agent	obj:appl	obj:caus	obj:lvc	obj:obl	obj:periph	obl	obl:about	obl:adj	obl:adv	obl:advmod	obl:agent	obl:appl	obl:arg	obl:cau	obl:cmp	obl:cmpr	obl:comp	obl:dat	obl:freq	obl:inst	obl:iobj	obl:lmod	obl:lmp	obl:lto	obl:lvc	obl:mcl	obl:mod	obl:npmod	obl:obj	obl:orphan	obl:own	obl:patient	obl:pmod	obl:poss	obl:prep	obl:sentcon	obl:smod	obl:subj	obl:tmod	obl:with	orphan	orphan:missing	parataxis	parataxis:appos	parataxis:conj	parataxis:coord	parataxis:deletion	parataxis:discourse	parataxis:dislocated	parataxis:hashtag	parataxis:insert	parataxis:mod	parataxis:newsent	parataxis:nsubj	parataxis:obj	parataxis:parenth	parataxis:rel	parataxis:rep	parataxis:reporting	parataxis:restart	parataxis:rt	parataxis:sentence	parataxis:trans	parataxis:url	punct	reparandum	vocative	vocative:cl	vocative:mention	xcomp	xcomp:adj	xcomp:cleft	xcomp:ds	xcomp:obj	xcomp:pred	xcomp:relcl	xcomp:subj	xcomp:vcomp	total
Abaza	1.23077	nan	nan	nan	nan	nan	0	nan	nan	nan	2.71739	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.91667	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	0	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	2.18182	nan	nan	nan	nan	nan	nan	nan	5.25	nan	nan	3.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.31169	nan	nan	nan	1.0	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	2.8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.8	nan	1.42857	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.88889	nan	nan	nan	nan	nan	nan	1.8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.25	nan	nan	nan	nan	1.25	nan	nan	nan	nan	nan	nan	nan	1.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	1.95122	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	1.33333	nan	nan	nan	nan	1.80597	nan	nan	nan	nan	nan	nan	nan	nan	2.04688	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	1.55556	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	2.11111	3.0	nan	nan	2.08333	nan	nan	nan	nan	nan	nan	nan	nan	2.132979680851064
Afrikaans	0	nan	0	nan	nan	0	0	nan	nan	nan	0	nan	nan	nan	0	nan	nan	0	0	nan	nan	nan	nan	0	nan	0	3.49495	nan	nan	0	0	0	nan	0	nan	0	0	0	nan	nan	0	nan	nan	nan	0	nan	0	nan	nan	nan	nan	0	nan	nan	2.51079	nan	nan	nan	3.73016	nan	nan	3.30528	0	0	nan	0	0	0	0	0	0	0	nan	1.66199	nan	0	nan	2.491	nan	nan	nan	nan	0	nan	nan	2.35045	nan	0	7.14537	nan	nan	nan	nan	nan	nan	nan	0	0	3.46296	nan	nan	nan	nan	nan	nan	0	0	0	0	nan	nan	3.46296	0	0	0	0	nan	nan	0	0	nan	4.2322	nan	nan	nan	2.8437	nan	nan	nan	nan	5.66667	nan	nan	0	0	0	nan	nan	nan	6.63986	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	nan	1.31776	0	0	0	0	nan	0	0	0	0	0	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	nan	nan	0	nan	0	nan	1.5	1.48918	nan	nan	0	0	nan	nan	0	nan	nan	0	nan	nan	nan	nan	nan	0	0	3.08475	0	nan	nan	0	1.30667	0	nan	nan	nan	0	nan	0	3.04114	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	0	0	0	0	0	nan	nan	nan	0	nan	nan	nan	0	nan	0	5.68725	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	0	6.43275	0	nan	1.25	0	nan	nan	0	4.02959	nan	nan	0	nan	nan	nan	nan	0	5.29493	nan	nan	nan	nan	0	nan	0	0	0	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	0	0	nan	nan	0	0	nan	nan	nan	nan	nan	nan	0	nan	0	nan	0	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	0	nan	nan	0	nan	nan	nan	nan	nan	nan	2.78217	0	0	nan	nan	6.4411	nan	nan	0	nan	nan	nan	nan	nan	3.326512820392509
Assyrian	2.33333	nan	nan	nan	nan	nan	1.5	nan	nan	nan	4.54545	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.04545	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	0	nan	nan	1.15789	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	1.2093	nan	nan	nan	nan	nan	nan	nan	1.92	nan	nan	3.66667	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.41667	nan	nan	nan	1.28125	nan	nan	nan	nan	6.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0625	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	1.8	nan	nan	nan	nan	nan	nan	nan	2.05263	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	1.80488	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0	nan	nan	nan	nan	nan	nan	nan	1.79167	nan	nan	nan	nan	nan	nan	nan	nan	2.625	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	8.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.72727	nan	0	nan	nan	1.66667	nan	nan	nan	nan	nan	nan	nan	nan	2.437810199004975
SouthLevantineArabic	2.27273	nan	0	0	0	0	0	nan	nan	nan	3.52632	0	0	0	0	0	nan	0	0	0	0	nan	0	0	nan	0	2.0	nan	0	0	0	0	nan	0	nan	1.0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	0	1.10714	0	0	0	0	nan	nan	1.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1039	0	0	0	0	0	nan	0	1.28571	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	nan	0	nan	nan	nan	0	0	0	0	0	nan	0	0	0	0	0	nan	nan	0	0	nan	2.4	0	0	nan	0	0	0	0	0	0	nan	0	0	0	0	0	0	nan	4.5	0	nan	nan	nan	0	0	nan	nan	nan	nan	nan	0	nan	0	0	0	1.05263	0	0	0	0	nan	0	0	0	0	3.69231	0	0	0	0	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16667	nan	nan	0	1.16667	nan	0	0	0	nan	0	nan	nan	nan	nan	nan	0	0	2.0	0	nan	nan	0	1.31818	0	nan	nan	nan	0	0	0	1.56757	nan	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	nan	1.0	0	0	nan	0	0	0	1.775	nan	nan	0	0	0	nan	nan	0	nan	nan	0	0	0	0	nan	1.0	0	0	0	0	1.40323	0	0	0	nan	nan	0	nan	0	2.82258	nan	nan	nan	0	0	nan	2.4	0	0	0	nan	0	0	0	nan	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	nan	0	nan	8.0	0	0	0	0	0	0	0	0	0	nan	0	0	0	nan	0	0	0	0	0	nan	0	4.21014	0	0	nan	0	1.5	nan	0	0	0	0	0	0	nan	2.237704904371584
Akkadian	9.18217	nan	0	nan	nan	0	9.39676	nan	nan	nan	7.92982	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	0	nan	0	2.07277	nan	nan	nan	nan	nan	nan	0	nan	1.00521	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	0	nan	nan	2.00814	nan	nan	nan	9.12341	nan	nan	0	nan	nan	nan	nan	0	0	nan	nan	0	nan	nan	0	nan	nan	nan	1.00347	nan	nan	nan	nan	0	nan	nan	2.46303	nan	0	10.38462	nan	nan	nan	nan	nan	nan	nan	0	0	2.42857	nan	nan	nan	nan	nan	nan	0	0	0	nan	nan	nan	0	0	0	0	0	nan	nan	0	0	nan	6.3485	nan	nan	nan	14.25	nan	nan	nan	nan	5.8125	nan	nan	nan	0	0	nan	nan	nan	1.38033	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	nan	1.0221	0	0	0	0	nan	1.0	0	0	0	7.55556	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	nan	nan	0	nan	0	nan	1.45	1.11111	nan	nan	0	0	nan	nan	0	nan	nan	0	nan	nan	nan	nan	nan	0	0	7.26667	0	nan	nan	3.85714	5.67606	0	nan	nan	nan	0	nan	0	1.30126	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	nan	0	nan	nan	nan	1.02732	nan	nan	nan	0	nan	0	6.65217	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	0	0	0	nan	1.00923	0	nan	nan	0	5.00899	nan	nan	0	nan	nan	nan	nan	0	4.74972	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	0	0	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	0	nan	0	nan	5.66667	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	0	nan	nan	0	nan	nan	nan	nan	nan	nan	0	0	10.8	nan	nan	2.39344	nan	nan	nan	nan	nan	nan	nan	nan	3.2123259035299894
Gheg	4.33178	nan	0	nan	nan	0	0	nan	nan	nan	5.79487	nan	nan	0	0	nan	nan	0	0	nan	nan	nan	nan	0	nan	0	2.24763	nan	nan	0	0	0	nan	0	nan	0	0	0	nan	nan	0	nan	nan	nan	0	nan	0	nan	nan	nan	nan	0	nan	nan	1.62893	nan	nan	nan	4.0	nan	nan	1.19076	0	0	nan	0	0	0	0	0	0	0	1.4171	0	nan	0	0	1.33947	nan	nan	nan	nan	0	nan	nan	2.88825	nan	0	4.45494	nan	nan	nan	nan	nan	nan	nan	0	0	0	nan	nan	nan	nan	nan	nan	0	0	0	0	nan	nan	0	0	0	0	0	nan	nan	0	0	nan	6.3673	nan	nan	nan	2.07438	nan	nan	nan	0	8.0	nan	nan	0	0	0	nan	nan	nan	1.0	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	nan	1.14609	0	0	0	0	nan	0	0	0	0	3.26116	nan	nan	nan	nan	nan	0	3.5	nan	nan	nan	nan	nan	nan	nan	0	1.36	0	nan	0	nan	0	0	1.42609	1.0	nan	nan	0	0	nan	nan	0	nan	nan	0	nan	nan	nan	nan	nan	0	0	2.36327	0	nan	nan	2.33333	2.35714	0	nan	nan	nan	0	nan	0	2.39589	nan	0	nan	nan	nan	0	nan	nan	nan	nan	nan	0	0	0	0	0	nan	nan	nan	0	nan	nan	nan	0	nan	0	2.58196	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	10.0	0	0	nan	1.13514	0	nan	nan	0	1.67408	nan	nan	0	nan	nan	0	nan	0	3.19839	nan	nan	nan	nan	0	nan	0	0	0	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	0	0	nan	nan	0	0	nan	nan	nan	nan	nan	nan	0	nan	1.5	nan	9.52525	nan	nan	0	nan	nan	nan	nan	0	0	nan	nan	0	0	nan	0	nan	nan	nan	nan	nan	nan	11.72671	2.77528	0	nan	nan	3.95946	nan	nan	0	nan	nan	nan	nan	nan	3.0332226351307505
Amharic	3.125	nan	0	nan	nan	0	0	nan	nan	nan	4.10377	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	1.96552	nan	nan	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	0	nan	nan	1.5873	nan	nan	nan	0	nan	nan	1.94904	nan	nan	nan	nan	0	0	nan	nan	0	nan	nan	0	nan	nan	nan	1.47311	nan	nan	nan	nan	0	nan	nan	1.60465	nan	nan	3.32174	nan	nan	nan	nan	nan	nan	nan	1.0	nan	2.2625	nan	nan	nan	nan	nan	nan	0	0	0	nan	nan	nan	0	nan	0	nan	3.77143	nan	nan	0	0	nan	3.73469	nan	nan	nan	1.47059	nan	nan	nan	nan	2.65854	nan	nan	nan	nan	3.0	nan	nan	nan	5.0	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	nan	1.08159	0	0	nan	nan	nan	0	nan	0	nan	2.12381	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	0	1.61665	nan	nan	nan	nan	nan	nan	1.0	1.0	nan	nan	nan	0	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	2.5	0	nan	nan	0	1.83302	0	nan	nan	nan	nan	nan	0	1.40956	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	nan	0	nan	nan	nan	0	nan	nan	nan	0	nan	nan	2.04721	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	nan	2.04301	nan	nan	1.22857	0	nan	nan	nan	2.67764	nan	nan	0	nan	nan	nan	nan	0	2.68957	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	0	0	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	0	nan	0	nan	5.0	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	2.84263	0	0	nan	nan	2.63235	nan	nan	nan	nan	nan	nan	nan	nan	2.1235510546056258
Apurinã	1.22222	nan	nan	nan	nan	nan	1.25	nan	nan	nan	2.125	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.5	1.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.66667	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	2.14286	nan	nan	0	nan	nan	nan	0	nan	nan	1.0	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	0	nan	nan	nan	1.33333	nan	nan	nan	nan	nan	nan	nan	2.2	nan	nan	3.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	4.26667	nan	nan	nan	1.0	nan	nan	nan	nan	1.5	nan	nan	nan	nan	0	nan	nan	nan	1.33333	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	nan	1.08571	0	0	nan	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	3.0	nan	nan	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	3.0	2.0	nan	nan	nan	nan	nan	nan	nan	1.12121	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.14286	nan	nan	nan	nan	nan	nan	1.36765	nan	nan	nan	nan	1.75	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	1.08333	0	nan	nan	nan	1.31818	nan	nan	1.0	nan	nan	nan	nan	nan	1.9434	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	1.7037	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.625	nan	0	nan	0	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.2359	0	0	nan	nan	3.0	nan	nan	nan	nan	nan	nan	nan	nan	2.0865863292682927
Akuntsu	0	nan	nan	nan	nan	nan	0	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.25714	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	2.0	nan	nan	1.10526	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	2.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.25	nan	nan	nan	0	nan	nan	nan	nan	0	nan	nan	nan	nan	0	nan	nan	nan	1.1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	1.0	0	0	nan	nan	nan	nan	nan	0	nan	1.52459	nan	nan	nan	nan	nan	nan	1.375	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	1.12941	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	1.44	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	1.0	nan	nan	nan	nan	1.18803	nan	nan	nan	nan	nan	nan	nan	nan	1.41463	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	3.19697	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.57692	0	0	nan	nan	1.6	nan	nan	nan	nan	nan	nan	nan	nan	1.5093576945812808
Arabic	3.46787	0	0	0	0	0	3.64685	0	0	0	11.93734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.37246	0	0	0	0	0	0	0	0	2.95275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67891	0	0	0	3.42473	0	0	1.29562	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.12675	0	0	0	0	0	0	0	2.8999	0	2.0	9.54918	0	0	0	0	0	0	0	0	0	1.55385	0	0	0	0	0	0	0	0	0	0	0	0	2.69393	0	0	0	0	0	0	0	0	0	8.42472	0	0	0	3.42104	0	0	0	0	5.10184	0	0	0	0	5.875	0	0	0	9.37458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28206	0	0	0	0	0	0	0	0	0	5.85965	0	0	0	0	0	0	6.00957	0	0	0	0	0	0	0	0	1.875	0	0	0	0	0	0	1.14876	1.25466	0	0	0	1.19597	0	0	0	0	0	0	0	0	0	0	0	0	0	7.89375	0	0	0	0	2.61378	0	0	0	0	0	0	0	2.26515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06453	0	0	0	0	0	0	2.23533	0	0	0	0	0	0	0	0	0	0	0	0	2.14629	0	0	2.15197	0	0	0	0	3.57089	0	0	0	0	0	0	0	0	4.80072	0	0	0	0	0	0	3.62183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53147	0	24.01762	0	9.87747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.22894	0	7.0	0	0	5.55658	0	0	0	0	0	0	0	0	3.9110985725530427
