name	ADJ	ADP	ADV	AUX	CCONJ	DET	INTJ	NOUN	NUM	PART	PRON	PROPN	PUNCT	SCONJ	SYM	VERB	X	total
Abaza	0.03528	0.01687	0.06442	0.00613	0.00613	0.0138	nan	0.27301	0.03067	0.01227	0.12117	0.00153	nan	0.01074	nan	0.40798	nan	652
Afrikaans	0.06441	0.12761	0.04129	0.06384	0.0395	0.10844	nan	0.21232	0.00443	0.02905	0.07548	0.01198	0.09133	0.02091	0.01029	0.09024	0.00887	49260
Assyrian	0.07064	0.08389	0.03532	0.11258	0.05519	0.03532	nan	0.16115	nan	0.04194	0.09492	0.02649	0.1457	0.01104	nan	0.12583	nan	453
SouthLevantineArabic	0.0583	0.10773	0.03929	0.03169	0.03042	0.03169	0.01648	0.22687	0.02281	0.00507	0.08112	0.02155	0.1749	0.00253	nan	0.14829	0.00127	789
Akkadian	0.04095	0.1312	0.00788	nan	0.02259	0.00664	nan	0.37685	0.0136	0.02103	0.11289	0.13072	nan	0.00284	nan	0.13144	0.00136	25007
Gheg	0.01476	0.06173	0.07824	0.07217	0.06648	0.0469	0.02996	0.15466	0.02014	0.03152	0.18124	nan	0.06041	0.01401	nan	0.1676	0.00019	15990
Amharic	0.01159	0.06803	0.00939	0.04186	0.00999	0.04815	0.00659	0.14845	0.004	0.08681	0.25475	0.02358	0.10919	0.02128	nan	0.15514	0.0012	10010
Apurinã	0.00462	0.00347	0.0578	0.00578	0.00925	0.01618	nan	0.30636	0.01387	0.01503	0.10405	0.00116	0.22543	0.00347	nan	0.23006	0.00347	865
Akuntsu	0.00378	0.01586	0.04683	0.01511	nan	0.03097	0.00529	0.29532	0.01208	0.0423	0.06949	0.03701	0.21601	nan	nan	0.20997	nan	1324
Arabic	0.09667	0.13231	0.02453	0.01104	0.06679	0.01192	6e-05	0.30823	0.02256	0.00508	0.05342	0.057	0.09591	0.02136	0.0004	0.07535	0.01737	1042020
Karo	0.10263	0.03579	0.04226	0.07503	nan	nan	nan	0.2445	0.00172	0.12893	0.1285	0.00474	0.00129	0.01035	nan	0.22208	0.00216	2319
Belarusian	0.08781	0.09719	0.03616	0.00683	0.02947	0.02204	0.00031	0.23771	0.01914	0.016	0.03381	0.06716	0.18667	0.01115	0.00853	0.1026	0.03743	305409
Beja	0.00817	0.02917	0.021	0.03267	0.02917	0.14352	0.007	0.15169	0.00117	0.02217	0.09218	0.00233	0.1972	0.05951	nan	0.19953	0.0035	857
Bulgarian	0.08704	0.14151	0.042	0.0585	0.03113	0.01558	0.00018	0.21871	0.01348	0.01388	0.06464	0.05402	0.14127	0.01029	nan	0.10777	1e-05	156149
Bhojpuri	0.03751	0.14839	0.0048	0.05326	0.02266	0.05296	0.00075	0.27817	0.02236	0.02881	0.05026	0.06287	0.10428	0.0177	nan	0.11508	0.00015	6665
Bambara	0.00499	0.07473	0.01317	0.10135	0.00485	0.03646	0.0162	0.1551	0.00666	0.04912	0.18129	0.02112	0.14092	0.01324	nan	0.18071	7e-05	13823
Bengali	0.04063	0.00625	0.04063	0.01875	nan	0.04375	0.01875	0.19375	0.00625	0.02813	0.15313	0.0125	0.22812	0.00625	nan	0.20312	nan	320
Breton	0.04325	0.10977	0.05489	0.13245	0.02048	0.11992	0.0002	0.19787	0.02317	0.0002	0.02376	0.03063	0.11465	0.00388	0.0002	0.10958	0.01511	10057
Buryat	0.07992	0.01777	0.07619	0.01895	0.00815	0.01492	0.00059	0.30555	0.02189	0.02396	0.02828	0.06961	0.18154	0.00216	0.00029	0.15022	nan	10185
Catalan	0.05439	0.15908	0.02799	0.03987	0.02721	0.15779	3e-05	0.17848	0.0167	0.00027	0.05394	0.08438	0.10355	0.01908	0.00147	0.07576	1e-05	553042
Cebuano	0.02625	0.14826	0.05714	nan	0.00695	0.00849	0.00232	0.12432	0.00927	0.12432	0.13977	0.04402	0.15907	0.01313	nan	0.13668	nan	1295
Chukot	0.01658	0.0037	0.12768	0.02157	0.01803	0.00708	0.00564	0.14507	0.00322	0.13782	0.06344	0.03365	0.16165	0.00048	nan	0.19321	0.06118	6211
Coptic	0.00068	0.14684	0.03948	0.06117	0.02358	0.1287	nan	0.14064	0.00505	0.03523	0.16415	0.01312	0.06291	0.05856	nan	0.11896	0.00093	55858
Czech	0.12745	0.09559	0.05435	0.03219	0.04106	0.03889	0.00011	0.24822	0.02295	0.007	0.03423	0.04372	0.14403	0.01856	0.00224	0.08841	0.001	2223234
OldChurchSlavonic	0.09183	0.08122	0.1042	0.03613	0.08544	0.01383	0.00556	0.16729	0.01166	nan	0.12993	0.02726	nan	0.02489	nan	0.22059	0.00017	57563
Welsh	0.06845	0.13398	0.02337	0.05887	0.02949	0.06287	nan	0.30431	0.01317	0.04292	0.06711	0.03954	0.09258	0.00478	0.00072	0.05784	nan	48530
Danish	0.06511	0.11661	0.08011	0.04696	0.03358	0.05464	0.00093	0.1859	0.01494	0.01206	0.0715	0.04942	0.13835	0.01777	0.00054	0.10819	0.00341	100733
German	0.07723	0.11089	0.05614	0.04386	0.02809	0.13276	2e-05	0.20811	0.02076	0.01012	0.0378	0.05938	0.11625	0.0084	3e-05	0.07594	0.01421	3810124
Greek	0.07755	0.08386	0.04374	0.04759	0.0323	0.18148	nan	0.21379	0.01545	0.0061	0.0457	0.02855	0.0996	0.01642	5e-05	0.09248	0.01535	63441
Emerillon	nan	0.02545	0.09382	0.04	0.00364	0.04291	0.00073	0.38982	0.01455	0.008	0.03055	0.02618	0.07345	0.00073	nan	0.24655	0.00364	1375
English	0.06299	0.10395	0.04643	0.05688	0.03087	0.08704	0.00359	0.17406	0.01622	0.02589	0.08554	0.06593	0.10949	0.01708	0.00174	0.11027	0.00203	762010
Spanish	0.06149	0.15934	0.0305	0.02516	0.02886	0.14514	0.00021	0.17888	0.01979	0.00019	0.048	0.08116	0.11288	0.02041	0.00202	0.08409	0.00186	1022766
Yupik	nan	nan	0.02531	nan	0.00156	0.00195	nan	0.18925	0.00039	0.00623	0.00896	nan	0.12072	nan	nan	0.21651	0.42913	2568
Estonian	0.07949	0.02021	0.10338	0.05364	0.0369	0.01713	0.00147	0.25269	0.01987	nan	0.05605	0.05745	0.16334	0.02158	0.00196	0.11243	0.00241	528939
