name	acl	acl:adv	acl:attr	acl:cleft	acl:inf	acl:relat	acl:relcl	acl:subj	acl:tmod	acl:tonp	advcl	advcl:abs	advcl:cau	advcl:cleft	advcl:cmp	advcl:cmpr	advcl:cond	advcl:coverb	advcl:eval	advcl:lcl	advcl:mcl	advcl:objective	advcl:pred	advcl:relcl	advcl:svc	advcl:tcl	advmod	advmod:adj	advmod:arg	advmod:cau	advmod:cmp	advmod:deg	advmod:det	advmod:df	advmod:dir	advmod:emph	advmod:eval	advmod:foc	advmod:freq	advmod:lfrom	advmod:lmod	advmod:loc	advmod:locy	advmod:lto	advmod:mmod	advmod:mode	advmod:neg	advmod:obl	advmod:que	advmod:tfrom	advmod:tlocy	advmod:tmod	advmod:to	advmod:tto	amod	amod:att	amod:attlvc	amod:flat	appos	appos:nmod	appos:trans	aux	aux:aspect	aux:caus	aux:clitic	aux:cnd	aux:ex	aux:exhort	aux:imp	aux:nec	aux:neg	aux:opt	aux:part	aux:pass	aux:pot	aux:q	aux:tense	case	case:acc	case:adv	case:det	case:gen	case:loc	case:pred	case:voc	cc	cc:nc	cc:preconj	ccomp	ccomp:cleft	ccomp:obj	ccomp:obl	ccomp:pmod	ccomp:pred	ccomp:relcl	ccomp:reported	clf	clf:det	compound	compound:a	compound:adj	compound:affix	compound:amod	compound:apr	compound:atov	compound:dir	compound:ext	compound:lvc	compound:nn	compound:preverb	compound:pron	compound:prt	compound:quant	compound:redup	compound:smixut	compound:svc	compound:verbnoun	compound:vmod	compound:vo	compound:vv	compound:z	conj	conj:expl	conj:extend	conj:svc	cop	cop:expl	cop:locat	cop:outer	cop:own	csubj	csubj:asubj	csubj:cleft	csubj:cop	csubj:outer	csubj:pass	csubj:relcl	csubj:reported	csubj:vsubj	dep	dep:agr	dep:alt	dep:ana	dep:aux	dep:comp	dep:conj	dep:cop	dep:der	dep:emo	dep:infl	dep:mark	dep:mod	dep:pos	dep:redup	dep:repeat	dep:ss	det	det:adj	det:noun	det:numgov	det:nummod	det:pmod	det:poss	det:predet	det:pron	det:rel	discourse	discourse:conn	discourse:emo	discourse:filler	discourse:intj	discourse:q	discourse:sp	dislocated	dislocated:advcl	dislocated:ccomp	dislocated:cleft	dislocated:csubj	dislocated:nsubj	dislocated:obj	dislocated:obl	dislocated:subj	expl	expl:comp	expl:impers	expl:pass	expl:poss	expl:pv	expl:subj	fixed	flat	flat:abs	flat:date	flat:dist	flat:foreign	flat:frac	flat:gov	flat:name	flat:num	flat:number	flat:range	flat:redup	flat:repeat	flat:sibl	flat:time	flat:title	flat:vv	goeswith	iobj	iobj:agent	iobj:appl	iobj:patient	list	mark	mark:adv	mark:advmod	mark:pcomp	mark:plur	mark:prt	mark:q	mark:rel	nmod	nmod:agent	nmod:appos	nmod:arg	nmod:att	nmod:attlvc	nmod:attr	nmod:bahuv	nmod:cau	nmod:comp	nmod:det	nmod:flat	nmod:gen	nmod:gobj	nmod:gsubj	nmod:lmod	nmod:npmod	nmod:obj	nmod:obl	nmod:part	nmod:poss	nmod:pred	nmod:prp	nmod:redup	nmod:relat	nmod:subj	nmod:tmod	nsubj	nsubj:advmod	nsubj:bfoc	nsubj:caus	nsubj:cleft	nsubj:cop	nsubj:ifoc	nsubj:lfoc	nsubj:lvc	nsubj:nc	nsubj:nn	nsubj:obj	nsubj:outer	nsubj:pass	nsubj:periph	nsubj:xsubj	nummod	nummod:det	nummod:entity	nummod:flat	nummod:gov	obj	obj:advmod	obj:advneg	obj:agent	obj:appl	obj:caus	obj:lvc	obj:obl	obj:periph	obl	obl:about	obl:adj	obl:adv	obl:advmod	obl:agent	obl:appl	obl:arg	obl:cau	obl:cmp	obl:cmpr	obl:comp	obl:dat	obl:freq	obl:inst	obl:iobj	obl:lmod	obl:lmp	obl:lto	obl:lvc	obl:mcl	obl:mod	obl:npmod	obl:obj	obl:orphan	obl:own	obl:patient	obl:pmod	obl:poss	obl:prep	obl:sentcon	obl:smod	obl:subj	obl:tmod	obl:with	orphan	orphan:missing	parataxis	parataxis:appos	parataxis:conj	parataxis:coord	parataxis:deletion	parataxis:discourse	parataxis:dislocated	parataxis:hashtag	parataxis:insert	parataxis:mod	parataxis:newsent	parataxis:nsubj	parataxis:obj	parataxis:parenth	parataxis:rel	parataxis:rep	parataxis:reporting	parataxis:restart	parataxis:rt	parataxis:sentence	parataxis:trans	parataxis:url	punct	reparandum	vocative	vocative:cl	vocative:mention	xcomp	xcomp:adj	xcomp:cleft	xcomp:ds	xcomp:obj	xcomp:pred	xcomp:relcl	xcomp:subj	xcomp:vcomp	total
Abaza	0.30769	nan	nan	nan	nan	nan	0	nan	nan	nan	-2.32609	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.63889	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	0.28571	nan	nan	nan	0	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	2.18182	nan	nan	nan	nan	nan	nan	nan	-5.25	nan	nan	-1.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.31169	nan	nan	nan	1.0	nan	nan	nan	nan	-0.5	nan	nan	nan	nan	nan	nan	nan	nan	2.8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.8	nan	-0.85714	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.66667	nan	nan	nan	nan	nan	nan	-1.4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.125	nan	nan	nan	nan	1.25	nan	nan	nan	nan	nan	nan	nan	-1.25	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	-1.58537	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	-0.66667	nan	nan	nan	nan	-1.50746	nan	nan	nan	nan	nan	nan	nan	nan	-1.76562	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	1.55556	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	-2.11111	-3.0	nan	nan	0.25	nan	nan	nan	nan	nan	nan	nan	nan	-0.4556736524822695
Afrikaans	0	nan	0	nan	nan	0	0	nan	nan	nan	0	nan	nan	nan	0	nan	nan	0	0	nan	nan	nan	nan	0	nan	0	-2.11223	nan	nan	0	0	0	nan	0	nan	0	0	0	nan	nan	0	nan	nan	nan	0	nan	0	nan	nan	nan	nan	0	nan	nan	-1.25191	nan	nan	nan	3.73016	nan	nan	-2.25908	0	0	nan	0	0	0	0	0	0	0	nan	0.31696	nan	0	nan	-2.4257	nan	nan	nan	nan	0	nan	nan	1.89095	nan	0	6.69824	nan	nan	nan	nan	nan	nan	nan	0	0	0.95062	nan	nan	nan	nan	nan	nan	0	0	0	0	nan	nan	0.95062	0	0	0	0	nan	nan	0	0	nan	4.2322	nan	nan	nan	-0.38543	nan	nan	nan	nan	-5.0	nan	nan	0	0	0	nan	nan	nan	3.79371	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	nan	-1.31675	0	0	0	0	nan	0	0	0	0	0	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	nan	nan	0	nan	0	nan	1.5	1.48918	nan	nan	0	0	nan	nan	0	nan	nan	0	nan	nan	nan	nan	nan	0	0	0.0	0	nan	nan	0	-0.56952	0	nan	nan	nan	0	nan	0	2.48011	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	0	0	0	0	0	nan	nan	nan	0	nan	nan	nan	0	nan	0	-5.57911	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	0	-6.43275	0	nan	-1.25	0	nan	nan	0	-2.74038	nan	nan	0	nan	nan	nan	nan	0	0.81398	nan	nan	nan	nan	0	nan	0	0	0	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	0	0	nan	nan	0	0	nan	nan	nan	nan	nan	nan	0	nan	0	nan	0	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	0	nan	nan	0	nan	nan	nan	nan	nan	nan	2.53323	0	0	nan	nan	6.07397	nan	nan	0	nan	nan	nan	nan	nan	-0.38820257089232524
Assyrian	2.33333	nan	nan	nan	nan	nan	1.5	nan	nan	nan	-1.63636	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.59091	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	0	nan	nan	-0.52632	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	-1.2093	nan	nan	nan	nan	nan	nan	nan	-0.72	nan	nan	3.66667	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.41667	nan	nan	nan	0.65625	nan	nan	nan	nan	-6.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.0625	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	-1.8	nan	nan	nan	nan	nan	nan	nan	1.94737	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	-1.60976	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0	nan	nan	nan	nan	nan	nan	nan	1.20833	nan	nan	nan	nan	nan	nan	nan	nan	2.625	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	8.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.12121	nan	0	nan	nan	1.66667	nan	nan	nan	nan	nan	nan	nan	nan	0.8059696019900495
SouthLevantineArabic	2.27273	nan	0	0	0	0	0	nan	nan	nan	2.68421	0	0	0	0	0	nan	0	0	0	0	nan	0	0	nan	0	1.04348	nan	0	0	0	0	nan	0	nan	-1.0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	0	1.03571	0	0	0	0	nan	nan	-1.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.02597	0	0	0	0	0	nan	0	-0.28571	0	0	1.28571	0	0	0	0	0	0	0	0	0	0	0	nan	0	nan	nan	nan	0	0	0	0	0	nan	0	0	0	0	0	nan	nan	0	0	nan	2.4	0	0	nan	0	0	0	0	0	0	nan	0	0	0	0	0	0	nan	-4.5	0	nan	nan	nan	0	0	nan	nan	nan	nan	nan	0	nan	0	0	0	-0.84211	0	0	0	0	nan	0	0	0	0	-0.61538	0	0	0	0	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16667	nan	nan	0	1.16667	nan	0	0	0	nan	0	nan	nan	nan	nan	nan	0	0	2.0	0	nan	nan	0	-1.31818	0	nan	nan	nan	0	0	0	1.45946	nan	0	0	0	0	0	0	nan	nan	0	0	0	0	0	0	0	0	0	nan	1.0	0	0	nan	0	0	0	-0.175	nan	nan	0	0	0	nan	nan	0	nan	nan	0	0	0	0	nan	0.57143	0	0	0	0	1.24194	0	0	0	nan	nan	0	nan	0	2.46774	nan	nan	nan	0	0	nan	2.4	0	0	0	nan	0	0	0	nan	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0	nan	0	nan	4.4	0	0	0	0	0	0	0	0	0	nan	0	0	0	nan	0	0	0	0	0	nan	0	4.18116	0	0	nan	0	1.25	nan	0	0	0	0	0	0	nan	1.4071046448087432
Akkadian	9.17442	nan	0	nan	nan	0	9.39676	nan	nan	nan	-6.84211	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	0	nan	0	-1.95634	nan	nan	nan	nan	nan	nan	0	nan	-0.99479	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	0	nan	nan	1.90868	nan	nan	nan	9.12341	nan	nan	0	nan	nan	nan	nan	0	0	nan	nan	0	nan	nan	0	nan	nan	nan	-1.00221	nan	nan	nan	nan	0	nan	nan	-2.46303	nan	0	-7.53846	nan	nan	nan	nan	nan	nan	nan	0	0	-1.85714	nan	nan	nan	nan	nan	nan	0	0	0	nan	nan	nan	0	0	0	0	0	nan	nan	0	0	nan	6.3485	nan	nan	nan	14.25	nan	nan	nan	nan	-5.8125	nan	nan	nan	0	0	nan	nan	nan	0.56721	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	nan	1.01218	0	0	0	0	nan	1.0	0	0	0	-7.55556	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	nan	nan	0	nan	0	nan	1.45	1.11111	nan	nan	0	0	nan	nan	0	nan	nan	0	nan	nan	nan	nan	nan	0	0	-6.46667	0	nan	nan	3.85714	-5.67606	0	nan	nan	nan	0	nan	0	1.27517	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	nan	0	nan	nan	nan	1.02211	nan	nan	nan	0	nan	0	-6.55797	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	0	0	0	nan	-0.75692	0	nan	nan	0	-4.74239	nan	nan	0	nan	nan	nan	nan	0	-4.54623	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	0	0	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	0	nan	0	nan	5.66667	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	0	nan	nan	0	nan	nan	nan	nan	nan	nan	0	0	-10.8	nan	nan	-0.06557	nan	nan	nan	nan	nan	nan	nan	nan	0.8481091376590597
Gheg	4.24766	nan	0	nan	nan	0	0	nan	nan	nan	3.33333	nan	nan	0	0	nan	nan	0	0	nan	nan	nan	nan	0	nan	0	-1.44164	nan	nan	0	0	0	nan	0	nan	0	0	0	nan	nan	0	nan	nan	nan	0	nan	0	nan	nan	nan	nan	0	nan	nan	1.37736	nan	nan	nan	4.0	nan	nan	-1.16667	0	0	nan	0	0	0	0	0	0	0	-1.35492	0	nan	0	0	-1.32311	nan	nan	nan	nan	0	nan	nan	-2.88634	nan	0	4.09442	nan	nan	nan	nan	nan	nan	nan	0	0	0	nan	nan	nan	nan	nan	nan	0	0	0	0	nan	nan	0	0	0	0	0	nan	nan	0	0	nan	6.3673	nan	nan	nan	-2.00826	nan	nan	nan	0	-8.0	nan	nan	0	0	0	nan	nan	nan	1.0	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	nan	-1.12891	0	0	0	0	nan	0	0	0	0	-1.70083	nan	nan	nan	nan	nan	0	-3.5	nan	nan	nan	nan	nan	nan	nan	0	-1.36	0	nan	0	nan	0	0	1.42609	1.0	nan	nan	0	0	nan	nan	0	nan	nan	0	nan	nan	nan	nan	nan	0	0	-1.27755	0	nan	nan	2.33333	-2.34286	0	nan	nan	nan	0	nan	0	2.19023	nan	0	nan	nan	nan	0	nan	nan	nan	nan	nan	0	0	0	0	0	nan	nan	nan	0	nan	nan	nan	0	nan	0	-1.48206	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	-10.0	0	0	nan	-0.99614	0	nan	nan	0	0.48297	nan	nan	0	nan	nan	0	nan	0	1.51206	nan	nan	nan	nan	0	nan	0	0	0	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	0	0	nan	nan	0	0	nan	nan	nan	nan	nan	nan	0	nan	1.5	nan	9.10101	nan	nan	0	nan	nan	nan	nan	0	0	nan	nan	0	0	nan	0	nan	nan	nan	nan	nan	nan	11.72671	-2.7603	0	nan	nan	3.08559	nan	nan	0	nan	nan	nan	nan	nan	0.5190433917331777
Amharic	-2.71591	nan	0	nan	nan	0	0	nan	nan	nan	-3.89623	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	-1.6069	nan	nan	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	0	nan	nan	-1.2381	nan	nan	nan	0	nan	nan	1.63694	nan	nan	nan	nan	0	0	nan	nan	0	nan	nan	0	nan	nan	nan	0.41493	nan	nan	nan	nan	0	nan	nan	1.09302	nan	nan	-2.74783	nan	nan	nan	nan	nan	nan	nan	-1.0	nan	-2.2125	nan	nan	nan	nan	nan	nan	0	0	0	nan	nan	nan	0	nan	0	nan	-3.77143	nan	nan	0	0	nan	3.73469	nan	nan	nan	1.43137	nan	nan	nan	nan	-2.56098	nan	nan	nan	nan	-3.0	nan	nan	nan	5.0	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	nan	0.66736	0	0	nan	nan	nan	0	nan	0	nan	1.35238	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	0	1.26453	nan	nan	nan	nan	nan	nan	1.0	1.0	nan	nan	nan	0	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	-1.1	0	nan	nan	0	-1.2296	0	nan	nan	nan	nan	nan	0	0.16041	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	nan	0	nan	nan	nan	0	nan	nan	nan	0	nan	nan	-1.0177	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	nan	-1.48387	nan	nan	-1.22857	0	nan	nan	nan	-2.20277	nan	nan	0	nan	nan	nan	nan	0	-2.43003	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	0	0	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	0	nan	0	nan	-1.28571	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	2.84263	0	0	nan	nan	-2.52941	nan	nan	nan	nan	nan	nan	nan	nan	-0.13127404522890232
Apurinã	0.55556	nan	nan	nan	nan	nan	1.25	nan	nan	nan	-0.125	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2.5	-1.15517	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.33333	nan	nan	nan	nan	nan	-1.0	nan	nan	nan	nan	-2.14286	nan	nan	0	nan	nan	nan	0	nan	nan	0.0	nan	nan	nan	nan	nan	-1.0	nan	nan	nan	nan	nan	0	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	-2.2	nan	nan	3.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.0	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	4.26667	nan	nan	nan	1.0	nan	nan	nan	nan	0.5	nan	nan	nan	nan	0	nan	nan	nan	-1.33333	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	0	0	nan	-1.02857	0	0	nan	nan	nan	nan	nan	0	nan	0	nan	nan	nan	nan	nan	nan	-3.0	nan	nan	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.0	nan	nan	nan	3.0	-2.0	nan	nan	nan	nan	nan	nan	nan	-0.63636	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.14286	nan	nan	nan	nan	nan	nan	-0.67647	nan	nan	nan	nan	-1.75	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	-1.08333	0	nan	nan	nan	1.0	nan	nan	1.0	nan	nan	nan	nan	nan	0.4717	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0.44444	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.625	nan	0	nan	0	nan	nan	0	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.14872	0	0	nan	nan	3.0	nan	nan	nan	nan	nan	nan	nan	nan	0.6085378658536585
Akuntsu	0	nan	nan	nan	nan	nan	0	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.11429	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	0.33333	nan	nan	nan	2.0	nan	nan	0.78947	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	0.71429	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	1.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.25	nan	nan	nan	0	nan	nan	nan	nan	0	nan	nan	nan	nan	0	nan	nan	nan	0.1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	0.14286	0	0	nan	nan	nan	nan	nan	0	nan	0.63934	nan	nan	nan	nan	nan	nan	-0.125	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	0	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	-0.77647	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	-1.01714	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	-0.42857	nan	nan	nan	nan	-0.96581	nan	nan	nan	nan	nan	nan	nan	nan	-0.19512	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	2.89394	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.5	0	0	nan	nan	1.6	nan	nan	nan	nan	nan	nan	nan	nan	0.3743852413793104
Arabic	3.42731	0	0	0	0	0	3.63417	0	0	0	9.11487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80388	0	0	0	0	0	0	0	0	-1.50048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64222	0	0	0	3.42473	0	0	-1.17297	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	-1.08553	0	0	0	0	0	0	0	-0.41092	0	-2.0	9.32294	0	0	0	0	0	0	0	0	0	0.06081	0	0	0	0	0	0	0	0	0	0	0	0	-2.67282	0	0	0	0	0	0	0	0	0	8.42472	0	0	0	-1.23251	0	0	0	0	4.98831	0	0	0	0	5.875	0	0	0	9.18785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.60856	0	0	0	0	0	0	0	0	0	-0.17544	0	0	0	0	0	0	-6.00957	0	0	0	0	0	0	0	0	-1.875	0	0	0	0	0	0	1.14876	1.25466	0	0	0	1.19597	0	0	0	0	0	0	0	0	0	0	0	0	0	7.85693	0	0	0	0	-2.11911	0	0	0	0	0	0	0	2.06787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06321	0	0	0	0	0	0	0.11204	0	0	0	0	0	0	0	0	0	0	0	0	-0.30349	0	0	0.81307	0	0	0	0	3.35364	0	0	0	0	0	0	0	0	4.17784	0	0	0	0	0	0	3.56027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56643	0	24.0	0	9.79346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.40541	0	7.0	0	0	5.47253	0	0	0	0	0	0	0	0	2.9726400377946525
