name	acl	acl:adv	acl:attr	acl:cleft	acl:inf	acl:relat	acl:relcl	acl:subj	acl:tmod	acl:tonp	advcl	advcl:abs	advcl:cau	advcl:cleft	advcl:cmp	advcl:cmpr	advcl:cond	advcl:coverb	advcl:eval	advcl:lcl	advcl:mcl	advcl:objective	advcl:pred	advcl:relcl	advcl:svc	advcl:tcl	advmod	advmod:adj	advmod:arg	advmod:cau	advmod:cmp	advmod:deg	advmod:det	advmod:df	advmod:dir	advmod:emph	advmod:eval	advmod:foc	advmod:freq	advmod:lfrom	advmod:lmod	advmod:loc	advmod:locy	advmod:lto	advmod:mmod	advmod:mode	advmod:neg	advmod:obl	advmod:que	advmod:tfrom	advmod:tlocy	advmod:tmod	advmod:to	advmod:tto	amod	amod:att	amod:attlvc	amod:flat	appos	appos:nmod	appos:trans	aux	aux:aspect	aux:caus	aux:clitic	aux:cnd	aux:ex	aux:exhort	aux:imp	aux:nec	aux:neg	aux:opt	aux:part	aux:pass	aux:pot	aux:q	aux:tense	case	case:acc	case:adv	case:det	case:gen	case:loc	case:pred	case:voc	cc	cc:nc	cc:preconj	ccomp	ccomp:cleft	ccomp:obj	ccomp:obl	ccomp:pmod	ccomp:pred	ccomp:relcl	ccomp:reported	clf	clf:det	compound	compound:a	compound:adj	compound:affix	compound:amod	compound:apr	compound:atov	compound:dir	compound:ext	compound:lvc	compound:nn	compound:preverb	compound:pron	compound:prt	compound:quant	compound:redup	compound:smixut	compound:svc	compound:verbnoun	compound:vmod	compound:vo	compound:vv	compound:z	conj	conj:expl	conj:extend	conj:svc	cop	cop:expl	cop:locat	cop:outer	cop:own	csubj	csubj:asubj	csubj:cleft	csubj:cop	csubj:outer	csubj:pass	csubj:relcl	csubj:reported	csubj:vsubj	dep	dep:agr	dep:alt	dep:ana	dep:aux	dep:comp	dep:conj	dep:cop	dep:der	dep:emo	dep:infl	dep:mark	dep:mod	dep:pos	dep:redup	dep:repeat	dep:ss	det	det:adj	det:noun	det:numgov	det:nummod	det:pmod	det:poss	det:predet	det:pron	det:rel	discourse	discourse:conn	discourse:emo	discourse:filler	discourse:intj	discourse:q	discourse:sp	dislocated	dislocated:advcl	dislocated:ccomp	dislocated:cleft	dislocated:csubj	dislocated:nsubj	dislocated:obj	dislocated:obl	dislocated:subj	expl	expl:comp	expl:impers	expl:pass	expl:poss	expl:pv	expl:subj	fixed	flat	flat:abs	flat:date	flat:dist	flat:foreign	flat:frac	flat:gov	flat:name	flat:num	flat:number	flat:range	flat:redup	flat:repeat	flat:sibl	flat:time	flat:title	flat:vv	goeswith	iobj	iobj:agent	iobj:appl	iobj:patient	list	mark	mark:adv	mark:advmod	mark:pcomp	mark:plur	mark:prt	mark:q	mark:rel	nmod	nmod:agent	nmod:appos	nmod:arg	nmod:att	nmod:attlvc	nmod:attr	nmod:bahuv	nmod:cau	nmod:comp	nmod:det	nmod:flat	nmod:gen	nmod:gobj	nmod:gsubj	nmod:lmod	nmod:npmod	nmod:obj	nmod:obl	nmod:part	nmod:poss	nmod:pred	nmod:prp	nmod:redup	nmod:relat	nmod:subj	nmod:tmod	nsubj	nsubj:advmod	nsubj:bfoc	nsubj:caus	nsubj:cleft	nsubj:cop	nsubj:ifoc	nsubj:lfoc	nsubj:lvc	nsubj:nc	nsubj:nn	nsubj:obj	nsubj:outer	nsubj:pass	nsubj:periph	nsubj:xsubj	nummod	nummod:det	nummod:entity	nummod:flat	nummod:gov	obj	obj:advmod	obj:advneg	obj:agent	obj:appl	obj:caus	obj:lvc	obj:obl	obj:periph	obl	obl:about	obl:adj	obl:adv	obl:advmod	obl:agent	obl:appl	obl:arg	obl:cau	obl:cmp	obl:cmpr	obl:comp	obl:dat	obl:freq	obl:inst	obl:iobj	obl:lmod	obl:lmp	obl:lto	obl:lvc	obl:mcl	obl:mod	obl:npmod	obl:obj	obl:orphan	obl:own	obl:patient	obl:pmod	obl:poss	obl:prep	obl:sentcon	obl:smod	obl:subj	obl:tmod	obl:with	orphan	orphan:missing	parataxis	parataxis:appos	parataxis:conj	parataxis:coord	parataxis:deletion	parataxis:discourse	parataxis:dislocated	parataxis:hashtag	parataxis:insert	parataxis:mod	parataxis:newsent	parataxis:nsubj	parataxis:obj	parataxis:parenth	parataxis:rel	parataxis:rep	parataxis:reporting	parataxis:restart	parataxis:rt	parataxis:sentence	parataxis:trans	parataxis:url	punct	reparandum	vocative	vocative:cl	vocative:mention	xcomp	xcomp:adj	xcomp:cleft	xcomp:ds	xcomp:obj	xcomp:pred	xcomp:relcl	xcomp:subj	xcomp:vcomp	total
Abaza	0.02305	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.08156	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.06383	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.02482	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0195	nan	nan	nan	nan	nan	nan	nan	0.00709	nan	nan	0.02128	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.13652	nan	nan	nan	0.00532	nan	nan	nan	nan	0.00709	nan	nan	nan	nan	nan	nan	nan	nan	0.01773	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01773	nan	0.01241	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01596	nan	nan	nan	nan	nan	nan	0.00887	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00177	0.02128	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.02837	nan	nan	nan	nan	0.01418	nan	nan	nan	nan	nan	nan	nan	0.02837	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.14539	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01064	nan	nan	nan	nan	0.11879	nan	nan	nan	nan	nan	nan	nan	nan	0.11348	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01596	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01596	0.00177	nan	nan	0.02128	nan	nan	nan	nan	nan	nan	nan	nan	564
Afrikaans	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.03635	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.09078	nan	nan	nan	0.00129	nan	nan	0.04945	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01744	nan	nan	nan	0.1281	nan	nan	nan	nan	nan	nan	nan	0.03854	nan	nan	0.01852	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00661	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00661	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.04384	nan	nan	nan	0.01344	nan	nan	nan	nan	6e-05	nan	nan	nan	nan	nan	nan	nan	nan	0.03501	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.12179	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00037	0.00471	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0012	nan	nan	nan	nan	0.02142	nan	nan	nan	nan	nan	nan	nan	0.06	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07169	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01047	nan	nan	0.0031	nan	nan	nan	nan	0.05516	nan	nan	nan	nan	nan	nan	nan	nan	0.06481	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.09178	nan	nan	nan	nan	0.00745	nan	nan	nan	nan	nan	nan	nan	nan	49018
Assyrian	0.00746	nan	nan	nan	nan	nan	0.00498	nan	nan	nan	0.02736	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.05473	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01244	nan	nan	nan	nan	nan	nan	0.04726	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00249	nan	nan	nan	0.10697	nan	nan	nan	nan	nan	nan	nan	0.06219	nan	nan	0.00746	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00995	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0597	nan	nan	nan	0.0796	nan	nan	nan	nan	0.00249	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0398	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01741	nan	nan	nan	nan	0.02488	nan	nan	nan	nan	nan	nan	nan	0.04726	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00498	nan	nan	nan	nan	nan	nan	0.10199	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00249	nan	nan	nan	nan	nan	nan	nan	0.0597	nan	nan	nan	nan	nan	nan	nan	nan	0.0398	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00498	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.16418	nan	nan	nan	nan	0.00746	nan	nan	nan	nan	nan	nan	nan	nan	402
SouthLevantineArabic	0.01503	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.02596	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.03142	nan	nan	nan	nan	nan	nan	nan	nan	0.00137	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.03825	nan	nan	nan	nan	nan	nan	0.03415	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.10519	nan	nan	nan	nan	nan	nan	nan	0.01913	nan	nan	0.01913	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01366	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00273	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.02596	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01776	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0082	nan	nan	nan	0.0082	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0041	nan	nan	nan	nan	0.03005	nan	nan	nan	nan	nan	nan	nan	0.10109	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.02186	nan	nan	nan	nan	nan	nan	0.05464	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01913	nan	nan	nan	nan	0.0847	nan	nan	nan	nan	nan	nan	nan	nan	0.0847	nan	nan	nan	nan	nan	nan	0.02732	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00683	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.18852	nan	nan	nan	nan	0.01093	nan	nan	nan	nan	nan	nan	nan	nan	732
Akkadian	0.00904	nan	nan	nan	nan	nan	0.00866	nan	nan	nan	0.002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01686	nan	nan	nan	nan	nan	nan	nan	nan	0.00673	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.03877	nan	nan	nan	0.07186	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.11098	nan	nan	nan	nan	nan	nan	nan	0.01991	nan	nan	0.00091	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00025	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.10019	nan	nan	nan	0.00014	nan	nan	nan	nan	0.00056	nan	nan	nan	nan	nan	nan	nan	nan	0.01069	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07772	nan	nan	nan	nan	nan	0.06944	nan	nan	nan	0.00032	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0007	0.00032	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00053	nan	nan	nan	0.00098	0.00249	nan	nan	nan	nan	nan	nan	nan	0.14243	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.10779	nan	nan	nan	nan	nan	nan	0.01935	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01139	nan	nan	nan	nan	0.07021	nan	nan	nan	nan	nan	nan	nan	nan	0.0944	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00189	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00035	nan	nan	0.00214	nan	nan	nan	nan	nan	nan	nan	nan	28527
Gheg	0.01389	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00506	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.08228	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01032	nan	nan	nan	0.00019	nan	nan	0.06463	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.02505	nan	nan	nan	nan	0.06346	nan	nan	nan	nan	nan	nan	nan	0.06794	nan	nan	0.01512	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.05795	nan	nan	nan	0.00785	nan	nan	nan	nan	6e-05	nan	nan	nan	nan	nan	nan	nan	nan	6e-05	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.08306	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.03926	nan	nan	nan	nan	nan	nan	0.00013	nan	nan	nan	nan	nan	nan	nan	nan	0.05191	nan	nan	nan	nan	nan	nan	0.00746	0.00013	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0159	nan	nan	nan	0.00019	0.03634	nan	nan	nan	nan	nan	nan	nan	0.02524	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0669	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6e-05	nan	nan	nan	0.01681	nan	nan	nan	nan	0.09337	nan	nan	nan	nan	nan	nan	nan	nan	0.04841	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00013	nan	0.00642	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.06268	0.01733	nan	nan	nan	0.01441	nan	nan	nan	nan	nan	nan	nan	nan	15411
Amharic	0.00971	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.03508	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.03199	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00695	nan	nan	nan	nan	nan	nan	0.03464	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.1005	nan	nan	nan	nan	nan	nan	nan	0.00949	nan	nan	0.01269	nan	nan	nan	nan	nan	nan	nan	0.00011	nan	0.00883	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00386	nan	nan	nan	nan	nan	0.00541	nan	nan	nan	0.01125	nan	nan	nan	nan	0.00452	nan	nan	nan	nan	0.00011	nan	nan	nan	0.00022	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.05273	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.02317	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.12719	nan	nan	nan	nan	nan	nan	0.00033	0.00044	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00132	0.00331	nan	nan	nan	nan	0.05814	nan	nan	nan	nan	nan	nan	nan	0.03232	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.16823	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01026	nan	nan	0.00386	nan	nan	nan	nan	0.06365	nan	nan	nan	nan	nan	nan	nan	nan	0.04335	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00077	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.12057	nan	nan	nan	nan	0.015	nan	nan	nan	nan	nan	nan	nan	nan	9065
Apurinã	0.02195	nan	nan	nan	nan	nan	0.00976	nan	nan	nan	0.00976	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00244	0.07073	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00366	nan	nan	nan	nan	nan	0.01585	nan	nan	nan	nan	0.01707	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00488	nan	nan	nan	nan	nan	0.00122	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00366	nan	nan	nan	nan	nan	nan	nan	0.0122	nan	nan	0.00122	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00366	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07317	nan	nan	nan	0.00122	nan	nan	nan	nan	0.00244	nan	nan	nan	nan	nan	nan	nan	nan	0.00366	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.04268	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00122	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00122	nan	nan	nan	0.00244	0.00366	nan	nan	nan	nan	nan	nan	nan	0.04024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00854	nan	nan	nan	nan	nan	nan	0.16585	nan	nan	nan	nan	0.00488	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01463	nan	nan	nan	nan	0.10732	nan	nan	0.00122	nan	nan	nan	nan	nan	0.06463	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.03293	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00976	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.2378	nan	nan	nan	nan	0.00244	nan	nan	nan	nan	nan	nan	nan	nan	820
Akuntsu	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00197	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.06897	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00296	nan	nan	nan	0.0069	nan	nan	0.01872	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.02759	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00197	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00788	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00985	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0069	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0601	nan	nan	nan	nan	nan	nan	0.00788	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00099	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.08374	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.17241	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01379	nan	nan	nan	nan	0.11527	nan	nan	nan	nan	nan	nan	nan	nan	0.04039	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.06502	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.28177	nan	nan	nan	nan	0.00493	nan	nan	nan	nan	nan	nan	nan	nan	1015
Arabic	0.00521	nan	nan	nan	nan	nan	0.00224	nan	nan	nan	0.00178	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01988	nan	nan	nan	nan	nan	nan	nan	nan	0.00092	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0782	nan	nan	nan	0.00099	nan	nan	0.00476	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0001	nan	nan	nan	0.11989	nan	nan	nan	nan	nan	nan	nan	0.05667	nan	0.0	0.02705	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00121	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00034	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01225	nan	nan	nan	0.00519	nan	nan	nan	nan	0.00053	nan	nan	nan	nan	1e-05	nan	nan	nan	0.00158	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00589	nan	nan	nan	nan	nan	nan	nan	nan	nan	5e-05	nan	nan	nan	nan	nan	nan	0.00019	nan	nan	nan	nan	nan	nan	nan	nan	1e-05	nan	nan	nan	nan	nan	nan	0.00258	0.01501	nan	nan	nan	0.00066	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.02025	nan	nan	nan	nan	0.02388	nan	nan	nan	nan	nan	nan	nan	0.19039	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.08602	nan	nan	nan	nan	nan	nan	0.0435	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00081	nan	nan	0.01553	nan	nan	nan	nan	0.11327	nan	nan	nan	nan	nan	nan	nan	nan	0.02528	nan	nan	nan	nan	nan	nan	0.00928	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00013	nan	0.0002	nan	0.00486	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.08864	nan	0.0	nan	nan	0.01478	nan	nan	nan	nan	nan	nan	nan	nan	1126879
