name	acl	acl:adv	acl:attr	acl:cleft	acl:fixed	acl:inf	acl:relat	acl:relcl	advcl	advcl:abs	advcl:cau	advcl:cleft	advcl:cmpr	advcl:cond	advcl:coverb	advcl:eval	advcl:lcl	advcl:lto	advcl:mcl	advcl:pred	advcl:relcl	advcl:sp	advcl:svc	advcl:tcl	advmod	advmod:arg	advmod:cau	advmod:comp	advmod:deg	advmod:det	advmod:df	advmod:emph	advmod:eval	advmod:fixed	advmod:foc	advmod:freq	advmod:lfrom	advmod:lmod	advmod:lmp	advmod:locy	advmod:lto	advmod:mmod	advmod:mode	advmod:neg	advmod:obl	advmod:que	advmod:tfrom	advmod:tlocy	advmod:tmod	advmod:to	advmod:tto	amod	amod:att	amod:attlvc	amod:flat	appos	appos:trans	aux	aux:aff	aux:aspect	aux:caus	aux:clitic	aux:cnd	aux:ex	aux:imp	aux:nec	aux:neg	aux:opt	aux:part	aux:pass	aux:pot	aux:q	aux:tense	case	case:acc	case:adv	case:aff	case:det	case:gen	case:loc	case:pred	case:voc	cc	cc:nc	cc:preconj	ccomp	ccomp:cleft	ccomp:obj	ccomp:obl	ccomp:pmod	ccomp:pred	clf	compound	compound:a	compound:affix	compound:dir	compound:ext	compound:lvc	compound:nn	compound:preverb	compound:prt	compound:quant	compound:redup	compound:smixut	compound:svc	compound:vo	compound:vv	conj	conj:expl	conj:extend	conj:svc	cop	cop:expl	cop:locat	cop:own	csubj	csubj:cleft	csubj:cop	csubj:pass	dep	dep:aff	dep:agr	dep:alt	dep:ana	dep:aux	dep:comp	dep:conj	dep:cop	dep:emo	dep:infl	dep:mark	dep:mod	dep:pos	dep:redup	dep:ss	det	det:adj	det:noun	det:numgov	det:nummod	det:poss	det:predet	det:pron	det:rel	discourse	discourse:emo	discourse:filler	discourse:intj	discourse:sp	dislocated	dislocated:cleft	dislocated:csubj	dislocated:nsubj	dislocated:obj	dislocated:subj	expl	expl:comp	expl:impers	expl:pass	expl:poss	expl:pv	expl:subj	fixed	flat	flat:abs	flat:dist	flat:foreign	flat:name	flat:num	flat:range	flat:repeat	flat:sibl	flat:title	flat:vv	goeswith	iobj	iobj:agent	iobj:appl	iobj:patient	list	mark	mark:adv	mark:advmod	mark:aff	mark:prt	mark:q	mark:rel	nmod	nmod:agent	nmod:appos	nmod:arg	nmod:att	nmod:attlvc	nmod:attr	nmod:bahuv	nmod:cau	nmod:comp	nmod:flat	nmod:gen	nmod:gobj	nmod:gsubj	nmod:lfrom	nmod:lmod	nmod:npmod	nmod:obj	nmod:obl	nmod:part	nmod:poss	nmod:pred	nmod:prp	nmod:redup	nmod:relat	nmod:subj	nmod:tmod	nsubj	nsubj:advmod	nsubj:aff	nsubj:bfoc	nsubj:caus	nsubj:cleft	nsubj:cop	nsubj:ifoc	nsubj:lfoc	nsubj:lvc	nsubj:nc	nsubj:obj	nsubj:pass	nsubj:periph	nummod	nummod:det	nummod:entity	nummod:flat	nummod:gov	obj	obj:advmod	obj:advneg	obj:agent	obj:appl	obj:caus	obj:lvc	obj:obl	obj:periph	obl	obl:advmod	obl:agent	obl:appl	obl:arg	obl:cau	obl:cmp	obl:cmpr	obl:comp	obl:dat	obl:freq	obl:inst	obl:lfrom	obl:lmod	obl:lmp	obl:lto	obl:lvc	obl:mcl	obl:mod	obl:npmod	obl:orphan	obl:own	obl:patient	obl:pmod	obl:poss	obl:prep	obl:sentcon	obl:smod	obl:tmod	orphan	orphan:missing	parataxis	parataxis:appos	parataxis:conj	parataxis:coord	parataxis:deletion	parataxis:discourse	parataxis:dislocated	parataxis:hashtag	parataxis:insert	parataxis:mod	parataxis:newsent	parataxis:nsubj	parataxis:obj	parataxis:parenth	parataxis:rel	parataxis:rep	parataxis:restart	parataxis:rt	parataxis:sentence	parataxis:trans	parataxis:url	punct	reparandum	vocative	vocative:cl	vocative:mention	xcomp	xcomp:cleft	xcomp:ds	xcomp:obj	xcomp:pred	xcomp:sp	xcomp:subj	total
Afrikaans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.11223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.25191	0	0	0	3.73016	0	-2.25908	0	0	0	0	0	0	0	0	0	0	0	0.31696	0	0	0	-2.4257	0	0	0	0	0	0	0	0	1.89095	0	0	6.69824	0	0	0	0	0	0	0.95062	0	0	0	0	0	0	0	0.95062	0	0	0	0	0	0	4.2322	0	0	0	-0.38543	0	0	0	-5.0	0	0	0	3.79371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.31675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	1.48918	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	-0.56952	0	0	0	0	0	0	2.48011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.57911	0	0	0	0	0	0	0	0	0	0	0	-6.43275	0	-1.25	0	0	0	0	-2.74038	0	0	0	0	0	0	0	0	0.81398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53323	0	0	0	0	6.07397	0	0	0	0	0	0	-0.38820257089232524
Assyrian	2.33333	0	0	0	0	0	0	1.5	-1.63636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.59091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	-0.52632	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	-1.2093	0	0	0	0	0	0	0	0	-0.72	0	0	3.66667	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.41667	0	0	0	0.65625	0	0	0	-6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	-1.8	0	0	0	0	0	0	1.94737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	-1.60976	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	1.20833	0	0	0	0	0	0	0	0	2.625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.12121	0	0	0	0	1.66667	0	0	0	0	0	0	0.8059696019900495
SouthLevantineArabic	2.27273	0	0	0	0	0	0	0	2.68421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04348	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03571	0	0	0	0	0	-1.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.02597	0	0	0	0	0	0	0	0	-0.28571	0	0	1.28571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	-4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.84211	0	0	0	0	0	0	0	0	-0.61538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16667	0	0	1.16667	0	0	0	0	0	0	0	0	2.0	0	0	0	0	-1.31818	0	0	0	0	0	0	1.45946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	-0.14634	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57143	0	0	0	0	1.2459	0	0	0	0	0	0	0	0	2.46774	0	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.18116	0	0	0	0	1.25	0	0	0	0	0	0	1.407104207650273
Akkadian	9.12546	0	0	0	0	0	0	9.33462	-6.84211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.94479	0	0	0	0	0	0	-0.99482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00352	0	0	0	9.65525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.00219	0	0	0	0	0	0	0	0	-2.49138	0	0	-7.53846	0	0	0	0	0	0	-1.85714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.31957	0	0	0	14.25	0	0	0	-5.8125	0	0	0	0.57468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01194	0	0	0	0	1.0	0	0	0	-7.55556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45455	1.11111	0	0	0	0	0	0	0	0	0	0	0	-6.46667	0	0	0	3.85714	-5.67606	0	0	0	0	0	0	1.27196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02161	0	0	0	0	0	0	-6.50707	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.74242	0	0	0	0	-4.70432	0	0	0	0	0	0	0	0	-4.54592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.66667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-10.8	0	0	-0.06557	0	0	0	0	0	0	0.9068717303587412
Amharic	-2.71591	0	0	0	0	0	0	0	-4.3221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.9426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.24194	0	0	0	0	0	1.62382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41447	0	0	0	0	0	0	0	0	1.10227	0	0	-2.70175	0	0	0	0	0	-1.0	-2.2125	0	0	0	0	0	0	0	0	0	0	0	-3.77143	0	0	3.72917	0	0	0	1.39604	0	0	0	-2.56098	0	0	-3.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67296	0	0	0	0	0	0	0	0	1.4067	0	0	0	0	0	0	0	0	0	0	1.2694	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0.61538	-1.1	0	0	0	0	-1.18284	0	0	0	0	0	0	0.15753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.01046	0	0	0	0	0	0	0	0	0	0	0	-1.48387	0	-1.15789	0	0	0	0	-2.23252	0	0	0	0	0	0	0	0	-2.32364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.33333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84432	0	0	0	0	-2.55147	0	0	0	0	0	0	-0.1309444412575842
Apurinã	0.33333	0	0	0	0	0	0	1.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.5	-1.37255	0	0	0	0	0	0	0	0	0	0	0	0	-1.5	0	0	0	0	0	-1.0	0	0	0	0	-2.23077	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	-2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.45455	0	0	0	1.0	0	0	0	0.5	0	0	0	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.11111	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0	-0.73913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.25	0	0	0	0	0	0	-0.93878	0	0	0	0	0	-1.66667	0	0	0	0	0	0	0	-1.11111	0	0	0	0	0.91304	0	0	1.0	0	0	0	0	0	0.67442	0	0	0	0	0	0	0	0	0	0	0	0	0.3913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42537	0	0	0	0	4.0	0	0	0	0	0	0	0.6047984639999999
Akuntsu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.83333	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71429	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33333	0	0	0	0	0	0	0	0	0	0	0	0.28571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	-0.83636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.22951	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.6	0	0	0	0	-1.10811	0	0	0	0	0	0	0	0	-0.20833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02778	0	0	0	0	0	0	0	0	0	0	0	-0.02931547231270359
Arabic	3.42942	0	0	0	0	0	0	3.63918	9.12382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80276	0	0	0	0	0	0	-1.50048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64222	0	0	0	3.42473	0	-1.17374	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	-1.08553	0	0	0	0	0	0	0	0	-0.41168	0	-2.0	9.32301	0	0	0	0	0	0	0.05857	0	0	0	0	0	0	0	-2.65969	0	0	0	0	0	0	8.42794	0	0	0	-1.2511	0	0	0	4.99165	0	0	5.875	9.18785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.60564	0	0	0	0	0	0	0	0	-0.17544	0	0	0	0	-5.91346	0	0	0	0	0	-1.875	0	0	0	0	0	0	1.14871	1.25475	0	0	1.19597	0	0	0	0	0	0	0	1.5	7.85693	0	0	0	0	-2.11989	0	0	0	0	0	0	2.06792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06321	0	0	0	0	0	0	0.10869	0	0	0	0	0	0	0	0	0	0	0	-0.34934	0	0.8131	0	0	0	0	3.3535	0	0	0	0	0	0	0	0	4.17821	0	0	0	3.56027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52448	24.05702	0	9.79328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.40397	0	7.0	0	0	5.48198	0	0	0	0	0	0	2.971948857141589
Belarusian	4.29148	0	0	0	0	0	0	5.0644	1.58164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.30179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.14441	0	0	0	2.44952	0	-0.84755	0	0	0	0	0	0	0	0	0	0	0	-1.10078	0	0	0	-1.38573	0	0	0	0	0	0	0	0	-2.09415	0	0	5.57598	0	0	0	0	0	0	-1.12111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.13765	0	0	0	-0.7414	0	0	0	1.20044	0	0	1.0	0.30275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.16324	0	0	0	0	0	0	0	0	3.31875	0	0	0	0	-3.76923	0	0	0	0	0	-1.71981	0	0	0	0	0	0	1.19048	1.18166	0	0	1.72407	1.04988	0	0	0	0	0	0	5.92308	0.41241	0	0	0	3.54042	-3.29033	0	0	0	0	0	0	1.99697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.4476	0	0	0	0	0	0	0	0	0	0	0	-1.70541	0	-1.15619	0	0	0	-1.16462	0.84101	0	0	0	0	0	0	0	0	0.79652	0	1.40278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83465	0	4.27599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.48192	-1.2	-0.58929	0	0	1.29589	0	0	0	0	0	0	0.8885846274501712
Beja	-0.04348	0	0	0	-4.33333	0	0	0.82353	-6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.8	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	5.0	0	1.5641	0.78261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0625	0	0	1.07692	0	0	0	0	0	1.28	0	0	-4.4	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.44444	0	0	0	1.0	0	0	0	-3.775	1.85714	0	0	0	0	-2.625	-8.6875	0	0	0	0	0	0	-2.5	0	-0.17213	0	0	0	0	0	0	0	0	-3.30435	0	0	0	0	2.66667	0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.66667	0	0	0	0	1.52632	0	0	1.02222	0	0	0	-0.16667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25	0	0	0	0	0	0	-0.82474	0	0.04487	0	0	0	0	0	0	0	0	0	0	0	-1.0	-1.0	0	0	0	-0.97222	0	0	0	0	0	0	0	0	-4.71429	0	0	0	-4.18182	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.3	0	0	0	0	0	0	0	0	0	0	0	0	-4.70833	0	0	-3.5	0	0	0	0	0	-4.0	0	0	0	0	0	0	0	0	0	0	0	2.60234	2.71429	-5.5	0	0	0	0	0	0	0	0	0	-0.35144884782608676
