name	acl	acl:adv	acl:attr	acl:cleft	acl:fixed	acl:inf	acl:relat	acl:relcl	advcl	advcl:abs	advcl:cau	advcl:cleft	advcl:cmpr	advcl:cond	advcl:coverb	advcl:eval	advcl:lcl	advcl:lto	advcl:mcl	advcl:pred	advcl:relcl	advcl:sp	advcl:svc	advcl:tcl	advmod	advmod:arg	advmod:cau	advmod:comp	advmod:deg	advmod:det	advmod:df	advmod:emph	advmod:eval	advmod:fixed	advmod:foc	advmod:freq	advmod:lfrom	advmod:lmod	advmod:lmp	advmod:locy	advmod:lto	advmod:mmod	advmod:mode	advmod:neg	advmod:obl	advmod:que	advmod:tfrom	advmod:tlocy	advmod:tmod	advmod:to	advmod:tto	amod	amod:att	amod:attlvc	amod:flat	appos	appos:trans	aux	aux:aff	aux:aspect	aux:caus	aux:clitic	aux:cnd	aux:ex	aux:imp	aux:nec	aux:neg	aux:opt	aux:part	aux:pass	aux:pot	aux:q	aux:tense	case	case:acc	case:adv	case:aff	case:det	case:gen	case:loc	case:pred	case:voc	cc	cc:nc	cc:preconj	ccomp	ccomp:cleft	ccomp:obj	ccomp:obl	ccomp:pmod	ccomp:pred	clf	compound	compound:a	compound:affix	compound:dir	compound:ext	compound:lvc	compound:nn	compound:preverb	compound:prt	compound:quant	compound:redup	compound:smixut	compound:svc	compound:vo	compound:vv	conj	conj:expl	conj:extend	conj:svc	cop	cop:expl	cop:locat	cop:own	csubj	csubj:cleft	csubj:cop	csubj:pass	dep	dep:aff	dep:agr	dep:alt	dep:ana	dep:aux	dep:comp	dep:conj	dep:cop	dep:emo	dep:infl	dep:mark	dep:mod	dep:pos	dep:redup	dep:ss	det	det:adj	det:noun	det:numgov	det:nummod	det:poss	det:predet	det:pron	det:rel	discourse	discourse:emo	discourse:filler	discourse:intj	discourse:sp	dislocated	dislocated:cleft	dislocated:csubj	dislocated:nsubj	dislocated:obj	dislocated:subj	expl	expl:comp	expl:impers	expl:pass	expl:poss	expl:pv	expl:subj	fixed	flat	flat:abs	flat:dist	flat:foreign	flat:name	flat:num	flat:range	flat:repeat	flat:sibl	flat:title	flat:vv	goeswith	iobj	iobj:agent	iobj:appl	iobj:patient	list	mark	mark:adv	mark:advmod	mark:aff	mark:prt	mark:q	mark:rel	nmod	nmod:agent	nmod:appos	nmod:arg	nmod:att	nmod:attlvc	nmod:attr	nmod:bahuv	nmod:cau	nmod:comp	nmod:flat	nmod:gen	nmod:gobj	nmod:gsubj	nmod:lfrom	nmod:lmod	nmod:npmod	nmod:obj	nmod:obl	nmod:part	nmod:poss	nmod:pred	nmod:prp	nmod:redup	nmod:relat	nmod:subj	nmod:tmod	nsubj	nsubj:advmod	nsubj:aff	nsubj:bfoc	nsubj:caus	nsubj:cleft	nsubj:cop	nsubj:ifoc	nsubj:lfoc	nsubj:lvc	nsubj:nc	nsubj:obj	nsubj:pass	nsubj:periph	nummod	nummod:det	nummod:entity	nummod:flat	nummod:gov	obj	obj:advmod	obj:advneg	obj:agent	obj:appl	obj:caus	obj:lvc	obj:obl	obj:periph	obl	obl:advmod	obl:agent	obl:appl	obl:arg	obl:cau	obl:cmp	obl:cmpr	obl:comp	obl:dat	obl:freq	obl:inst	obl:lfrom	obl:lmod	obl:lmp	obl:lto	obl:lvc	obl:mcl	obl:mod	obl:npmod	obl:orphan	obl:own	obl:patient	obl:pmod	obl:poss	obl:prep	obl:sentcon	obl:smod	obl:tmod	orphan	orphan:missing	parataxis	parataxis:appos	parataxis:conj	parataxis:coord	parataxis:deletion	parataxis:discourse	parataxis:dislocated	parataxis:hashtag	parataxis:insert	parataxis:mod	parataxis:newsent	parataxis:nsubj	parataxis:obj	parataxis:parenth	parataxis:rel	parataxis:rep	parataxis:restart	parataxis:rt	parataxis:sentence	parataxis:trans	parataxis:url	punct	reparandum	vocative	vocative:cl	vocative:mention	xcomp	xcomp:cleft	xcomp:ds	xcomp:obj	xcomp:pred	xcomp:sp	xcomp:subj	total
Afrikaans	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2.11223	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.25191	nan	nan	nan	3.73016	nan	-2.25908	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.31696	nan	nan	nan	-2.4257	nan	nan	nan	nan	nan	nan	nan	nan	1.89095	nan	nan	6.69824	nan	nan	nan	nan	nan	nan	0.95062	nan	nan	nan	nan	nan	nan	nan	0.95062	nan	nan	nan	nan	nan	nan	4.2322	nan	nan	nan	-0.38543	nan	nan	nan	-5.0	nan	nan	nan	3.79371	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.31675	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.5	1.48918	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	-0.56952	nan	nan	nan	nan	nan	nan	2.48011	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-5.57911	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-6.43275	nan	-1.25	nan	nan	nan	nan	-2.74038	nan	nan	nan	nan	nan	nan	nan	nan	0.81398	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.53323	nan	nan	nan	nan	6.07397	nan	nan	nan	nan	nan	nan	-0.38820257089232524
Assyrian	2.33333	nan	nan	nan	nan	nan	nan	1.5	-1.63636	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.59091	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	-0.52632	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	-1.2093	nan	nan	nan	nan	nan	nan	nan	nan	-0.72	nan	nan	3.66667	nan	nan	nan	nan	nan	nan	-1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.41667	nan	nan	nan	0.65625	nan	nan	nan	-6.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.0625	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	-1.8	nan	nan	nan	nan	nan	nan	1.94737	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	-1.60976	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0	nan	nan	nan	nan	nan	nan	1.20833	nan	nan	nan	nan	nan	nan	nan	nan	2.625	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	8.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.12121	nan	nan	nan	nan	1.66667	nan	nan	nan	nan	nan	nan	0.8059696019900495
SouthLevantineArabic	2.27273	nan	nan	nan	nan	nan	nan	nan	2.68421	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.04348	nan	nan	nan	nan	nan	nan	-1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.03571	nan	nan	nan	nan	nan	-1.08	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.02597	nan	nan	nan	nan	nan	nan	nan	nan	-0.28571	nan	nan	1.28571	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-4.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.84211	nan	nan	nan	nan	nan	nan	nan	nan	-0.61538	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.16667	nan	nan	1.16667	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	nan	nan	nan	-1.31818	nan	nan	nan	nan	nan	nan	1.45946	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	-0.14634	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.57143	nan	nan	nan	nan	1.2459	nan	nan	nan	nan	nan	nan	nan	nan	2.46774	nan	nan	nan	2.4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.18116	nan	nan	nan	nan	1.25	nan	nan	nan	nan	nan	nan	1.407104207650273
Akkadian	9.12546	nan	nan	nan	nan	nan	nan	9.33462	-6.84211	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.94479	nan	nan	nan	nan	nan	nan	-0.99482	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.00352	nan	nan	nan	9.65525	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.00219	nan	nan	nan	nan	nan	nan	nan	nan	-2.49138	nan	nan	-7.53846	nan	nan	nan	nan	nan	nan	-1.85714	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.31957	nan	nan	nan	14.25	nan	nan	nan	-5.8125	nan	nan	nan	0.57468	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.01194	nan	nan	nan	nan	1.0	nan	nan	nan	-7.55556	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.45455	1.11111	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-6.46667	nan	nan	nan	3.85714	-5.67606	nan	nan	nan	nan	nan	nan	1.27196	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.02161	nan	nan	nan	nan	nan	nan	-6.50707	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.74242	nan	nan	nan	nan	-4.70432	nan	nan	nan	nan	nan	nan	nan	nan	-4.54592	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	5.66667	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-10.8	nan	nan	-0.06557	nan	nan	nan	nan	nan	nan	0.9068717303587412
Amharic	-2.71591	nan	nan	nan	nan	nan	nan	nan	-4.3221	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.9426	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.24194	nan	nan	nan	nan	nan	1.62382	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.41447	nan	nan	nan	nan	nan	nan	nan	nan	1.10227	nan	nan	-2.70175	nan	nan	nan	nan	nan	-1.0	-2.2125	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-3.77143	nan	nan	3.72917	nan	nan	nan	1.39604	nan	nan	nan	-2.56098	nan	nan	-3.0	5.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.67296	nan	nan	nan	nan	nan	nan	nan	nan	1.4067	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.2694	nan	nan	nan	nan	nan	nan	1.0	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.61538	-1.1	nan	nan	nan	nan	-1.18284	nan	nan	nan	nan	nan	nan	0.15753	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.01046	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.48387	nan	-1.15789	nan	nan	nan	nan	-2.23252	nan	nan	nan	nan	nan	nan	nan	nan	-2.32364	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2.33333	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.84432	nan	nan	nan	nan	-2.55147	nan	nan	nan	nan	nan	nan	-0.1309444412575842
Apurinã	0.33333	nan	nan	nan	nan	nan	nan	1.0	0.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2.5	-1.37255	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.5	nan	nan	nan	nan	nan	-1.0	nan	nan	nan	nan	-2.23077	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	nan	nan	nan	nan	nan	nan	nan	nan	-2.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.45455	nan	nan	nan	1.0	nan	nan	nan	0.5	nan	nan	nan	-1.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.11111	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-3.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2.0	nan	nan	nan	nan	nan	nan	-0.73913	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.25	nan	nan	nan	nan	nan	nan	-0.93878	nan	nan	nan	nan	nan	-1.66667	nan	nan	nan	nan	nan	nan	nan	-1.11111	nan	nan	nan	nan	0.91304	nan	nan	1.0	nan	nan	nan	nan	nan	0.67442	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.3913	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.2	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.42537	nan	nan	nan	nan	4.0	nan	nan	nan	nan	nan	nan	0.6047984639999999
Akuntsu	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.8125	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	1.83333	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.71429	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.33333	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.28571	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.5	nan	nan	nan	nan	-1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.83636	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.22951	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.6	nan	nan	nan	nan	-1.10811	nan	nan	nan	nan	nan	nan	nan	nan	-0.20833	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.61111	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.02778	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.02931547231270359
Arabic	3.42942	nan	nan	nan	nan	nan	nan	3.63918	9.12382	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.80276	nan	nan	nan	nan	nan	nan	-1.50048	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.64222	nan	nan	nan	3.42473	nan	-1.17374	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.0	nan	nan	nan	-1.08553	nan	nan	nan	nan	nan	nan	nan	nan	-0.41168	nan	-2.0	9.32301	nan	nan	nan	nan	nan	nan	0.05857	nan	nan	nan	nan	nan	nan	nan	-2.65969	nan	nan	nan	nan	nan	nan	8.42794	nan	nan	nan	-1.2511	nan	nan	nan	4.99165	nan	nan	5.875	9.18785	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.60564	nan	nan	nan	nan	nan	nan	nan	nan	-0.17544	nan	nan	nan	nan	-5.91346	nan	nan	nan	nan	nan	-1.875	nan	nan	nan	nan	nan	nan	1.14871	1.25475	nan	nan	1.19597	nan	nan	nan	nan	nan	nan	nan	1.5	7.85693	nan	nan	nan	nan	-2.11989	nan	nan	nan	nan	nan	nan	2.06792	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.06321	nan	nan	nan	nan	nan	nan	0.10869	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.34934	nan	0.8131	nan	nan	nan	nan	3.3535	nan	nan	nan	nan	nan	nan	nan	nan	4.17821	nan	nan	nan	3.56027	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.52448	24.05702	nan	9.79328	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	14.40397	nan	7.0	nan	nan	5.48198	nan	nan	nan	nan	nan	nan	2.971948857141589
Belarusian	4.29148	nan	nan	nan	nan	nan	nan	5.0644	1.58164	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.30179	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.14441	nan	nan	nan	2.44952	nan	-0.84755	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.10078	nan	nan	nan	-1.38573	nan	nan	nan	nan	nan	nan	nan	nan	-2.09415	nan	nan	5.57598	nan	nan	nan	nan	nan	nan	-1.12111	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.13765	nan	nan	nan	-0.7414	nan	nan	nan	1.20044	nan	nan	1.0	0.30275	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.16324	nan	nan	nan	nan	nan	nan	nan	nan	3.31875	nan	nan	nan	nan	-3.76923	nan	nan	nan	nan	nan	-1.71981	nan	nan	nan	nan	nan	nan	1.19048	1.18166	nan	nan	1.72407	1.04988	nan	nan	nan	nan	nan	nan	5.92308	0.41241	nan	nan	nan	3.54042	-3.29033	nan	nan	nan	nan	nan	nan	1.99697	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.4476	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.70541	nan	-1.15619	nan	nan	nan	-1.16462	0.84101	nan	nan	nan	nan	nan	nan	nan	nan	0.79652	nan	1.40278	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.83465	nan	4.27599	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.48192	-1.2	-0.58929	nan	nan	1.29589	nan	nan	nan	nan	nan	nan	0.8885846274501712
Beja	-0.04348	nan	nan	nan	-4.33333	nan	nan	0.82353	-6.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.8	nan	nan	nan	nan	nan	nan	nan	nan	1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.0	nan	nan	nan	5.0	nan	1.5641	0.78261	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0625	nan	nan	1.07692	nan	nan	nan	nan	nan	1.28	nan	nan	-4.4	nan	nan	nan	nan	nan	nan	-1.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.44444	nan	nan	nan	1.0	nan	nan	nan	-3.775	1.85714	nan	nan	nan	nan	-2.625	-8.6875	nan	nan	nan	nan	nan	nan	-2.5	nan	-0.17213	nan	nan	nan	nan	nan	nan	nan	nan	-3.30435	nan	nan	nan	nan	2.66667	nan	nan	nan	nan	5.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.66667	nan	nan	nan	nan	1.52632	nan	nan	1.02222	nan	nan	nan	-0.16667	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.25	nan	nan	nan	nan	nan	nan	-0.82474	nan	0.04487	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.0	-1.0	nan	nan	nan	-0.97222	nan	nan	nan	nan	nan	nan	nan	nan	-4.71429	nan	nan	nan	-4.18182	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-5.3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-4.70833	nan	nan	-3.5	nan	nan	nan	nan	nan	-4.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.60234	2.71429	-5.5	nan	nan	nan	nan	nan	nan	nan	nan	nan	-0.35144884782608676
