name	acl	acl:adv	acl:attr	acl:cleft	acl:fixed	acl:inf	acl:relat	acl:relcl	advcl	advcl:abs	advcl:cau	advcl:cleft	advcl:cmpr	advcl:cond	advcl:coverb	advcl:eval	advcl:lcl	advcl:lto	advcl:mcl	advcl:pred	advcl:relcl	advcl:sp	advcl:svc	advcl:tcl	advmod	advmod:arg	advmod:cau	advmod:comp	advmod:deg	advmod:det	advmod:df	advmod:emph	advmod:eval	advmod:fixed	advmod:foc	advmod:freq	advmod:lfrom	advmod:lmod	advmod:lmp	advmod:locy	advmod:lto	advmod:mmod	advmod:mode	advmod:neg	advmod:obl	advmod:que	advmod:tfrom	advmod:tlocy	advmod:tmod	advmod:to	advmod:tto	amod	amod:att	amod:attlvc	amod:flat	appos	appos:trans	aux	aux:aff	aux:aspect	aux:caus	aux:clitic	aux:cnd	aux:ex	aux:imp	aux:nec	aux:neg	aux:opt	aux:part	aux:pass	aux:pot	aux:q	aux:tense	case	case:acc	case:adv	case:aff	case:det	case:gen	case:loc	case:pred	case:voc	cc	cc:nc	cc:preconj	ccomp	ccomp:cleft	ccomp:obj	ccomp:obl	ccomp:pmod	ccomp:pred	clf	compound	compound:a	compound:affix	compound:dir	compound:ext	compound:lvc	compound:nn	compound:preverb	compound:prt	compound:quant	compound:redup	compound:smixut	compound:svc	compound:vo	compound:vv	conj	conj:expl	conj:extend	conj:svc	cop	cop:expl	cop:locat	cop:own	csubj	csubj:cleft	csubj:cop	csubj:pass	dep	dep:aff	dep:agr	dep:alt	dep:ana	dep:aux	dep:comp	dep:conj	dep:cop	dep:emo	dep:infl	dep:mark	dep:mod	dep:pos	dep:redup	dep:ss	det	det:adj	det:noun	det:numgov	det:nummod	det:poss	det:predet	det:pron	det:rel	discourse	discourse:emo	discourse:filler	discourse:intj	discourse:sp	dislocated	dislocated:cleft	dislocated:csubj	dislocated:nsubj	dislocated:obj	dislocated:subj	expl	expl:comp	expl:impers	expl:pass	expl:poss	expl:pv	expl:subj	fixed	flat	flat:abs	flat:dist	flat:foreign	flat:name	flat:num	flat:range	flat:repeat	flat:sibl	flat:title	flat:vv	goeswith	iobj	iobj:agent	iobj:appl	iobj:patient	list	mark	mark:adv	mark:advmod	mark:aff	mark:prt	mark:q	mark:rel	nmod	nmod:agent	nmod:appos	nmod:arg	nmod:att	nmod:attlvc	nmod:attr	nmod:bahuv	nmod:cau	nmod:comp	nmod:flat	nmod:gen	nmod:gobj	nmod:gsubj	nmod:lfrom	nmod:lmod	nmod:npmod	nmod:obj	nmod:obl	nmod:part	nmod:poss	nmod:pred	nmod:prp	nmod:redup	nmod:relat	nmod:subj	nmod:tmod	nsubj	nsubj:advmod	nsubj:aff	nsubj:bfoc	nsubj:caus	nsubj:cleft	nsubj:cop	nsubj:ifoc	nsubj:lfoc	nsubj:lvc	nsubj:nc	nsubj:obj	nsubj:pass	nsubj:periph	nummod	nummod:det	nummod:entity	nummod:flat	nummod:gov	obj	obj:advmod	obj:advneg	obj:agent	obj:appl	obj:caus	obj:lvc	obj:obl	obj:periph	obl	obl:advmod	obl:agent	obl:appl	obl:arg	obl:cau	obl:cmp	obl:cmpr	obl:comp	obl:dat	obl:freq	obl:inst	obl:lfrom	obl:lmod	obl:lmp	obl:lto	obl:lvc	obl:mcl	obl:mod	obl:npmod	obl:orphan	obl:own	obl:patient	obl:pmod	obl:poss	obl:prep	obl:sentcon	obl:smod	obl:tmod	orphan	orphan:missing	parataxis	parataxis:appos	parataxis:conj	parataxis:coord	parataxis:deletion	parataxis:discourse	parataxis:dislocated	parataxis:hashtag	parataxis:insert	parataxis:mod	parataxis:newsent	parataxis:nsubj	parataxis:obj	parataxis:parenth	parataxis:rel	parataxis:rep	parataxis:restart	parataxis:rt	parataxis:sentence	parataxis:trans	parataxis:url	punct	reparandum	vocative	vocative:cl	vocative:mention	xcomp	xcomp:cleft	xcomp:ds	xcomp:obj	xcomp:pred	xcomp:sp	xcomp:subj	total
Afrikaans	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.03635	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.09078	nan	nan	nan	0.00129	nan	0.04945	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01744	nan	nan	nan	0.1281	nan	nan	nan	nan	nan	nan	nan	nan	0.03854	nan	nan	0.01852	nan	nan	nan	nan	nan	nan	0.00661	nan	nan	nan	nan	nan	nan	nan	0.00661	nan	nan	nan	nan	nan	nan	0.04384	nan	nan	nan	0.01344	nan	nan	nan	6e-05	nan	nan	nan	0.03501	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.12179	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00037	0.00471	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0012	nan	nan	nan	nan	0.02142	nan	nan	nan	nan	nan	nan	0.06	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07169	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01047	nan	0.0031	nan	nan	nan	nan	0.05516	nan	nan	nan	nan	nan	nan	nan	nan	0.06481	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.09178	nan	nan	nan	nan	0.00745	nan	nan	nan	nan	nan	nan	49018
Assyrian	0.00746	nan	nan	nan	nan	nan	nan	0.00498	0.02736	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.05473	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01244	nan	nan	nan	nan	nan	0.04726	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00249	nan	nan	nan	0.10697	nan	nan	nan	nan	nan	nan	nan	nan	0.06219	nan	nan	0.00746	nan	nan	nan	nan	nan	nan	0.00995	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0597	nan	nan	nan	0.0796	nan	nan	nan	0.00249	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0398	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01741	nan	nan	nan	nan	0.02488	nan	nan	nan	nan	nan	nan	0.04726	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00498	nan	nan	nan	nan	nan	nan	0.10199	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00249	nan	nan	nan	nan	nan	nan	0.0597	nan	nan	nan	nan	nan	nan	nan	nan	0.0398	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00498	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.16418	nan	nan	nan	nan	0.00746	nan	nan	nan	nan	nan	nan	402
SouthLevantineArabic	0.01503	nan	nan	nan	nan	nan	nan	nan	0.02596	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.03142	nan	nan	nan	nan	nan	nan	0.00137	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.03825	nan	nan	nan	nan	nan	0.03415	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.10519	nan	nan	nan	nan	nan	nan	nan	nan	0.01913	nan	nan	0.01913	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01366	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00273	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.02596	nan	nan	nan	nan	nan	nan	nan	nan	0.01776	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0082	nan	nan	0.0082	nan	nan	nan	nan	nan	nan	nan	nan	0.0041	nan	nan	nan	nan	0.03005	nan	nan	nan	nan	nan	nan	0.10109	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.02186	nan	nan	nan	nan	nan	nan	0.05601	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01913	nan	nan	nan	nan	0.08333	nan	nan	nan	nan	nan	nan	nan	nan	0.0847	nan	nan	nan	0.02732	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00683	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.18852	nan	nan	nan	nan	0.01093	nan	nan	nan	nan	nan	nan	732
Akkadian	0.00933	nan	nan	nan	nan	nan	nan	0.00895	0.00196	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01684	nan	nan	nan	nan	nan	nan	0.00664	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.03908	nan	nan	nan	0.0724	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.11003	nan	nan	nan	nan	nan	nan	nan	nan	0.01997	nan	nan	0.0009	nan	nan	nan	nan	nan	nan	0.00024	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.10008	nan	nan	nan	0.00014	nan	nan	nan	0.00055	nan	nan	nan	0.0106	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07784	nan	nan	nan	nan	0.06954	nan	nan	nan	0.00031	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00076	0.00031	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00052	nan	nan	nan	0.00096	0.00244	nan	nan	nan	nan	nan	nan	0.14267	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.10835	nan	nan	nan	nan	nan	nan	0.01949	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01136	nan	nan	nan	nan	0.0701	nan	nan	nan	nan	nan	nan	nan	nan	0.09333	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00186	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00034	nan	nan	0.0021	nan	nan	nan	nan	nan	nan	29046
Amharic	0.00971	nan	nan	nan	nan	nan	nan	nan	0.02945	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.04997	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00684	nan	nan	nan	nan	nan	0.03519	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.10061	nan	nan	nan	nan	nan	nan	nan	nan	0.00971	nan	nan	0.01258	nan	nan	nan	nan	nan	0.00011	0.00883	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00386	nan	nan	0.0053	nan	nan	nan	0.01114	nan	nan	nan	0.00452	nan	nan	0.00011	0.00022	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.05262	nan	nan	nan	nan	nan	nan	nan	nan	0.02306	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.12653	nan	nan	nan	nan	nan	nan	0.00033	0.00044	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00143	0.00331	nan	nan	nan	nan	0.05913	nan	nan	nan	nan	nan	nan	0.03221	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.16878	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01026	nan	0.00419	nan	nan	nan	nan	0.0631	nan	nan	nan	nan	nan	nan	nan	nan	0.03034	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00066	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.12046	nan	nan	nan	nan	0.015	nan	nan	nan	nan	nan	nan	9065
Apurinã	0.024	nan	nan	nan	nan	nan	nan	0.008	0.0112	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0032	0.0816	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0032	nan	nan	nan	nan	nan	0.0208	nan	nan	nan	nan	0.0208	nan	nan	nan	nan	nan	nan	nan	nan	0.0032	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0048	nan	nan	nan	nan	nan	nan	nan	nan	0.0128	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.088	nan	nan	nan	0.0016	nan	nan	nan	0.0032	nan	nan	nan	0.0032	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0432	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0048	nan	nan	nan	nan	nan	nan	0.0368	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0064	nan	nan	nan	nan	nan	nan	0.1568	nan	nan	nan	nan	nan	0.0048	nan	nan	nan	nan	nan	nan	nan	0.0144	nan	nan	nan	nan	0.1104	nan	nan	0.0016	nan	nan	nan	nan	nan	0.0688	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0368	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.008	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.2144	nan	nan	nan	nan	0.0016	nan	nan	nan	nan	nan	nan	625
Akuntsu	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.05212	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00651	nan	nan	nan	0.01954	nan	0.00326	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0456	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00326	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01954	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0228	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.05212	nan	nan	nan	nan	0.00326	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00326	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.17915	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.1987	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01629	nan	nan	nan	nan	0.12052	nan	nan	nan	nan	nan	nan	nan	nan	0.07818	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.05863	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.11726	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	307
Arabic	0.00521	nan	nan	nan	nan	nan	nan	0.00224	0.00178	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01991	nan	nan	nan	nan	nan	nan	0.00092	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0782	nan	nan	nan	0.00099	nan	0.00477	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0001	nan	nan	nan	0.11989	nan	nan	nan	nan	nan	nan	nan	nan	0.05667	nan	0.0	0.02705	nan	nan	nan	nan	nan	nan	0.00121	nan	nan	nan	nan	nan	nan	nan	0.00034	nan	nan	nan	nan	nan	nan	0.01225	nan	nan	nan	0.00524	nan	nan	nan	0.00053	nan	nan	1e-05	0.00158	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00588	nan	nan	nan	nan	nan	nan	nan	nan	5e-05	nan	nan	nan	nan	0.00018	nan	nan	nan	nan	nan	1e-05	nan	nan	nan	nan	nan	nan	0.00258	0.015	nan	nan	0.00066	nan	nan	nan	nan	nan	nan	nan	0.0	0.02025	nan	nan	nan	nan	0.02389	nan	nan	nan	nan	nan	nan	0.19039	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.08602	nan	nan	nan	nan	nan	nan	0.0435	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00081	nan	0.01554	nan	nan	nan	nan	0.11327	nan	nan	nan	nan	nan	nan	nan	nan	0.02524	nan	nan	nan	0.00928	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00013	0.0002	nan	0.00486	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.08865	nan	0.0	nan	nan	0.01473	nan	nan	nan	nan	nan	nan	1126885
Belarusian	0.01243	nan	nan	nan	nan	nan	nan	0.0079	0.00491	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.04709	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.07352	nan	nan	nan	0.02077	nan	0.00379	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00177	nan	nan	nan	0.1025	nan	nan	nan	nan	nan	nan	nan	nan	0.03108	nan	nan	0.00475	nan	nan	nan	nan	nan	nan	0.00199	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.04681	nan	nan	nan	0.0031	nan	nan	nan	0.00312	nan	nan	1e-05	0.0205	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01976	nan	nan	nan	nan	nan	nan	nan	nan	0.0011	nan	nan	nan	nan	4e-05	nan	nan	nan	nan	nan	0.00071	nan	nan	nan	nan	nan	nan	0.00347	0.02152	nan	nan	0.00361	0.0133	nan	nan	nan	nan	nan	nan	0.00027	0.00842	nan	nan	nan	0.00596	0.01031	nan	nan	nan	nan	nan	nan	0.09633	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.06854	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00343	nan	0.0122	nan	nan	nan	0.00673	0.03845	nan	nan	nan	nan	nan	nan	nan	nan	0.06657	nan	0.00099	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00087	nan	0.02345	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.19595	2e-05	0.00058	nan	nan	0.01139	nan	nan	nan	nan	nan	nan	290847
Beja	0.01667	nan	nan	nan	0.00217	nan	nan	0.01232	0.02174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01449	nan	nan	nan	nan	nan	nan	nan	nan	0.00072	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00072	nan	nan	nan	0.00072	nan	0.02826	0.01667	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.02319	nan	nan	0.00942	nan	nan	nan	nan	nan	0.01812	nan	nan	0.00725	nan	nan	nan	nan	nan	nan	0.00072	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00652	nan	nan	nan	0.00072	nan	nan	nan	0.02899	0.00507	nan	nan	nan	nan	0.0058	0.01159	nan	nan	nan	nan	nan	nan	0.0029	nan	0.08841	nan	nan	nan	nan	nan	nan	nan	nan	0.01667	nan	nan	nan	nan	0.00435	nan	nan	nan	nan	0.00072	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01522	nan	nan	nan	nan	0.06884	nan	nan	0.03261	nan	nan	nan	0.02174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.01159	nan	nan	nan	nan	nan	nan	0.14058	nan	0.11304	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00072	0.00072	nan	nan	nan	0.05217	nan	nan	nan	nan	nan	nan	nan	nan	0.01522	nan	nan	nan	0.00797	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.00725	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.03478	nan	nan	0.00145	nan	nan	nan	nan	nan	0.00072	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.12391	0.00507	0.00145	nan	nan	nan	nan	nan	nan	nan	nan	nan	1380
