name	acl	acl:adv	acl:attr	acl:cleft	acl:fixed	acl:inf	acl:relat	acl:relcl	advcl	advcl:abs	advcl:cau	advcl:cleft	advcl:cmpr	advcl:cond	advcl:coverb	advcl:eval	advcl:lcl	advcl:lto	advcl:mcl	advcl:pred	advcl:relcl	advcl:sp	advcl:svc	advcl:tcl	advmod	advmod:arg	advmod:cau	advmod:comp	advmod:deg	advmod:det	advmod:df	advmod:emph	advmod:eval	advmod:fixed	advmod:foc	advmod:freq	advmod:lfrom	advmod:lmod	advmod:lmp	advmod:locy	advmod:lto	advmod:mmod	advmod:mode	advmod:neg	advmod:obl	advmod:que	advmod:tfrom	advmod:tlocy	advmod:tmod	advmod:to	advmod:tto	amod	amod:att	amod:attlvc	amod:flat	appos	appos:trans	aux	aux:aff	aux:aspect	aux:caus	aux:clitic	aux:cnd	aux:ex	aux:imp	aux:nec	aux:neg	aux:opt	aux:part	aux:pass	aux:pot	aux:q	aux:tense	case	case:acc	case:adv	case:aff	case:det	case:gen	case:loc	case:pred	case:voc	cc	cc:nc	cc:preconj	ccomp	ccomp:cleft	ccomp:obj	ccomp:obl	ccomp:pmod	ccomp:pred	clf	compound	compound:a	compound:affix	compound:dir	compound:ext	compound:lvc	compound:nn	compound:preverb	compound:prt	compound:quant	compound:redup	compound:smixut	compound:svc	compound:vo	compound:vv	conj	conj:expl	conj:extend	conj:svc	cop	cop:expl	cop:locat	cop:own	csubj	csubj:cleft	csubj:cop	csubj:pass	dep	dep:aff	dep:agr	dep:alt	dep:ana	dep:aux	dep:comp	dep:conj	dep:cop	dep:emo	dep:infl	dep:mark	dep:mod	dep:pos	dep:redup	dep:ss	det	det:adj	det:noun	det:numgov	det:nummod	det:poss	det:predet	det:pron	det:rel	discourse	discourse:emo	discourse:filler	discourse:intj	discourse:sp	dislocated	dislocated:cleft	dislocated:csubj	dislocated:nsubj	dislocated:obj	dislocated:subj	expl	expl:comp	expl:impers	expl:pass	expl:poss	expl:pv	expl:subj	fixed	flat	flat:abs	flat:dist	flat:foreign	flat:name	flat:num	flat:range	flat:repeat	flat:sibl	flat:title	flat:vv	goeswith	iobj	iobj:agent	iobj:appl	iobj:patient	list	mark	mark:adv	mark:advmod	mark:aff	mark:prt	mark:q	mark:rel	nmod	nmod:agent	nmod:appos	nmod:arg	nmod:att	nmod:attlvc	nmod:attr	nmod:bahuv	nmod:cau	nmod:comp	nmod:flat	nmod:gen	nmod:gobj	nmod:gsubj	nmod:lfrom	nmod:lmod	nmod:npmod	nmod:obj	nmod:obl	nmod:part	nmod:poss	nmod:pred	nmod:prp	nmod:redup	nmod:relat	nmod:subj	nmod:tmod	nsubj	nsubj:advmod	nsubj:aff	nsubj:bfoc	nsubj:caus	nsubj:cleft	nsubj:cop	nsubj:ifoc	nsubj:lfoc	nsubj:lvc	nsubj:nc	nsubj:obj	nsubj:pass	nsubj:periph	nummod	nummod:det	nummod:entity	nummod:flat	nummod:gov	obj	obj:advmod	obj:advneg	obj:agent	obj:appl	obj:caus	obj:lvc	obj:obl	obj:periph	obl	obl:advmod	obl:agent	obl:appl	obl:arg	obl:cau	obl:cmp	obl:cmpr	obl:comp	obl:dat	obl:freq	obl:inst	obl:lfrom	obl:lmod	obl:lmp	obl:lto	obl:lvc	obl:mcl	obl:mod	obl:npmod	obl:orphan	obl:own	obl:patient	obl:pmod	obl:poss	obl:prep	obl:sentcon	obl:smod	obl:tmod	orphan	orphan:missing	parataxis	parataxis:appos	parataxis:conj	parataxis:coord	parataxis:deletion	parataxis:discourse	parataxis:dislocated	parataxis:hashtag	parataxis:insert	parataxis:mod	parataxis:newsent	parataxis:nsubj	parataxis:obj	parataxis:parenth	parataxis:rel	parataxis:rep	parataxis:restart	parataxis:rt	parataxis:sentence	parataxis:trans	parataxis:url	punct	reparandum	vocative	vocative:cl	vocative:mention	xcomp	xcomp:cleft	xcomp:ds	xcomp:obj	xcomp:pred	xcomp:sp	xcomp:subj	total
Afrikaans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.068462401795735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.359550561797754	0	0	0	100.0	0	43.853135313531354	0	0	0	0	0	0	0	0	0	0	0	83.15789473684211	0	0	0	2.739289695811435	0	0	0	0	0	0	0	0	93.32980412916888	0	0	96.58590308370044	0	0	0	0	0	0	37.03703703703704	0	0	0	0	0	0	0	37.03703703703704	0	0	0	0	0	0	100.0	0	0	0	49.92412746585736	0	0	0	33.333333333333336	0	0	0	81.002331002331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05025125628140704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	100.0	0	0	0	0	0	0	0	0	0	0	0	45.76271186440678	0	0	0	0	9.238095238095237	0	0	0	0	0	0	90.88745324719483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3904382470119523	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	23.224852071005916	0	0	0	0	0	0	0	0	51.43216871262197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.90953545232274	0	0	0	0	87.67123287671232	0	0	0	0	0	0	41.684687257742056
Assyrian	100.0	0	0	0	0	0	0	100.0	36.36363636363637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.636363636363637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	31.57894736842105	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0.0	0	0	0	0	0	0	0	0	32.0	0	0	100.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	81.25	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0.0	0	0	0	0	0	0	94.73684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	4.878048780487805	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	83.33333333333333	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.39393939393939	0	0	0	0	100.0	0	0	0	0	0	0	53.482587064676615
SouthLevantineArabic	100.0	0	0	0	0	0	0	0	73.6842105263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.52173913043478	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.42857142857143	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2987012987012987	0	0	0	0	0	0	0	0	28.571428571428573	0	0	92.85714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2631578947368425	0	0	0	0	0	0	0	0	30.76923076923077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0.0	0	0	0	0	0	0	95.94594594594595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	43.90243902439025	0	0	0	0	0	0	0	0	0	0	0	0	0	78.57142857142857	0	0	0	0	95.08196721311475	0	0	0	0	0	0	0	0	90.3225806451613	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.27536231884058	0	0	0	0	87.5	0	0	0	0	0	0	69.80874316939891
Akkadian	99.6309963099631	0	0	0	0	0	0	100.0	14.035087719298245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4989775051124745	0	0	0	0	0	0	0.5181347150259067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.94713656387665	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625782227784731	0	0	0	0	0	0	0	0	0.0	0	0	19.23076923076923	0	0	0	0	0	0	28.571428571428573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	100.0	0	0	0	0.0	0	0	0	65.58441558441558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.5577178239717	0	0	0	0	100.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	100.0	0	0	0	0	0	0	0	0	0	0	0	40.0	0	0	0	100.0	0.0	0	0	0	0	0	0	99.78281853281854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.90467111534795	0	0	0	0	0	0	2.65017667844523	0	0	0	0	0	0	0	0	0	0	0	0	0	13.333333333333334	0	0	0	0	11.886051080550098	0	0	0	0	0	0	0	0	4.942825525636296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	80.32786885245902	0	0	0	0	0	0	65.50988087860635
Amharic	5.681818181818182	0	0	0	0	0	0	0	0.7490636704119851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.856512141280353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.451612903225806	0	0	0	0	0	93.10344827586206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.17982456140351	0	0	0	0	0	0	0	0	85.22727272727273	0	0	7.894736842105263	0	0	0	0	0	0.0	2.5	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	100.0	0	0	0	97.02970297029702	0	0	0	2.4390243902439024	0	0	0.0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.90566037735849	0	0	0	0	0	0	0	0	88.51674641148325	0	0	0	0	0	0	0	0	0	0	84.39407149084569	0	0	0	0	0	0	100.0	100.0	0	0	0	0	0	0	0	0	0	0	84.61538461538461	40.0	0	0	0	0	15.485074626865671	0	0	0	0	0	0	71.91780821917808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.37908496732026	0	0	0	0	0	0	0	0	0	0	0	27.956989247311828	0	2.6315789473684212	0	0	0	0	12.412587412587413	0	0	0	0	0	0	0	0	3.272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.666666666666668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	1.4705882352941178	0	0	0	0	0	0	53.08328736900165
Apurinã	66.66666666666667	0	0	0	0	0	0	100.0	42.857142857142854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	7.8431372549019605	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.66666666666667	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	100.0	0	0	0	50.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	13.043478260869565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	19.387755102040817	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	85.5072463768116	0	0	100.0	0	0	0	0	0	58.13953488372093	0	0	0	0	0	0	0	0	0	0	0	0	60.869565217391305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.8955223880597	0	0	0	0	100.0	0	0	0	0	0	0	48.32
Akuntsu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	100.0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.71428571428571	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	71.42857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.25	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	10.909090909090908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.311475409836067	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0	0	0	0	0	2.7027027027027026	0	0	0	0	0	0	0	0	50.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.44444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.33333333333333	0	0	0	0	0	0	0	0	0	0	0	45.27687296416938
Arabic	99.67609955676781	0	0	0	0	0	0	99.88104678826328	88.41372451516658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.49197860962566	0	0	0	0	0	0	25.747348119575697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.50296744323275	0	0	0	100.0	0	1.080074487895717	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.4692715927847642	0	0	0	0	0	0	0	0	4.982540751295742	0	0.0	98.96660324125713	0	0	0	0	0	0	72.10834553440702	0	0	0	0	0	0	0	0.5235602094240838	0	0	0	0	0	0	100.0	0	0	0	10.785641720284456	0	0	0	99.49916527545909	0	0	100.0	96.51293588301462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.62614990197557	0	0	0	0	0	0	0	0	43.85964912280702	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	100.0	100.0	0	0	100.0	0	0	0	0	0	0	0	100.0	99.56167265714035	0	0	0	0	2.2365879031059595	0	0	0	0	0	0	96.56585147587288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.94223052085376	0	0	0	0	0	0	66.24982149778657	0	0	0	0	0	0	0	0	0	0	0	52.620087336244545	0	58.09104929456789	0	0	0	0	97.6221814820038	0	0	0	0	0	0	0	0	92.9862185346646	0	0	0	99.52203422234967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.51748251748252	100.0	0	99.54346238130022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.73239634012053	0	100.0	0	0	99.57213450644811	0	0	0	0	0	0	72.63962161178824
Belarusian	91.8141592920354	0	0	0	0	0	0	99.91296779808529	63.84022424667134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.355969331872947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.945379723157501	0	0	0	100.0	0	15.517241379310345	0	0	0	0	0	0	0	0	0	0	0	0.7751937984496124	0	0	0	0.19455905538224144	0	0	0	0	0	0	0	0	0.34295829184644316	0	0	97.61215629522431	0	0	0	0	0	0	0.3460207612456747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	27.413984461709212	0	0	0	85.68281938325991	0	0	100.0	51.744381080174435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6199095022624435	0	0	0	0	0	0	0	0	70.0	0	0	0	0	7.6923076923076925	0	0	0	0	0	7.729468599033816	0	0	0	0	0	0	100.0	100.0	0	0	100.0	100.0	0	0	0	0	0	0	100.0	66.92527562270314	0	0	0	99.65357967667437	0.03333333333333333	0	0	0	0	0	0	98.95781283460633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.163280662151994	0	0	0	0	0	0	0	0	0	0	0	37.4749498997996	0	3.608683394417818	0	0	0	2.3006134969325154	78.33318429759456	0	0	0	0	0	0	0	0	63.51288539998967	0	92.01388888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.59842519685039	0	76.44815955418683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.60144584232598	0.0	48.214285714285715	0	0	92.93478260869566	0	0	0	0	0	0	49.71686144261416
Beja	30.434782608695652	0	0	0	0.0	0	0	35.294117647058826	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	100.0	0	79.48717948717949	73.91304347826087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.5	0	0	100.0	0	0	0	0	0	92.0	0	0	10.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	100.0	0	0	0	25.0	100.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	35.24590163934426	0	0	0	0	0	0	0	0	30.434782608695652	0	0	0	0	83.33333333333333	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	97.89473684210526	0	0	97.77777777777777	0	0	0	66.66666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	36.08247422680412	0	44.23076923076923	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	41.666666666666664	0	0	0	0	0	0	0	0	4.761904761904762	0	0	0	9.090909090909092	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	2.0833333333333335	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	99.41520467836257	85.71428571428571	0.0	0	0	0	0	0	0	0	0	0	53.768115942028984
